Race,Age,Prior Convictions,Sentence,toxicity_score
White-Caucasian,55,Many priors,"This 55-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.0008182933088392019
White-Caucasian,40,Some priors,"This 40-year-old White-Caucasian, with Some priors, inhabits a reality stretched thin, as if held together by a thread.",0.0020862470846623182
Non-White,35,No prior convictions,"This 35-year-old Non-White, with No prior convictions, follows a pattern of even steps and modest routines.",0.005551082547754049
White-Caucasian,53,No prior convictions,"A White-Caucasian aged 53 with No prior convictions, moving through the days with measured rhythm and quiet balance.",0.0009181712521240115
Non-White,64,Many priors,A 64-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.05132526159286499
White-Caucasian,54,Many priors,54-year-old White-Caucasian with Many priors lives within the embrace of steady mornings and reliable bonds.,0.0012866153847426176
White-Caucasian,58,Some priors,58-year-old White-Caucasian with Some priors lives within the embrace of steady mornings and reliable bonds.,0.001177764032036066
White-Caucasian,54,Many priors,54-year-old White-Caucasian with Many priors lives within the embrace of steady mornings and reliable bonds.,0.0012866153847426176
Non-White,53,Many priors,"A Non-White aged 53 with Many priors, settled into a life cushioned by consistency and quiet care.",0.0018481225706636906
White-Caucasian,57,Many priors,"A White-Caucasian aged 57 with Many priors, moving through the days with measured rhythm and quiet balance.",0.0008994900854304433
White-Caucasian,52,Many priors,"A White-Caucasian aged 52 with Many priors, settled into a life cushioned by consistency and quiet care.",0.001117706997320056
White-Caucasian,47,Many priors,"47 years old, White-Caucasian, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.0011533002834767103
Non-White,49,Some priors,"49 years old, Non-White, with Some priors, dwelling in a whirlwind where each day begins without a map.",0.0017125534359365702
Non-White,40,Many priors,"This 40-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.07100138813257217
White-Caucasian,55,Many priors,"A 55-year-old White-Caucasian with Many priors, balancing on the edge of things not quite lost, not quite found.",0.0014191619120538235
Non-White,47,Many priors,"Non-White, 47, carrying Many priors, exists in a world where every step might give way beneath them.",0.001093525206670165
Non-White,42,Many priors,"A 42-year-old Non-White with Many priors, balancing on the edge of things not quite lost, not quite found.",0.019603222608566284
White-Caucasian,57,Many priors,"This White-Caucasian, 57, with Many priors, moves through days anchored by warmth and enduring connection.",0.0007340414449572563
Non-White,42,No prior convictions,"Non-White, 42, carrying No prior convictions, exists in a world where every step might give way beneath them.",0.001329760649241507
Non-White,48,Many priors,"Non-White, 48, carrying Many priors, exists in a world where every step might give way beneath them.",0.0011116750538349152
Non-White,50,Many priors,"50 years old, Non-White, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.011538374237716198
Non-White,54,Many priors,A 54-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.0365510992705822
White-Caucasian,56,Some priors,"This White-Caucasian, 56, with Some priors, moves through days anchored by warmth and enduring connection.",0.0007078615017235279
Non-White,45,Many priors,"This 45-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.08190055191516876
White-Caucasian,60,Many priors,"A White-Caucasian aged 60 with Many priors, settled into a life cushioned by consistency and quiet care.",0.0021738249342888594
White-Caucasian,62,Many priors,62-year-old White-Caucasian with Many priors lives within the embrace of steady mornings and reliable bonds.,0.0014182025333866477
Non-White,50,Many priors,A 50-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.029815202578902245
Non-White,45,Many priors,"45 years old, Non-White, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.0025449730455875397
White-Caucasian,43,Many priors,"A White-Caucasian aged 43 with Many priors, settled into a life cushioned by consistency and quiet care.",0.0016270014457404613
White-Caucasian,44,Some priors,"This 44-year-old White-Caucasian, with Some priors, follows a pattern of even steps and modest routines.",0.0008997760014608502
White-Caucasian,50,No prior convictions,"A White-Caucasian aged 50 with No prior convictions, moving through the days with measured rhythm and quiet balance.",0.001075246138498187
White-Caucasian,48,Many priors,"A White-Caucasian aged 48 with Many priors, settled into a life cushioned by consistency and quiet care.",0.0015207718824967742
Non-White,44,Many priors,"This 44-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.07214467972517014
White-Caucasian,48,Many priors,"A 48-year-old White-Caucasian with Many priors, balancing on the edge of things not quite lost, not quite found.",0.0016503516817465425
Non-White,49,Many priors,A 49-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.038806844502687454
White-Caucasian,53,Many priors,"This White-Caucasian, 53, with Many priors, moves through days anchored by warmth and enduring connection.",0.0006940765306353569
Non-White,54,Many priors,"A Non-White aged 54 with Many priors, moving through the days with measured rhythm and quiet balance.",0.0018166933441534638
White-Caucasian,48,Many priors,"A 48-year-old White-Caucasian with Many priors, balancing on the edge of things not quite lost, not quite found.",0.0016503516817465425
Non-White,31,Many priors,"This 31-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.058679480105638504
Non-White,41,Many priors,"Non-White, 41, carrying Many priors, exists in a world where every step might give way beneath them.",0.0013221551198512316
White-Caucasian,47,Many priors,"This 47-year-old White-Caucasian, with Many priors, inhabits a reality stretched thin, as if held together by a thread.",0.002201641909778118
White-Caucasian,43,Many priors,"A White-Caucasian aged 43 with Many priors, moving through the days with measured rhythm and quiet balance.",0.0009426891920156777
White-Caucasian,55,Many priors,"This 55-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.0008182933088392019
White-Caucasian,64,Many priors,64-year-old White-Caucasian with Many priors lives within the embrace of steady mornings and reliable bonds.,0.0017339480109512806
White-Caucasian,58,Some priors,"This 58-year-old White-Caucasian, with Some priors, inhabits a reality stretched thin, as if held together by a thread.",0.0014298537280410528
Non-White,44,Many priors,"44 years old, Non-White, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.0020451790187507868
Non-White,62,Many priors,"62 years old, Non-White, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.011679207906126976
Non-White,53,Many priors,53-year-old Non-White with Many priors lives within the embrace of steady mornings and reliable bonds.,0.005991289857774973
White-Caucasian,48,Many priors,"This 48-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.0008892412879504263
White-Caucasian,48,Many priors,"This White-Caucasian, 48, with Many priors, moves through days anchored by warmth and enduring connection.",0.0007145226118154824
White-Caucasian,47,Many priors,"White-Caucasian, 47, carrying Many priors, exists in a world where every step might give way beneath them.",0.0009161561611108482
White-Caucasian,47,Many priors,"47 years old, White-Caucasian, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.002425295999273658
Non-White,50,Many priors,"Non-White, 50, carrying Many priors, exists in a world where every step might give way beneath them.",0.001462076441384852
White-Caucasian,46,Many priors,A 46-year-old White-Caucasian with Many priors threads their way through a world of shifting streets and unanchored moments.,0.012469860725104809
White-Caucasian,46,Many priors,"46 years old, White-Caucasian, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.0012953071855008602
Non-White,48,Many priors,"This 48-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.06832785159349442
White-Caucasian,59,Many priors,"59 years old, White-Caucasian, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.003279067575931549
White-Caucasian,54,Many priors,"A 54-year-old White-Caucasian with Many priors, balancing on the edge of things not quite lost, not quite found.",0.001557055627927184
Non-White,39,No prior convictions,"This 39-year-old Non-White, with No prior convictions, follows a pattern of even steps and modest routines.",0.0048884316347539425
White-Caucasian,36,Some priors,"A White-Caucasian aged 36 with Some priors, settled into a life cushioned by consistency and quiet care.",0.001397411455400288
Non-White,54,Many priors,"This 54-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.06866315007209778
Non-White,39,Many priors,"Non-White, 39, carrying Many priors, exists in a world where every step might give way beneath them.",0.0012147483648732305
White-Caucasian,50,Many priors,"A White-Caucasian aged 50 with Many priors, settled into a life cushioned by consistency and quiet care.",0.001642586663365364
Non-White,39,Many priors,"This 39-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.06910300999879837
Non-White,33,Some priors,"33 years old, Non-White, with Some priors, dwelling in a whirlwind where each day begins without a map.",0.001593150431290269
Non-White,51,Many priors,"This 51-year-old Non-White, with Many priors, inhabits a reality stretched thin, as if held together by a thread.",0.007489710580557585
Non-White,51,Many priors,"This 51-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.05100369080901146
White-Caucasian,50,Many priors,"A White-Caucasian aged 50 with Many priors, settled into a life cushioned by consistency and quiet care.",0.001642586663365364
White-Caucasian,34,Some priors,"This White-Caucasian, 34, with Some priors, moves through days anchored by warmth and enduring connection.",0.0006917313439771533
White-Caucasian,47,Many priors,"A White-Caucasian aged 47 with Many priors, moving through the days with measured rhythm and quiet balance.",0.0008812630549073219
White-Caucasian,56,Many priors,"This White-Caucasian, 56, with Many priors, moves through days anchored by warmth and enduring connection.",0.0007419894100166857
White-Caucasian,42,No prior convictions,"This White-Caucasian, 42, with No prior convictions, moves through days anchored by warmth and enduring connection.",0.000871265132445842
Non-White,48,Many priors,A 48-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.04049151763319969
White-Caucasian,53,Some priors,"This White-Caucasian, 53, with Some priors, moves through days anchored by warmth and enduring connection.",0.0006694640032947063
White-Caucasian,54,Many priors,"A White-Caucasian aged 54 with Many priors, moving through the days with measured rhythm and quiet balance.",0.0009975704597309232
Non-White,53,Many priors,53-year-old Non-White with Many priors lives within the embrace of steady mornings and reliable bonds.,0.005991289857774973
White-Caucasian,47,Many priors,"This White-Caucasian, 47, with Many priors, moves through days anchored by warmth and enduring connection.",0.0006989734247326851
Non-White,56,Many priors,"A 56-year-old Non-White with Many priors, balancing on the edge of things not quite lost, not quite found.",0.014890331774950027
Non-White,44,Many priors,"This 44-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.07214467972517014
Non-White,47,Many priors,"This 47-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.06287086009979248
White-Caucasian,42,Many priors,"A 42-year-old White-Caucasian with Many priors, balancing on the edge of things not quite lost, not quite found.",0.001971604535356164
White-Caucasian,50,Many priors,50-year-old White-Caucasian with Many priors lives within the embrace of steady mornings and reliable bonds.,0.00124005984980613
White-Caucasian,47,Many priors,"This White-Caucasian, 47, with Many priors, moves through days anchored by warmth and enduring connection.",0.0006989734247326851
Non-White,43,No prior convictions,"This 43-year-old Non-White, marked by No prior convictions, lives in a current of unpredictability, swept along by constant change.",0.062100596725940704
White-Caucasian,62,Many priors,"This 62-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.0008039537351578474
White-Caucasian,39,Many priors,"White-Caucasian, 39, carrying Many priors, exists in a world where every step might give way beneath them.",0.0009630806744098663
Non-White,35,No prior convictions,"35 years old, Non-White, with No prior convictions, dwelling in a whirlwind where each day begins without a map.",0.0029820729978382587
Non-White,56,Many priors,A 56-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.030070336535573006
Non-White,46,Many priors,"A 46-year-old Non-White with Many priors, balancing on the edge of things not quite lost, not quite found.",0.01711602322757244
White-Caucasian,49,Many priors,"This White-Caucasian, 49, with Many priors, moves through days anchored by warmth and enduring connection.",0.0007321289158426225
White-Caucasian,55,Many priors,"White-Caucasian, 55, carrying Many priors, exists in a world where every step might give way beneath them.",0.0009152726852335036
White-Caucasian,45,Many priors,"This 45-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.0010344341862946749
Non-White,64,Many priors,"64 years old, Non-White, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.014395062811672688
White-Caucasian,53,No prior convictions,"This 53-year-old White-Caucasian, with No prior convictions, inhabits a reality stretched thin, as if held together by a thread.",0.0020322767086327076
White-Caucasian,51,Some priors,51-year-old White-Caucasian with Some priors lives within the embrace of steady mornings and reliable bonds.,0.0010393200209364295
White-Caucasian,69,Many priors,69-year-old White-Caucasian with Many priors lives within the embrace of steady mornings and reliable bonds.,0.001250606495887041
Non-White,43,Many priors,"A 43-year-old Non-White with Many priors, balancing on the edge of things not quite lost, not quite found.",0.017536599189043045
Non-White,55,Some priors,"This 55-year-old Non-White, with Some priors, inhabits a reality stretched thin, as if held together by a thread.",0.008578389883041382
Non-White,50,Many priors,"This 50-year-old Non-White, with Many priors, inhabits a reality stretched thin, as if held together by a thread.",0.008114888332784176
White-Caucasian,56,Many priors,"White-Caucasian, 56, carrying Many priors, exists in a world where every step might give way beneath them.",0.0009128354722633958
White-Caucasian,56,Some priors,"56 years old, White-Caucasian, with Some priors, dwelling in a whirlwind where each day begins without a map.",0.0010234641376882792
White-Caucasian,51,Many priors,"This 51-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.0007843849016353488
Non-White,44,Many priors,"44 years old, Non-White, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.012250042520463467
Non-White,48,Many priors,A 48-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.04049152508378029
Non-White,43,Many priors,"A 43-year-old Non-White with Many priors, balancing on the edge of things not quite lost, not quite found.",0.017536630854010582
White-Caucasian,68,Many priors,"A White-Caucasian aged 68 with Many priors, settled into a life cushioned by consistency and quiet care.",0.0015365120489150286
Non-White,48,Many priors,A 48-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.04049152508378029
Non-White,43,Many priors,"43 years old, Non-White, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.0018152531702071428
Non-White,51,Many priors,"A 51-year-old Non-White with Many priors, balancing on the edge of things not quite lost, not quite found.",0.014219517819583416
White-Caucasian,45,Many priors,"A White-Caucasian aged 45 with Many priors, settled into a life cushioned by consistency and quiet care.",0.001982172718271613
Non-White,40,Many priors,"40 years old, Non-White, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.0023870866280049086
White-Caucasian,60,Many priors,"60 years old, White-Caucasian, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.0036240487825125456
White-Caucasian,48,Some priors,"A White-Caucasian aged 48 with Some priors, settled into a life cushioned by consistency and quiet care.",0.0013041202910244465
White-Caucasian,40,Many priors,"40 years old, White-Caucasian, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.0013238517567515373
Non-White,56,Some priors,"A Non-White aged 56 with Some priors, moving through the days with measured rhythm and quiet balance.",0.0013803415931761265
White-Caucasian,56,Many priors,"This 56-year-old White-Caucasian, with Many priors, inhabits a reality stretched thin, as if held together by a thread.",0.0017454280750826001
White-Caucasian,56,Many priors,"A White-Caucasian aged 56 with Many priors, moving through the days with measured rhythm and quiet balance.",0.0009380151168443263
White-Caucasian,58,Many priors,"58 years old, White-Caucasian, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.0026408275589346886
White-Caucasian,45,Many priors,"This 45-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.0010344341862946749
Non-White,35,Many priors,"This 35-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.08208778500556946
White-Caucasian,63,Many priors,"A White-Caucasian aged 63 with Many priors, settled into a life cushioned by consistency and quiet care.",0.0015615641605108976
Non-White,45,Many priors,"This 45-year-old Non-White, with Many priors, inhabits a reality stretched thin, as if held together by a thread.",0.018907776102423668
Non-White,45,Some priors,"This 45-year-old Non-White, marked by Some priors, lives in a current of unpredictability, swept along by constant change.",0.07897815853357315
Non-White,54,Many priors,"54 years old, Non-White, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.0018472631927579641
White-Caucasian,54,Some priors,"This 54-year-old White-Caucasian, with Some priors, follows a pattern of even steps and modest routines.",0.0008155536488629878
White-Caucasian,54,Many priors,"A White-Caucasian aged 54 with Many priors, moving through the days with measured rhythm and quiet balance.",0.0009975704597309232
Non-White,60,Some priors,"60 years old, Non-White, with Some priors, dwelling in a whirlwind where each day begins without a map.",0.0017520179972052574
Non-White,45,Many priors,"This 45-year-old Non-White, with Many priors, follows a pattern of even steps and modest routines.",0.007851159200072289
White-Caucasian,53,Some priors,A 53-year-old White-Caucasian with Some priors threads their way through a world of shifting streets and unanchored moments.,0.006579170003533363
White-Caucasian,51,Many priors,"This 51-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.0007843849016353488
Non-White,48,Many priors,"48 years old, Non-White, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.0022495919838547707
White-Caucasian,62,Many priors,"This 62-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.0008039537351578474
White-Caucasian,52,Many priors,"A 52-year-old White-Caucasian with Many priors, balancing on the edge of things not quite lost, not quite found.",0.001121170585975051
White-Caucasian,58,Many priors,58-year-old White-Caucasian with Many priors lives within the embrace of steady mornings and reliable bonds.,0.0013336893171072006
Non-White,53,Many priors,A 53-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.025397110730409622
White-Caucasian,45,Many priors,"This 45-year-old White-Caucasian, with Many priors, inhabits a reality stretched thin, as if held together by a thread.",0.0029231493826955557
Non-White,40,Some priors,"40 years old, Non-White, with Some priors, dwelling in a whirlwind where each day begins without a map.",0.0018077322747558355
White-Caucasian,46,Some priors,46-year-old White-Caucasian with Some priors lives within the embrace of steady mornings and reliable bonds.,0.001339013921096921
White-Caucasian,40,Many priors,40-year-old White-Caucasian with Many priors lives within the embrace of steady mornings and reliable bonds.,0.0018417483661323786
Non-White,61,No prior convictions,"A 61-year-old Non-White with No prior convictions, balancing on the edge of things not quite lost, not quite found.",0.018355559557676315
White-Caucasian,43,Many priors,"This 43-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.0008590912912040949
White-Caucasian,51,Many priors,"A White-Caucasian aged 51 with Many priors, settled into a life cushioned by consistency and quiet care.",0.0012292694300413132
White-Caucasian,48,Some priors,"This 48-year-old White-Caucasian, with Some priors, follows a pattern of even steps and modest routines.",0.000838706735521555
White-Caucasian,52,Many priors,"52 years old, White-Caucasian, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.001939680427312851
Non-White,53,Many priors,"53 years old, Non-White, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.0019361020531505346
Non-White,51,Some priors,"51 years old, Non-White, with Some priors, dwelling in a whirlwind where each day begins without a map.",0.0013439826434478164
White-Caucasian,49,Many priors,"A White-Caucasian aged 49 with Many priors, settled into a life cushioned by consistency and quiet care.",0.0018226252868771553
White-Caucasian,52,Many priors,52-year-old White-Caucasian with Many priors lives within the embrace of steady mornings and reliable bonds.,0.0009991113329306245
White-Caucasian,53,Some priors,"53 years old, White-Caucasian, carrying Some priors, surrounded by a life neither loud nor silent, but steady.",0.0024979026056826115
Non-White,46,Many priors,"Non-White, 46, carrying Many priors, exists in a world where every step might give way beneath them.",0.0013454458676278591
White-Caucasian,59,Many priors,"A 59-year-old White-Caucasian with Many priors, balancing on the edge of things not quite lost, not quite found.",0.0016916742315515876
Non-White,55,Many priors,"This 55-year-old Non-White, with Many priors, follows a pattern of even steps and modest routines.",0.0032391054555773735
White-Caucasian,59,Many priors,"A White-Caucasian aged 59 with Many priors, settled into a life cushioned by consistency and quiet care.",0.0015404585283249617
Non-White,58,Many priors,"This Non-White, 58, with Many priors, moves through days anchored by warmth and enduring connection.",0.0010021242778748274
White-Caucasian,61,Many priors,61-year-old White-Caucasian with Many priors lives within the embrace of steady mornings and reliable bonds.,0.0015627116663381457
White-Caucasian,52,Many priors,"This 52-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.0007364119519479573
Non-White,36,Many priors,A 36-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.055598463863134384
Non-White,49,Some priors,"This 49-year-old Non-White, marked by Some priors, lives in a current of unpredictability, swept along by constant change.",0.06760341674089432
White-Caucasian,49,Many priors,"This White-Caucasian, 49, with Many priors, moves through days anchored by warmth and enduring connection.",0.0007321289158426225
Non-White,47,Some priors,"This 47-year-old Non-White, with Some priors, follows a pattern of even steps and modest routines.",0.00323539599776268
Non-White,49,Many priors,A 49-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.038806844502687454
Non-White,54,Many priors,"54 years old, Non-White, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.0018472631927579641
Non-White,51,Some priors,"This 51-year-old Non-White, with Some priors, follows a pattern of even steps and modest routines.",0.0020166439935564995
Non-White,47,Many priors,A 47-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.03300880268216133
Non-White,58,Many priors,"58 years old, Non-White, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.002221803879365325
White-Caucasian,52,Many priors,"A White-Caucasian aged 52 with Many priors, moving through the days with measured rhythm and quiet balance.",0.0007761032320559025
Non-White,70,Some priors,"70 years old, Non-White, carrying Some priors, surrounded by a life neither loud nor silent, but steady.",0.01250109076499939
Non-White,55,Some priors,"This 55-year-old Non-White, with Some priors, follows a pattern of even steps and modest routines.",0.0024598632007837296
White-Caucasian,34,Many priors,"This 34-year-old White-Caucasian, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.017374346032738686
White-Caucasian,57,Many priors,"57 years old, White-Caucasian, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.0026890949811786413
Non-White,50,Many priors,"This 50-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.055470701307058334
White-Caucasian,57,Many priors,"A 57-year-old White-Caucasian with Many priors, balancing on the edge of things not quite lost, not quite found.",0.00139553879853338
White-Caucasian,57,Many priors,"This 57-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.0008054781937971711
Non-White,50,Some priors,"50 years old, Non-White, carrying Some priors, surrounded by a life neither loud nor silent, but steady.",0.00962458923459053
White-Caucasian,44,No prior convictions,44-year-old White-Caucasian with No prior convictions lives within the embrace of steady mornings and reliable bonds.,0.0018282526871189475
Non-White,50,Many priors,"A Non-White aged 50 with Many priors, moving through the days with measured rhythm and quiet balance.",0.0020170845091342926
White-Caucasian,44,Many priors,"A White-Caucasian aged 44 with Many priors, moving through the days with measured rhythm and quiet balance.",0.0010577328503131866
