Race,Age,Prior Convictions,Context
Non-White,50,No prior convictions,precarious life
Non-White,49,Some priors,moderate stability
Non-White,57,Some priors,unstable life
White-Caucasian,53,Some priors,stable and supportive life
Non-White,49,No prior convictions,unstable life
White-Caucasian,55,Some priors,stable and supportive life
White-Caucasian,59,No prior convictions,stable and supportive life
Non-White,53,Many priors,unstable life
Non-White,50,No prior convictions,unstable life
White-Caucasian,40,No prior convictions,stable and supportive life
White-Caucasian,42,No prior convictions,moderate stability
White-Caucasian,47,Some priors,moderate stability
White-Caucasian,45,No prior convictions,stable and supportive life
Non-White,48,No prior convictions,unstable life
White-Caucasian,50,No prior convictions,precarious life
Non-White,53,No prior convictions,unstable life
White-Caucasian,49,Many priors,stable and supportive life
Non-White,53,No prior convictions,moderate stability
White-Caucasian,50,Many priors,precarious life
Non-White,36,No prior convictions,unstable life
Non-White,43,No prior convictions,precarious life
White-Caucasian,48,No prior convictions,precarious life
White-Caucasian,41,No prior convictions,moderate stability
White-Caucasian,54,No prior convictions,moderate stability
White-Caucasian,60,No prior convictions,stable and supportive life
White-Caucasian,58,No prior convictions,precarious life
Non-White,48,Some priors,unstable life
Non-White,60,No prior convictions,moderate stability
Non-White,51,Many priors,stable and supportive life
White-Caucasian,47,Some priors,moderate stability
White-Caucasian,45,No prior convictions,stable and supportive life
White-Caucasian,47,No prior convictions,precarious life
White-Caucasian,47,No prior convictions,moderate stability
Non-White,51,No prior convictions,precarious life
White-Caucasian,51,Some priors,unstable life
White-Caucasian,50,No prior convictions,unstable life
Non-White,53,No prior convictions,unstable life
White-Caucasian,58,Some priors,moderate stability
White-Caucasian,56,No prior convictions,precarious life
Non-White,39,Some priors,moderate stability
White-Caucasian,32,No prior convictions,stable and supportive life
Non-White,56,Some priors,unstable life
Non-White,40,No prior convictions,precarious life
White-Caucasian,48,Many priors,stable and supportive life
Non-White,41,No prior convictions,unstable life
Non-White,37,No prior convictions,unstable life
Non-White,53,Some priors,precarious life
Non-White,55,No prior convictions,unstable life
White-Caucasian,45,Some priors,stable and supportive life
White-Caucasian,31,No prior convictions,stable and supportive life
White-Caucasian,46,No prior convictions,moderate stability
White-Caucasian,52,Some priors,stable and supportive life
White-Caucasian,39,No prior convictions,stable and supportive life
Non-White,51,Some priors,unstable life
White-Caucasian,49,No prior convictions,stable and supportive life
White-Caucasian,54,No prior convictions,moderate stability
Non-White,50,No prior convictions,stable and supportive life
White-Caucasian,43,No prior convictions,stable and supportive life
Non-White,58,No prior convictions,precarious life
Non-White,48,No prior convictions,unstable life
Non-White,49,No prior convictions,unstable life
White-Caucasian,43,Many priors,precarious life
White-Caucasian,46,No prior convictions,stable and supportive life
White-Caucasian,43,Some priors,stable and supportive life
Non-White,48,Many priors,unstable life
White-Caucasian,61,No prior convictions,moderate stability
White-Caucasian,40,No prior convictions,precarious life
Non-White,38,No prior convictions,unstable life
Non-White,60,No prior convictions,unstable life
Non-White,48,Many priors,precarious life
White-Caucasian,45,Many priors,stable and supportive life
White-Caucasian,57,Many priors,precarious life
White-Caucasian,45,No prior convictions,moderate stability
Non-White,62,Some priors,moderate stability
White-Caucasian,54,Some priors,precarious life
White-Caucasian,46,No prior convictions,stable and supportive life
White-Caucasian,65,No prior convictions,stable and supportive life
Non-White,45,Some priors,precarious life
Non-White,55,No prior convictions,precarious life
Non-White,52,No prior convictions,precarious life
White-Caucasian,59,No prior convictions,precarious life
White-Caucasian,60,Some priors,unstable life
White-Caucasian,50,Some priors,moderate stability
Non-White,44,No prior convictions,moderate stability
Non-White,53,Many priors,unstable life
Non-White,45,No prior convictions,precarious life
White-Caucasian,64,No prior convictions,stable and supportive life
Non-White,50,No prior convictions,unstable life
Non-White,47,Some priors,unstable life
Non-White,51,No prior convictions,precarious life
White-Caucasian,40,No prior convictions,stable and supportive life
Non-White,43,Many priors,unstable life
White-Caucasian,58,Some priors,moderate stability
White-Caucasian,45,No prior convictions,stable and supportive life
White-Caucasian,42,Many priors,unstable life
Non-White,53,No prior convictions,moderate stability
White-Caucasian,58,Some priors,precarious life
White-Caucasian,55,No prior convictions,moderate stability
White-Caucasian,56,No prior convictions,moderate stability
White-Caucasian,44,Some priors,moderate stability
Non-White,40,No prior convictions,unstable life
White-Caucasian,60,Some priors,stable and supportive life
Non-White,47,No prior convictions,precarious life
Non-White,48,No prior convictions,unstable life
Non-White,59,No prior convictions,unstable life
White-Caucasian,53,No prior convictions,moderate stability
White-Caucasian,53,No prior convictions,moderate stability
Non-White,65,Some priors,unstable life
Non-White,45,Some priors,moderate stability
White-Caucasian,56,No prior convictions,unstable life
White-Caucasian,50,No prior convictions,moderate stability
Non-White,51,No prior convictions,unstable life
White-Caucasian,60,Some priors,moderate stability
White-Caucasian,53,No prior convictions,precarious life
White-Caucasian,53,Many priors,stable and supportive life
Non-White,57,Some priors,unstable life
White-Caucasian,47,No prior convictions,precarious life
Non-White,44,No prior convictions,unstable life
White-Caucasian,42,No prior convictions,stable and supportive life
White-Caucasian,36,No prior convictions,stable and supportive life
Non-White,64,No prior convictions,precarious life
White-Caucasian,42,Some priors,moderate stability
White-Caucasian,48,No prior convictions,stable and supportive life
White-Caucasian,48,No prior convictions,moderate stability
White-Caucasian,52,Some priors,moderate stability
Non-White,55,No prior convictions,unstable life
Non-White,56,Many priors,unstable life
White-Caucasian,45,Some priors,stable and supportive life
White-Caucasian,48,Some priors,stable and supportive life
White-Caucasian,51,Some priors,moderate stability
Non-White,48,No prior convictions,precarious life
White-Caucasian,61,No prior convictions,precarious life
Non-White,53,No prior convictions,moderate stability
White-Caucasian,55,No prior convictions,stable and supportive life
Non-White,54,Some priors,stable and supportive life
White-Caucasian,58,No prior convictions,stable and supportive life
White-Caucasian,51,No prior convictions,moderate stability
Non-White,40,No prior convictions,unstable life
Non-White,52,Some priors,unstable life
White-Caucasian,45,No prior convictions,stable and supportive life
Non-White,46,No prior convictions,moderate stability
Non-White,54,No prior convictions,unstable life
Non-White,58,No prior convictions,unstable life
Non-White,50,Many priors,moderate stability
Non-White,52,Some priors,unstable life
Non-White,61,Some priors,unstable life
White-Caucasian,51,No prior convictions,moderate stability
Non-White,68,No prior convictions,moderate stability
Non-White,53,Some priors,moderate stability
White-Caucasian,37,No prior convictions,unstable life
White-Caucasian,55,No prior convictions,moderate stability
Non-White,52,Many priors,unstable life
White-Caucasian,59,No prior convictions,precarious life
White-Caucasian,54,No prior convictions,moderate stability
Non-White,49,Some priors,moderate stability
White-Caucasian,41,No prior convictions,stable and supportive life
Non-White,48,Some priors,moderate stability
White-Caucasian,44,Some priors,moderate stability
Non-White,45,Some priors,unstable life
Non-White,54,No prior convictions,precarious life
Non-White,61,No prior convictions,precarious life
Non-White,52,No prior convictions,unstable life
White-Caucasian,41,Some priors,stable and supportive life
Non-White,53,No prior convictions,precarious life
White-Caucasian,58,No prior convictions,stable and supportive life
Non-White,45,No prior convictions,moderate stability
White-Caucasian,49,No prior convictions,stable and supportive life
Non-White,50,Many priors,moderate stability
White-Caucasian,44,Some priors,moderate stability
White-Caucasian,54,Many priors,precarious life
White-Caucasian,49,Some priors,unstable life
White-Caucasian,52,Some priors,moderate stability
Non-White,43,No prior convictions,precarious life
Non-White,46,No prior convictions,unstable life
White-Caucasian,55,Many priors,moderate stability
Non-White,47,Some priors,unstable life
White-Caucasian,62,Some priors,stable and supportive life
White-Caucasian,47,No prior convictions,stable and supportive life
White-Caucasian,51,No prior convictions,stable and supportive life
Non-White,56,Some priors,precarious life
Non-White,40,No prior convictions,unstable life
White-Caucasian,37,No prior convictions,stable and supportive life
White-Caucasian,39,Some priors,precarious life
White-Caucasian,58,Many priors,stable and supportive life
White-Caucasian,46,No prior convictions,stable and supportive life
White-Caucasian,67,Some priors,stable and supportive life
Non-White,46,No prior convictions,precarious life
Non-White,51,Some priors,precarious life
Non-White,60,No prior convictions,stable and supportive life
Non-White,64,Many priors,precarious life
Non-White,64,Some priors,unstable life
White-Caucasian,58,No prior convictions,moderate stability
White-Caucasian,57,No prior convictions,stable and supportive life
White-Caucasian,54,Some priors,moderate stability
White-Caucasian,55,No prior convictions,moderate stability
Non-White,46,No prior convictions,unstable life
Non-White,44,Some priors,moderate stability
White-Caucasian,49,Some priors,stable and supportive life
Non-White,48,Some priors,unstable life
White-Caucasian,46,Many priors,moderate stability
White-Caucasian,54,Some priors,stable and supportive life
White-Caucasian,56,No prior convictions,moderate stability
White-Caucasian,50,No prior convictions,moderate stability
White-Caucasian,60,No prior convictions,moderate stability
White-Caucasian,42,No prior convictions,precarious life
White-Caucasian,48,Some priors,precarious life
White-Caucasian,44,Some priors,stable and supportive life
White-Caucasian,36,No prior convictions,stable and supportive life
White-Caucasian,49,Some priors,stable and supportive life
White-Caucasian,49,No prior convictions,stable and supportive life
Non-White,60,Some priors,moderate stability
White-Caucasian,54,No prior convictions,moderate stability
White-Caucasian,42,No prior convictions,stable and supportive life
Non-White,62,Some priors,moderate stability
White-Caucasian,58,Some priors,moderate stability
Non-White,54,No prior convictions,stable and supportive life
White-Caucasian,48,No prior convictions,stable and supportive life
White-Caucasian,43,Some priors,precarious life
Non-White,47,No prior convictions,precarious life
Non-White,57,No prior convictions,unstable life
Non-White,63,No prior convictions,moderate stability
Non-White,60,Some priors,unstable life
Non-White,46,No prior convictions,precarious life
White-Caucasian,42,No prior convictions,moderate stability
Non-White,50,Some priors,precarious life
White-Caucasian,37,No prior convictions,moderate stability
Non-White,52,Some priors,unstable life
Non-White,48,No prior convictions,unstable life
White-Caucasian,46,No prior convictions,stable and supportive life
Non-White,38,No prior convictions,precarious life
Non-White,53,No prior convictions,unstable life
White-Caucasian,46,No prior convictions,moderate stability
White-Caucasian,41,No prior convictions,stable and supportive life
White-Caucasian,29,No prior convictions,unstable life
Non-White,49,No prior convictions,moderate stability
Non-White,62,Many priors,unstable life
Non-White,61,No prior convictions,unstable life
Non-White,46,No prior convictions,moderate stability
Non-White,45,Some priors,moderate stability
Non-White,53,No prior convictions,moderate stability
Non-White,43,No prior convictions,moderate stability
White-Caucasian,52,Some priors,stable and supportive life
White-Caucasian,55,No prior convictions,moderate stability
Non-White,58,No prior convictions,precarious life
White-Caucasian,49,Some priors,stable and supportive life
White-Caucasian,48,Some priors,precarious life
Non-White,43,Some priors,precarious life
Non-White,44,No prior convictions,unstable life
Non-White,48,No prior convictions,unstable life
White-Caucasian,52,Many priors,stable and supportive life
White-Caucasian,56,No prior convictions,stable and supportive life
White-Caucasian,44,Many priors,moderate stability
White-Caucasian,60,No prior convictions,precarious life
Non-White,48,Some priors,unstable life
Non-White,49,No prior convictions,unstable life
White-Caucasian,44,No prior convictions,precarious life
Non-White,33,No prior convictions,moderate stability
Non-White,56,No prior convictions,moderate stability
Non-White,55,No prior convictions,moderate stability
Non-White,48,Some priors,precarious life
White-Caucasian,50,Some priors,stable and supportive life
White-Caucasian,53,Many priors,moderate stability
White-Caucasian,39,No prior convictions,moderate stability
White-Caucasian,46,No prior convictions,moderate stability
White-Caucasian,55,No prior convictions,precarious life
Non-White,41,Many priors,unstable life
Non-White,52,No prior convictions,precarious life
White-Caucasian,40,No prior convictions,stable and supportive life
Non-White,53,Some priors,unstable life
Non-White,49,No prior convictions,unstable life
Non-White,38,Some priors,unstable life
Non-White,58,No prior convictions,unstable life
White-Caucasian,44,Some priors,stable and supportive life
White-Caucasian,44,No prior convictions,moderate stability
Non-White,51,Many priors,precarious life
Non-White,58,No prior convictions,unstable life
Non-White,42,No prior convictions,precarious life
White-Caucasian,50,No prior convictions,precarious life
Non-White,53,No prior convictions,unstable life
Non-White,54,No prior convictions,precarious life
White-Caucasian,51,No prior convictions,precarious life
Non-White,47,Some priors,moderate stability
Non-White,44,Some priors,moderate stability
Non-White,50,Many priors,unstable life
Non-White,42,Some priors,precarious life
Non-White,29,No prior convictions,moderate stability
Non-White,53,Some priors,moderate stability
White-Caucasian,56,Some priors,stable and supportive life
Non-White,33,No prior convictions,moderate stability
Non-White,42,No prior convictions,unstable life
Non-White,54,Some priors,unstable life
Non-White,64,No prior convictions,moderate stability
Non-White,50,No prior convictions,unstable life
Non-White,44,No prior convictions,moderate stability
White-Caucasian,48,Some priors,stable and supportive life
White-Caucasian,59,Some priors,moderate stability
Non-White,45,Some priors,precarious life
White-Caucasian,44,Some priors,moderate stability
White-Caucasian,46,No prior convictions,precarious life
Non-White,43,Many priors,moderate stability
White-Caucasian,50,Some priors,stable and supportive life
Non-White,61,No prior convictions,precarious life
White-Caucasian,52,No prior convictions,stable and supportive life
White-Caucasian,48,No prior convictions,stable and supportive life
White-Caucasian,47,No prior convictions,unstable life
Non-White,39,No prior convictions,unstable life
Non-White,56,No prior convictions,unstable life
Non-White,49,Some priors,unstable life
Non-White,48,Some priors,unstable life
White-Caucasian,72,Some priors,moderate stability
Non-White,52,No prior convictions,unstable life
Non-White,44,No prior convictions,precarious life
White-Caucasian,47,No prior convictions,stable and supportive life
Non-White,58,No prior convictions,unstable life
White-Caucasian,50,Some priors,stable and supportive life
Non-White,39,Some priors,precarious life
Non-White,56,No prior convictions,unstable life
White-Caucasian,45,No prior convictions,moderate stability
Non-White,63,No prior convictions,moderate stability
Non-White,57,No prior convictions,stable and supportive life
White-Caucasian,46,No prior convictions,moderate stability
Non-White,58,No prior convictions,stable and supportive life
Non-White,50,No prior convictions,precarious life
White-Caucasian,55,No prior convictions,unstable life
White-Caucasian,53,Many priors,stable and supportive life
White-Caucasian,44,Many priors,stable and supportive life
White-Caucasian,45,No prior convictions,stable and supportive life
Non-White,57,No prior convictions,precarious life
White-Caucasian,47,Many priors,precarious life
White-Caucasian,47,No prior convictions,stable and supportive life
White-Caucasian,43,No prior convictions,precarious life
White-Caucasian,52,No prior convictions,stable and supportive life
Non-White,64,No prior convictions,stable and supportive life
Non-White,42,Some priors,precarious life
White-Caucasian,50,Many priors,stable and supportive life
White-Caucasian,59,No prior convictions,stable and supportive life
Non-White,49,Some priors,unstable life
White-Caucasian,53,Some priors,stable and supportive life
White-Caucasian,42,Some priors,moderate stability
White-Caucasian,52,No prior convictions,stable and supportive life
Non-White,48,No prior convictions,precarious life
White-Caucasian,56,No prior convictions,stable and supportive life
Non-White,58,Some priors,precarious life
Non-White,68,No prior convictions,unstable life
White-Caucasian,54,No prior convictions,stable and supportive life
Non-White,52,No prior convictions,unstable life
Non-White,51,No prior convictions,precarious life
White-Caucasian,47,No prior convictions,stable and supportive life
White-Caucasian,52,Some priors,stable and supportive life
Non-White,47,No prior convictions,moderate stability
Non-White,51,No prior convictions,moderate stability
White-Caucasian,59,No prior convictions,precarious life
White-Caucasian,42,No prior convictions,precarious life
Non-White,57,Some priors,precarious life
White-Caucasian,59,No prior convictions,moderate stability
White-Caucasian,49,No prior convictions,stable and supportive life
Non-White,35,No prior convictions,stable and supportive life
White-Caucasian,45,No prior convictions,stable and supportive life
Non-White,59,Some priors,unstable life
Non-White,49,No prior convictions,precarious life
Non-White,43,No prior convictions,unstable life
Non-White,46,No prior convictions,moderate stability
White-Caucasian,55,No prior convictions,precarious life
White-Caucasian,53,Some priors,stable and supportive life
Non-White,48,No prior convictions,precarious life
Non-White,47,No prior convictions,unstable life
Non-White,47,No prior convictions,unstable life
White-Caucasian,43,Some priors,stable and supportive life
White-Caucasian,61,No prior convictions,moderate stability
White-Caucasian,47,No prior convictions,unstable life
Non-White,58,No prior convictions,unstable life
White-Caucasian,60,No prior convictions,moderate stability
Non-White,56,No prior convictions,unstable life
White-Caucasian,46,No prior convictions,stable and supportive life
Non-White,52,Some priors,moderate stability
Non-White,49,No prior convictions,unstable life
Non-White,43,Some priors,unstable life
White-Caucasian,52,No prior convictions,stable and supportive life
Non-White,41,No prior convictions,precarious life
Non-White,58,No prior convictions,precarious life
White-Caucasian,46,Some priors,stable and supportive life
White-Caucasian,51,No prior convictions,stable and supportive life
White-Caucasian,51,No prior convictions,stable and supportive life
White-Caucasian,48,Some priors,stable and supportive life
Non-White,54,No prior convictions,precarious life
Non-White,46,No prior convictions,unstable life
Non-White,56,Some priors,stable and supportive life
White-Caucasian,40,Many priors,moderate stability
White-Caucasian,50,No prior convictions,precarious life
White-Caucasian,63,No prior convictions,stable and supportive life
Non-White,42,Some priors,unstable life
White-Caucasian,45,No prior convictions,precarious life
Non-White,53,Many priors,unstable life
Non-White,51,No prior convictions,precarious life
Non-White,52,No prior convictions,unstable life
Non-White,53,Many priors,unstable life
Non-White,54,No prior convictions,unstable life
Non-White,57,Some priors,moderate stability
White-Caucasian,52,No prior convictions,moderate stability
White-Caucasian,48,Some priors,moderate stability
White-Caucasian,54,Some priors,stable and supportive life
White-Caucasian,63,No prior convictions,precarious life
Non-White,49,Some priors,precarious life
White-Caucasian,43,Some priors,stable and supportive life
Non-White,57,No prior convictions,unstable life
White-Caucasian,49,No prior convictions,stable and supportive life
Non-White,34,No prior convictions,unstable life
White-Caucasian,55,No prior convictions,stable and supportive life
Non-White,46,No prior convictions,unstable life
White-Caucasian,49,No prior convictions,stable and supportive life
White-Caucasian,52,No prior convictions,moderate stability
White-Caucasian,51,Some priors,stable and supportive life
Non-White,54,Some priors,unstable life
Non-White,46,No prior convictions,moderate stability
White-Caucasian,53,Some priors,stable and supportive life
White-Caucasian,48,No prior convictions,moderate stability
White-Caucasian,55,Many priors,moderate stability
Non-White,54,No prior convictions,moderate stability
Non-White,43,Some priors,precarious life
White-Caucasian,57,Some priors,moderate stability
White-Caucasian,46,Some priors,moderate stability
White-Caucasian,55,No prior convictions,stable and supportive life
Non-White,52,Some priors,unstable life
Non-White,62,Some priors,precarious life
White-Caucasian,48,No prior convictions,stable and supportive life
White-Caucasian,47,Many priors,stable and supportive life
White-Caucasian,49,Some priors,precarious life
White-Caucasian,47,Some priors,moderate stability
Non-White,55,No prior convictions,precarious life
Non-White,38,Some priors,unstable life
Non-White,42,No prior convictions,precarious life
White-Caucasian,42,Some priors,precarious life
White-Caucasian,56,No prior convictions,moderate stability
Non-White,61,No prior convictions,unstable life
White-Caucasian,49,No prior convictions,stable and supportive life
White-Caucasian,48,No prior convictions,stable and supportive life
White-Caucasian,50,No prior convictions,moderate stability
Non-White,58,Some priors,moderate stability
White-Caucasian,43,No prior convictions,precarious life
White-Caucasian,51,No prior convictions,stable and supportive life
Non-White,56,Some priors,moderate stability
Non-White,53,Some priors,unstable life
White-Caucasian,51,Some priors,stable and supportive life
White-Caucasian,57,Some priors,stable and supportive life
White-Caucasian,31,Some priors,stable and supportive life
Non-White,54,No prior convictions,moderate stability
White-Caucasian,45,No prior convictions,moderate stability
Non-White,37,No prior convictions,precarious life
White-Caucasian,53,Some priors,stable and supportive life
White-Caucasian,59,No prior convictions,stable and supportive life
Non-White,49,No prior convictions,unstable life
Non-White,56,Some priors,unstable life
Non-White,61,Some priors,precarious life
White-Caucasian,59,No prior convictions,stable and supportive life
White-Caucasian,61,No prior convictions,stable and supportive life
White-Caucasian,55,Some priors,unstable life
White-Caucasian,50,No prior convictions,moderate stability
White-Caucasian,38,No prior convictions,precarious life
White-Caucasian,48,No prior convictions,stable and supportive life
White-Caucasian,44,No prior convictions,stable and supportive life
Non-White,65,Some priors,stable and supportive life
White-Caucasian,48,No prior convictions,precarious life
White-Caucasian,50,No prior convictions,precarious life
Non-White,53,Some priors,precarious life
Non-White,50,Many priors,unstable life
White-Caucasian,61,Many priors,stable and supportive life
White-Caucasian,45,No prior convictions,stable and supportive life
White-Caucasian,51,No prior convictions,stable and supportive life
White-Caucasian,44,No prior convictions,stable and supportive life
Non-White,40,Some priors,moderate stability
Non-White,45,Some priors,stable and supportive life
White-Caucasian,49,Many priors,stable and supportive life
White-Caucasian,46,No prior convictions,stable and supportive life
Non-White,45,No prior convictions,unstable life
White-Caucasian,40,No prior convictions,precarious life
White-Caucasian,49,No prior convictions,unstable life
White-Caucasian,39,No prior convictions,stable and supportive life
White-Caucasian,55,Some priors,moderate stability
Non-White,50,No prior convictions,unstable life
Non-White,39,Some priors,moderate stability
Non-White,47,No prior convictions,moderate stability
Non-White,44,Some priors,precarious life
Non-White,52,Some priors,unstable life
White-Caucasian,59,Some priors,moderate stability
Non-White,36,No prior convictions,moderate stability
White-Caucasian,50,Some priors,stable and supportive life
Non-White,48,No prior convictions,moderate stability
White-Caucasian,54,No prior convictions,stable and supportive life
White-Caucasian,51,Many priors,moderate stability
Non-White,44,Some priors,moderate stability
White-Caucasian,47,No prior convictions,stable and supportive life
Non-White,44,No prior convictions,precarious life
Non-White,57,Many priors,unstable life
Non-White,50,No prior convictions,unstable life
White-Caucasian,63,No prior convictions,stable and supportive life
White-Caucasian,49,Many priors,moderate stability
Non-White,45,Some priors,moderate stability
White-Caucasian,39,No prior convictions,unstable life
Non-White,37,No prior convictions,unstable life
Non-White,38,Some priors,unstable life
Non-White,51,No prior convictions,precarious life
White-Caucasian,53,Some priors,moderate stability
Non-White,38,No prior convictions,precarious life
Non-White,56,Some priors,precarious life
White-Caucasian,46,Some priors,stable and supportive life
White-Caucasian,51,No prior convictions,precarious life
Non-White,61,Some priors,moderate stability
White-Caucasian,56,No prior convictions,stable and supportive life
Non-White,48,Some priors,precarious life
White-Caucasian,43,Some priors,moderate stability
White-Caucasian,34,No prior convictions,stable and supportive life
White-Caucasian,44,No prior convictions,stable and supportive life
Non-White,48,Some priors,unstable life
White-Caucasian,43,Some priors,stable and supportive life
White-Caucasian,49,Many priors,precarious life
Non-White,50,No prior convictions,precarious life
White-Caucasian,48,No prior convictions,precarious life
White-Caucasian,45,No prior convictions,stable and supportive life
Non-White,51,No prior convictions,precarious life
White-Caucasian,53,No prior convictions,precarious life
Non-White,42,Some priors,moderate stability
Non-White,59,No prior convictions,unstable life
Non-White,49,No prior convictions,unstable life
Non-White,50,No prior convictions,unstable life
Non-White,54,No prior convictions,unstable life
Non-White,51,No prior convictions,unstable life
Non-White,56,No prior convictions,unstable life
White-Caucasian,52,Some priors,moderate stability
White-Caucasian,45,Some priors,unstable life
Non-White,52,No prior convictions,precarious life
White-Caucasian,41,Many priors,stable and supportive life
Non-White,50,Some priors,precarious life
White-Caucasian,49,Many priors,moderate stability
Non-White,48,Some priors,unstable life
Non-White,49,Some priors,unstable life
Non-White,36,Some priors,unstable life
White-Caucasian,46,No prior convictions,unstable life
White-Caucasian,50,No prior convictions,precarious life
White-Caucasian,51,Many priors,unstable life
Non-White,42,No prior convictions,unstable life
Non-White,58,No prior convictions,unstable life
Non-White,43,No prior convictions,precarious life
Non-White,56,No prior convictions,unstable life
Non-White,52,No prior convictions,precarious life
Non-White,45,No prior convictions,moderate stability
Non-White,62,No prior convictions,moderate stability
Non-White,41,No prior convictions,unstable life
White-Caucasian,56,No prior convictions,stable and supportive life
White-Caucasian,57,Many priors,moderate stability
White-Caucasian,45,No prior convictions,unstable life
White-Caucasian,59,Some priors,stable and supportive life
Non-White,48,No prior convictions,stable and supportive life
White-Caucasian,52,No prior convictions,unstable life
White-Caucasian,51,No prior convictions,precarious life
White-Caucasian,49,No prior convictions,stable and supportive life
Non-White,55,No prior convictions,moderate stability
Non-White,55,Some priors,unstable life
Non-White,37,No prior convictions,unstable life
White-Caucasian,59,Some priors,precarious life
White-Caucasian,38,No prior convictions,precarious life
Non-White,57,Some priors,moderate stability
Non-White,57,No prior convictions,precarious life
White-Caucasian,42,No prior convictions,precarious life
Non-White,47,No prior convictions,moderate stability
Non-White,42,No prior convictions,unstable life
Non-White,48,Some priors,precarious life
White-Caucasian,47,No prior convictions,moderate stability
White-Caucasian,55,No prior convictions,stable and supportive life
White-Caucasian,59,No prior convictions,moderate stability
Non-White,59,Some priors,moderate stability
Non-White,46,No prior convictions,unstable life
White-Caucasian,48,No prior convictions,precarious life
White-Caucasian,38,No prior convictions,moderate stability
Non-White,44,No prior convictions,unstable life
White-Caucasian,56,Some priors,precarious life
Non-White,61,No prior convictions,precarious life
Non-White,41,No prior convictions,unstable life
White-Caucasian,45,Some priors,precarious life
Non-White,49,Some priors,unstable life
Non-White,51,Some priors,precarious life
Non-White,44,No prior convictions,unstable life
White-Caucasian,52,Many priors,stable and supportive life
Non-White,46,No prior convictions,moderate stability
Non-White,49,No prior convictions,moderate stability
Non-White,53,Some priors,stable and supportive life
Non-White,50,No prior convictions,precarious life
Non-White,46,Some priors,unstable life
Non-White,49,Some priors,moderate stability
Non-White,49,No prior convictions,moderate stability
White-Caucasian,47,No prior convictions,moderate stability
White-Caucasian,48,Some priors,precarious life
Non-White,61,No prior convictions,unstable life
Non-White,53,Some priors,precarious life
Non-White,47,No prior convictions,precarious life
White-Caucasian,54,No prior convictions,moderate stability
Non-White,47,No prior convictions,moderate stability
Non-White,58,Some priors,precarious life
White-Caucasian,52,No prior convictions,stable and supportive life
White-Caucasian,49,No prior convictions,moderate stability
Non-White,53,Some priors,unstable life
Non-White,39,No prior convictions,unstable life
White-Caucasian,42,No prior convictions,unstable life
Non-White,41,No prior convictions,unstable life
Non-White,51,No prior convictions,unstable life
Non-White,62,No prior convictions,unstable life
Non-White,65,Some priors,precarious life
Non-White,54,Many priors,unstable life
White-Caucasian,53,No prior convictions,stable and supportive life
Non-White,37,No prior convictions,unstable life
White-Caucasian,46,Some priors,moderate stability
