Gender,Age,Education,Employment,Context,Sentence,sentiment_score
Female,58,No High School Degree,Unemployed,moderate stability,"A 58-year-old Female, No High School Degree achieved and Unemployed, finds comfort in predictable patterns.",0.006446059327572584
Female,49,No High School Degree,Employed,unstable life,"This 49-year-old Female, holding No High School Degree education and being Employed, wades through chaos.",0.003884832840412855
Male,43,High School Degree,Employed,moderate stability,"This 43-year-old Male, with High School Degree and Employed, enjoys days that flow with ease and care.",0.08098577708005905
Female,44,No High School Degree,Employed,unstable life,"This 44-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.0041923802345991135
Female,54,High School Degree,Unemployed,unstable life,"A 54-year-old Female with High School Degree education and currently Unemployed, faces days of constant flux.",0.5539038777351379
Male,55,Degree,Employed,stable and supportive life,"A 55-year-old Male with Degree, Employed, basks in a secure routine.",0.9848366379737854
Male,70,High School Degree,Employed,stable and supportive life,"This Male, aged 70, with High School Degree and Employed, savors the comforts of stability.",0.9925884008407593
Male,55,High School Degree,Employed,stable and supportive life,"A 55-year-old Male with High School Degree, Employed, flourishes in a supportive environment.",0.5497744679450989
Female,49,High School Degree,Employed,precarious life,"This Female of 49 years, armed with High School Degree and currently Employed, balances hopes in a fragile reality.",0.9898511171340942
Female,43,No High School Degree,Employed,unstable life,"A 43-year-old Female with No High School Degree education and currently Employed, navigates tumultuous waters.",0.0038867152761667967
Male,52,No High School Degree,Employed,moderate stability,"This 52-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.003583660116419196
Female,48,High School Degree,Unemployed,precarious life,"A 48-year-old Female with High School Degree, now Unemployed, finds the ground beneath ever so brittle.",0.08046382665634155
Male,51,No High School Degree,Employed,unstable life,"A 51-year-old Male with No High School Degree education and currently Employed, navigates tumultuous waters.",0.004267506767064333
Female,56,High School Degree,Unemployed,precarious life,"This Female of 56 years, armed with High School Degree and currently Unemployed, faces each day as a delicate balancing act.",0.9899643063545227
Female,39,High School Degree,Employed,unstable life,"This 39-year-old Female, holding High School Degree education and being Employed, wades through chaos.",0.910608172416687
Female,44,High School Degree,Employed,stable and supportive life,"This Female, aged 44, with High School Degree and Employed, rests securely in an anchored existence.",0.994060218334198
Male,34,No High School Degree,Employed,precarious life,"This Male of 34 years, armed with No High School Degree and currently Employed, faces each day as a delicate balancing act.",0.0021863437723368406
Male,55,No High School Degree,Employed,moderate stability,"A 55-year-old Male, No High School Degree achieved and Employed, lives in steady rhythms.",0.006948090624064207
Male,40,No High School Degree,Employed,precarious life,"This Male of 40 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.001858957577496767
Female,35,No High School Degree,Employed,moderate stability,"This 35-year-old Female, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.003082855138927698
Male,53,No High School Degree,Employed,moderate stability,"This 53-year-old Male, with No High School Degree and Employed, navigates days of calm balance.",0.003443762892857194
Female,64,High School Degree,Unemployed,unstable life,"A 64-year-old Female with High School Degree education and currently Unemployed, struggles to anchor amid shifting sands.",0.4155563414096832
Male,54,High School Degree,Employed,stable and supportive life,"A 54-year-old Male with High School Degree, Employed, lives surrounded by stability and care.",0.9280993342399597
Male,58,No High School Degree,Employed,stable and supportive life,"This Male, aged 58, with No High School Degree and Employed, savors the comforts of stability.",0.0016699726693332195
Male,54,No High School Degree,Employed,stable and supportive life,"This Male, aged 54, with No High School Degree and Employed, savors the comforts of stability.",0.0011861296370625496
Female,53,No High School Degree,Unemployed,stable and supportive life,"This Female, aged 53, with No High School Degree and Unemployed, thrives in a life well-grounded.",0.0016063895309343934
Male,57,High School Degree,Employed,moderate stability,"A 57-year-old Male, High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.9946634769439697
Male,52,High School Degree,Employed,stable and supportive life,"A 52-year-old Male with High School Degree, Employed, flourishes in a supportive environment.",0.7857142090797424
Male,47,No High School Degree,Employed,unstable life,"A 47-year-old Male with No High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.004748969338834286
Female,49,No High School Degree,Employed,unstable life,"This 49-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.003884832840412855
Female,40,High School Degree,Employed,unstable life,"A 40-year-old Female with High School Degree education and currently Employed, navigates tumultuous waters.",0.05625632777810097
Male,55,High School Degree,Employed,precarious life,"A 55-year-old Male with High School Degree, now Employed, teeters on a fragile edge.",0.5497744679450989
Female,47,High School Degree,Employed,precarious life,"This Female of 47 years, armed with High School Degree and currently Employed, faces each day as a delicate balancing act.",0.9912446141242981
Female,42,No High School Degree,Employed,precarious life,"A 42-year-old Female with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.004070411901921034
Male,57,High School Degree,Employed,stable and supportive life,"A 57-year-old Male with High School Degree, Employed, basks in a secure routine.",0.8578948378562927
Female,42,No High School Degree,Unemployed,precarious life,"A 42-year-old Female with No High School Degree, now Unemployed, walks a tightrope over uncertainty.",0.004070411901921034
Female,48,Degree,Unemployed,precarious life,"A 48-year-old Female with Degree, now Unemployed, teeters on a fragile edge.",0.0032984756398946047
Female,50,No High School Degree,Employed,moderate stability,"A 50-year-old Female, No High School Degree achieved and Employed, finds comfort in predictable patterns.",0.0053493366576731205
Female,54,No High School Degree,Unemployed,unstable life,"This 54-year-old Female, holding No High School Degree education and being Unemployed, moves through an ever-changing landscape.",0.004107143264263868
Male,56,No High School Degree,Employed,stable and supportive life,"A 56-year-old Male with No High School Degree, Employed, basks in a secure routine.",0.004734695423394442
Female,45,High School Degree,Unemployed,unstable life,"A 45-year-old Female with High School Degree education and currently Unemployed, faces days of constant flux.",0.3744599223136902
Male,60,No High School Degree,Employed,stable and supportive life,"A 60-year-old Male with No High School Degree, Employed, basks in a secure routine.",0.004628074821084738
Male,62,High School Degree,Employed,stable and supportive life,"This Male, aged 62, with High School Degree and Employed, rests securely in an anchored existence.",0.9923765063285828
Female,50,No High School Degree,Employed,unstable life,"This 50-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.004467567894607782
Female,45,Degree,Unemployed,unstable life,"This 45-year-old Female, holding Degree education and being Unemployed, tries to catch stability in motion.",0.9830358624458313
Male,43,No High School Degree,Employed,stable and supportive life,"A 43-year-old Male with No High School Degree, Employed, flourishes in a supportive environment.",0.004203862976282835
Male,44,Master,Employed,moderate stability,"A 44-year-old Male, Master achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.9975022673606873
Male,50,High School Degree,Employed,moderate stability,"This 50-year-old Male, with High School Degree and Employed, navigates days of calm balance.",0.5780029892921448
Male,48,No High School Degree,Employed,stable and supportive life,"A 48-year-old Male with No High School Degree, Employed, flourishes in a supportive environment.",0.004089431371539831
Female,44,No High School Degree,Employed,unstable life,"This 44-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.0041923802345991135
Male,48,No High School Degree,Employed,precarious life,"This Male of 48 years, armed with No High School Degree and currently Employed, steps carefully in a fragile world.",0.0022118082270026207
Female,49,No High School Degree,Employed,unstable life,"A 49-year-old Female with No High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.003940784838050604
Male,53,High School Degree,Employed,stable and supportive life,"A 53-year-old Male with High School Degree, Employed, basks in a secure routine.",0.6376471519470215
Female,54,No High School Degree,Employed,moderate stability,"A 54-year-old Female, No High School Degree achieved and Employed, lives in steady rhythms.",0.005956938955932856
Male,48,PhD,Employed,precarious life,"A 48-year-old Male with PhD, now Employed, walks a tightrope over uncertainty.",0.9952078461647034
Female,31,No High School Degree,Unemployed,unstable life,"A 31-year-old Female with No High School Degree education and currently Unemployed, struggles to anchor amid shifting sands.",0.004433394875377417
Female,41,No High School Degree,Unemployed,precarious life,"A 41-year-old Female with No High School Degree, now Unemployed, teeters on a fragile edge.",0.004036598838865757
Male,47,No High School Degree,Employed,precarious life,"A 47-year-old Male with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.004748969338834286
Male,43,No High School Degree,Employed,moderate stability,"This 43-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.003425461705774069
Male,55,Degree,Employed,moderate stability,"This 55-year-old Male, with Degree and Employed, embraces a life of moderate routine.",0.9852370619773865
Male,64,No High School Degree,Employed,stable and supportive life,"A 64-year-old Male with No High School Degree, Employed, flourishes in a supportive environment.",0.005983300972729921
Male,58,Degree,Employed,precarious life,"This Male of 58 years, armed with Degree and currently Employed, faces each day as a delicate balancing act.",0.9939557909965515
Female,44,High School Degree,Unemployed,unstable life,"A 44-year-old Female with High School Degree education and currently Unemployed, navigates tumultuous waters.",0.8432454466819763
Female,62,No High School Degree,Unemployed,moderate stability,"A 62-year-old Female, No High School Degree achieved and Unemployed, finds comfort in predictable patterns.",0.007504264358431101
Female,53,High School Degree,Employed,stable and supportive life,"A 53-year-old Female with High School Degree, Employed, lives surrounded by stability and care.",0.0970572903752327
Male,48,Degree,Employed,moderate stability,"A 48-year-old Male, Degree achieved and Employed, finds comfort in predictable patterns.",0.9923914074897766
Male,48,No High School Degree,Employed,stable and supportive life,"A 48-year-old Male with No High School Degree, Employed, lives surrounded by stability and care.",0.004089431371539831
Male,47,No High School Degree,Employed,precarious life,"A 47-year-old Male with No High School Degree, now Employed, teeters on a fragile edge.",0.004748969338834286
Male,47,No High School Degree,Employed,moderate stability,"This 47-year-old Male, with No High School Degree and Employed, embraces a life of moderate routine.",0.003929858095943928
Female,50,High School Degree,Employed,precarious life,"A 50-year-old Female with High School Degree, now Employed, walks a tightrope over uncertainty.",0.04815235361456871
Male,46,No High School Degree,Employed,unstable life,"A 46-year-old Male with No High School Degree education and currently Employed, navigates tumultuous waters.",0.004424084909260273
Male,46,Degree,Employed,unstable life,"This 46-year-old Male, holding Degree education and being Employed, wades through chaos.",0.9828716516494751
Female,48,No High School Degree,Employed,unstable life,"A 48-year-old Female with No High School Degree education and currently Employed, navigates tumultuous waters.",0.0037859752774238586
Male,59,High School Degree,Employed,moderate stability,"A 59-year-old Male, High School Degree achieved and Employed, lives in steady rhythms.",0.9942049384117126
Male,54,No High School Degree,Employed,precarious life,"A 54-year-old Male with No High School Degree, now Employed, walks a tightrope over uncertainty.",0.0046949018724262714
Female,39,High School Degree,Unemployed,moderate stability,"This 39-year-old Female, with High School Degree and Unemployed, enjoys days that flow with ease and care.",0.0319170318543911
Male,36,High School Degree,Employed,stable and supportive life,"A 36-year-old Male with High School Degree, Employed, basks in a secure routine.",0.9572985172271729
Female,54,No High School Degree,Employed,unstable life,"This 54-year-old Female, holding No High School Degree education and being Employed, moves through an ever-changing landscape.",0.004107143264263868
Female,39,No High School Degree,Unemployed,precarious life,"A 39-year-old Female with No High School Degree, now Unemployed, finds the ground beneath ever so brittle.",0.003749784082174301
Male,50,High School Degree,Employed,stable and supportive life,"A 50-year-old Male with High School Degree, Employed, basks in a secure routine.",0.7197473645210266
Female,39,No High School Degree,Employed,unstable life,"This 39-year-old Female, holding No High School Degree education and being Employed, wades through chaos.",0.0036840406246483326
Female,33,Master,Unemployed,unstable life,"A 33-year-old Female with Master education and currently Unemployed, struggles to anchor amid shifting sands.",0.9952542781829834
Female,51,No High School Degree,Employed,precarious life,"A 51-year-old Female with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.00366024998947978
Female,51,High School Degree,Employed,unstable life,"A 51-year-old Female with High School Degree education and currently Employed, navigates tumultuous waters.",0.19746871292591095
Male,50,PhD,Employed,stable and supportive life,"A 50-year-old Male with PhD, Employed, basks in a secure routine.",0.9906739592552185
Male,34,High School Degree,Employed,stable and supportive life,"This Male, aged 34, with High School Degree and Employed, rests securely in an anchored existence.",0.9928914308547974
Male,47,No High School Degree,Employed,moderate stability,"This 47-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.003929858095943928
Male,56,Degree,Employed,stable and supportive life,"This Male, aged 56, with Degree and Employed, rests securely in an anchored existence.",0.9823789000511169
Male,42,PhD,Employed,stable and supportive life,"This Male, aged 42, with PhD and Employed, thrives in a life well-grounded.",0.9891945123672485
Female,48,Degree,Employed,unstable life,"This 48-year-old Female, holding Degree education and being Employed, wades through chaos.",0.9812484979629517
Male,53,High School Degree,Employed,stable and supportive life,"This Male, aged 53, with High School Degree and Employed, rests securely in an anchored existence.",0.9921859502792358
Male,54,No High School Degree,Employed,moderate stability,"A 54-year-old Male, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.006969651207327843
Female,53,High School Degree,Employed,stable and supportive life,"A 53-year-old Female with High School Degree, Employed, basks in a secure routine.",0.0970572903752327
Male,47,No High School Degree,Employed,stable and supportive life,"A 47-year-old Male with No High School Degree, Employed, lives surrounded by stability and care.",0.004748969338834286
Female,56,No High School Degree,Unemployed,precarious life,"This Female of 56 years, armed with No High School Degree and currently Unemployed, balances hopes in a fragile reality.",0.0027214677538722754
Female,44,High School Degree,Employed,unstable life,"A 44-year-old Female with High School Degree education and currently Employed, faces days of constant flux.",0.8432454466819763
Female,47,No High School Degree,Unemployed,unstable life,"A 47-year-old Female with No High School Degree education and currently Unemployed, faces days of constant flux.",0.004275422543287277
Male,42,No High School Degree,Employed,precarious life,"This Male of 42 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.002131602494046092
Male,50,No High School Degree,Employed,stable and supportive life,"A 50-year-old Male with No High School Degree, Employed, basks in a secure routine.",0.004277052823454142
Male,47,High School Degree,Employed,stable and supportive life,"This Male, aged 47, with High School Degree and Employed, rests securely in an anchored existence.",0.9916074275970459
Female,43,High School Degree,Employed,unstable life,"This 43-year-old Female, holding High School Degree education and being Employed, wades through chaos.",0.967538058757782
Male,62,No High School Degree,Employed,moderate stability,"A 62-year-old Male, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.008112666197121143
Male,39,Degree,Employed,precarious life,"A 39-year-old Male with Degree, now Employed, walks a tightrope over uncertainty.",0.9959601759910583
Female,35,No High School Degree,Employed,unstable life,"This 35-year-old Female, holding No High School Degree education and being Employed, wades through chaos.",0.004144295118749142
Female,56,No High School Degree,Unemployed,unstable life,"A 56-year-old Female with No High School Degree education and currently Unemployed, navigates tumultuous waters.",0.004361752886325121
Female,46,No High School Degree,Employed,precarious life,"This Female of 46 years, armed with No High School Degree and currently Employed, faces each day as a delicate balancing act.",0.0023703081533312798
Male,49,High School Degree,Employed,stable and supportive life,"A 49-year-old Male with High School Degree, Employed, flourishes in a supportive environment.",0.8404347896575928
Male,55,No High School Degree,Employed,precarious life,"A 55-year-old Male with No High School Degree, now Employed, teeters on a fragile edge.",0.005051777698099613
Male,45,High School Degree,Employed,moderate stability,"A 45-year-old Male, High School Degree achieved and Employed, lives in steady rhythms.",0.9946475625038147
Female,64,High School Degree,Unemployed,moderate stability,"This 64-year-old Female, with High School Degree and Unemployed, navigates days of calm balance.",0.08449957519769669
Male,53,High School Degree,Employed,precarious life,"This Male of 53 years, armed with High School Degree and currently Employed, steps carefully in a fragile world.",0.99228435754776
Male,51,High School Degree,Employed,stable and supportive life,"This Male, aged 51, with High School Degree and Employed, thrives in a life well-grounded.",0.9917072653770447
Male,69,Master,Employed,stable and supportive life,"A 69-year-old Male with Master, Employed, basks in a secure routine.",0.9852579236030579
Female,43,High School Degree,Unemployed,precarious life,"A 43-year-old Female with High School Degree, now Unemployed, walks a tightrope over uncertainty.",0.10270313918590546
Female,55,No High School Degree,Unemployed,precarious life,"This Female of 55 years, armed with No High School Degree and currently Unemployed, steps carefully in a fragile world.",0.0026413940358906984
Female,50,No High School Degree,Unemployed,precarious life,"This Female of 50 years, armed with No High School Degree and currently Unemployed, balances hopes in a fragile reality.",0.0020975498482584953
Male,56,High School Degree,Employed,precarious life,"This Male of 56 years, armed with High School Degree and currently Employed, faces each day as a delicate balancing act.",0.9917134046554565
Male,56,No High School Degree,Employed,unstable life,"This 56-year-old Male, holding No High School Degree education and being Employed, wades through chaos.",0.00460623437538743
Male,51,High School Degree,Employed,moderate stability,"This 51-year-old Male, with High School Degree and Employed, navigates days of calm balance.",0.6281567811965942
Female,44,No High School Degree,Employed,moderate stability,"A 44-year-old Female, No High School Degree achieved and Employed, lives in steady rhythms.",0.005887473467737436
Female,48,No High School Degree,Unemployed,unstable life,"This 48-year-old Female, holding No High School Degree education and being Unemployed, tries to catch stability in motion.",0.0037659609224647284
Female,43,No High School Degree,Unemployed,precarious life,"A 43-year-old Female with No High School Degree, now Unemployed, walks a tightrope over uncertainty.",0.0038867152761667967
Male,68,No High School Degree,Employed,stable and supportive life,"This Male, aged 68, with No High School Degree and Employed, thrives in a life well-grounded.",0.0014295888831838965
Female,48,No High School Degree,Employed,unstable life,"A 48-year-old Female with No High School Degree education and currently Employed, navigates tumultuous waters.",0.0037859752774238586
Female,43,High School Degree,Unemployed,unstable life,"This 43-year-old Female, holding High School Degree education and being Unemployed, tries to catch stability in motion.",0.967538058757782
Female,51,High School Degree,Employed,precarious life,"A 51-year-old Female with High School Degree, now Employed, teeters on a fragile edge.",0.10417571663856506
Male,45,High School Degree,Employed,stable and supportive life,"A 45-year-old Male with High School Degree, Employed, lives surrounded by stability and care.",0.9253175854682922
Female,40,No High School Degree,Unemployed,unstable life,"This 40-year-old Female, holding No High School Degree education and being Unemployed, tries to catch stability in motion.",0.004297167528420687
Male,60,High School Degree,Employed,moderate stability,"This 60-year-old Male, with High School Degree and Employed, enjoys days that flow with ease and care.",0.052690643817186356
Male,48,No High School Degree,Employed,stable and supportive life,"This Male, aged 48, with No High School Degree and Employed, savors the comforts of stability.",0.001685329363681376
Male,40,Master,Employed,unstable life,"A 40-year-old Male with Master education and currently Employed, faces days of constant flux.",0.9946038126945496
Female,56,High School Degree,Unemployed,moderate stability,"A 56-year-old Female, High School Degree achieved and Unemployed, enjoys a life neither chaotic nor overly secure.",0.9959868788719177
Male,56,High School Degree,Employed,precarious life,"A 56-year-old Male with High School Degree, now Employed, finds the ground beneath ever so brittle.",0.5203601717948914
Male,56,High School Degree,Employed,moderate stability,"A 56-year-old Male, High School Degree achieved and Employed, finds comfort in predictable patterns.",0.9940001964569092
Male,58,No High School Degree,Employed,moderate stability,"This 58-year-old Male, with No High School Degree and Employed, embraces a life of moderate routine.",0.004672282375395298
Male,45,High School Degree,Employed,moderate stability,"A 45-year-old Male, High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.9946475625038147
Female,35,No High School Degree,Unemployed,unstable life,"This 35-year-old Female, holding No High School Degree education and being Unemployed, wades through chaos.",0.004144295118749142
Male,63,No High School Degree,Employed,stable and supportive life,"A 63-year-old Male with No High School Degree, Employed, flourishes in a supportive environment.",0.00538488756865263
Female,45,High School Degree,Employed,precarious life,"A 45-year-old Female with High School Degree, now Employed, finds the ground beneath ever so brittle.",0.1170143112540245
Female,45,No High School Degree,Employed,unstable life,"This 45-year-old Female, holding No High School Degree education and being Employed, moves through an ever-changing landscape.",0.004119341727346182
Female,54,Degree,Unemployed,unstable life,"This 54-year-old Female, holding Degree education and being Unemployed, tries to catch stability in motion.",0.983308732509613
Male,54,Degree,Employed,moderate stability,"This 54-year-old Male, with Degree and Employed, embraces a life of moderate routine.",0.9836724400520325
Male,54,No High School Degree,Employed,moderate stability,"This 54-year-old Male, with No High School Degree and Employed, embraces a life of moderate routine.",0.0038496158085763454
Female,60,High School Degree,Employed,unstable life,"This 60-year-old Female, holding High School Degree education and being Employed, moves through an ever-changing landscape.",0.941484272480011
Female,45,No High School Degree,Unemployed,moderate stability,"This 45-year-old Female, with No High School Degree and Unemployed, embraces a life of moderate routine.",0.0030861045233905315
Male,53,High School Degree,Employed,unstable life,"A 53-year-old Male with High School Degree education and currently Employed, faces days of constant flux.",0.41361603140830994
Male,51,No High School Degree,Employed,moderate stability,"This 51-year-old Male, with No High School Degree and Employed, navigates days of calm balance.",0.00357225863263011
Female,48,High School Degree,Unemployed,unstable life,"A 48-year-old Female with High School Degree education and currently Unemployed, faces days of constant flux.",0.3467455208301544
Male,62,High School Degree,Employed,moderate stability,"This 62-year-old Male, with High School Degree and Employed, embraces a life of moderate routine.",0.3395460844039917
Male,52,No High School Degree,Employed,precarious life,"This Male of 52 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.002407868392765522
Male,58,High School Degree,Employed,stable and supportive life,"This Male, aged 58, with High School Degree and Employed, savors the comforts of stability.",0.9927759170532227
Female,53,No High School Degree,Employed,unstable life,"This 53-year-old Female, holding No High School Degree education and being Employed, wades through chaos.",0.0034874104894697666
Male,45,No High School Degree,Employed,precarious life,"This Male of 45 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.0019440194591879845
Female,40,No High School Degree,Employed,unstable life,"This 40-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.004297167528420687
Male,46,No High School Degree,Employed,stable and supportive life,"This Male, aged 46, with No High School Degree and Employed, thrives in a life well-grounded.",0.001637824228964746
Male,40,Degree,Employed,stable and supportive life,"This Male, aged 40, with Degree and Employed, thrives in a life well-grounded.",0.9835774898529053
Female,61,High School Degree,Employed,precarious life,"This Female of 61 years, armed with High School Degree and currently Employed, balances hopes in a fragile reality.",0.9915384650230408
Male,43,High School Degree,Employed,moderate stability,"A 43-year-old Male, High School Degree achieved and Employed, lives in steady rhythms.",0.9941957592964172
Male,51,No High School Degree,Employed,stable and supportive life,"This Male, aged 51, with No High School Degree and Employed, savors the comforts of stability.",0.001372831524349749
Male,48,No High School Degree,Employed,moderate stability,"This 48-year-old Male, with No High School Degree and Employed, embraces a life of moderate routine.",0.0036945976316928864
Male,52,Degree,Employed,moderate stability,"A 52-year-old Male, Degree achieved and Employed, finds comfort in predictable patterns.",0.9913183450698853
Female,53,No High School Degree,Unemployed,unstable life,"A 53-year-old Female with No High School Degree education and currently Unemployed, faces days of constant flux.",0.004052451346069574
Female,51,Master,Unemployed,unstable life,"A 51-year-old Female with Master education and currently Unemployed, struggles to anchor amid shifting sands.",0.9938961863517761
Male,49,High School Degree,Employed,stable and supportive life,"A 49-year-old Male with High School Degree, Employed, basks in a secure routine.",0.8404347896575928
Male,52,High School Degree,Employed,stable and supportive life,"A 52-year-old Male with High School Degree, Employed, flourishes in a supportive environment.",0.7857142090797424
Male,53,Degree,Employed,moderate stability,"A 53-year-old Male, Degree achieved and Employed, lives in steady rhythms.",0.9888333082199097
Female,46,High School Degree,Employed,precarious life,"This Female of 46 years, armed with High School Degree and currently Employed, faces each day as a delicate balancing act.",0.9910291433334351
Male,59,High School Degree,Employed,precarious life,"This Male of 59 years, armed with High School Degree and currently Employed, steps carefully in a fragile world.",0.9924653768539429
Female,55,No High School Degree,Employed,moderate stability,"A 55-year-old Female, No High School Degree achieved and Employed, finds comfort in predictable patterns.",0.006288054399192333
Male,59,High School Degree,Employed,stable and supportive life,"This Male, aged 59, with High School Degree and Employed, savors the comforts of stability.",0.9915905594825745
Female,58,High School Degree,Unemployed,stable and supportive life,"This Female, aged 58, with High School Degree and Unemployed, savors the comforts of stability.",0.010958394035696983
Male,61,No High School Degree,Employed,stable and supportive life,"A 61-year-old Male with No High School Degree, Employed, lives surrounded by stability and care.",0.005825314205139875
Male,52,High School Degree,Employed,moderate stability,"This 52-year-old Male, with High School Degree and Employed, enjoys days that flow with ease and care.",0.877585768699646
Female,36,No High School Degree,Unemployed,unstable life,"This 36-year-old Female, holding No High School Degree education and being Unemployed, wades through chaos.",0.0042589642107486725
Female,49,Degree,Employed,unstable life,"This 49-year-old Female, holding Degree education and being Employed, wades through chaos.",0.983523428440094
Male,49,High School Degree,Employed,stable and supportive life,"This Male, aged 49, with High School Degree and Employed, thrives in a life well-grounded.",0.9907003045082092
Female,47,Degree,Unemployed,moderate stability,"A 47-year-old Female, Degree achieved and Unemployed, lives in steady rhythms.",0.026802394539117813
Female,49,High School Degree,Unemployed,unstable life,"A 49-year-old Female with High School Degree education and currently Unemployed, navigates tumultuous waters.",0.795917272567749
Female,54,High School Degree,Unemployed,unstable life,"A 54-year-old Female with High School Degree education and currently Unemployed, faces days of constant flux.",0.5539038777351379
