Effect,Estimate,model,scenario,budget
Total,0.2194,allam_2_7b,s6,100
Direct,0.21760888729734443,allam_2_7b,s6,100
Indirect,0.006488604665297091,allam_2_7b,s6,100
Spurious,0,allam_2_7b,s6,100
Total,0.21732773277327738,allam_2_7b,s6,200
Direct,0.2425549383942908,allam_2_7b,s6,200
Indirect,0.016327526910094547,allam_2_7b,s6,200
Spurious,0.008899678710918853,allam_2_7b,s6,200
Total,0.2066391639163917,allam_2_7b,s6,400
Direct,0.20652758324189582,allam_2_7b,s6,400
Indirect,0.0066946985025005176,allam_2_7b,s6,400
Spurious,0,allam_2_7b,s6,400
Total,0.19662818475760846,allam_2_7b,s6,600
Direct,0.1940417590912532,allam_2_7b,s6,600
Indirect,0,allam_2_7b,s6,600
Spurious,0.0017772476702639544,allam_2_7b,s6,600
Total,0.20005631285195527,allam_2_7b,s6,800
Direct,0.20172519203308248,allam_2_7b,s6,800
Indirect,0.0021026956719003564,allam_2_7b,s6,800
Spurious,0,allam_2_7b,s6,800
Total,0.01983593437374947,allam_2_7b,s7,100
Direct,0,allam_2_7b,s7,100
Indirect,0,allam_2_7b,s7,100
Spurious,0,allam_2_7b,s7,100
Total,0,allam_2_7b,s7,200
Direct,0,allam_2_7b,s7,200
Indirect,0.008915679998049278,allam_2_7b,s7,200
Spurious,0,allam_2_7b,s7,200
Total,0,allam_2_7b,s7,400
Direct,0,allam_2_7b,s7,400
Indirect,0,allam_2_7b,s7,400
Spurious,0.002890572430274247,allam_2_7b,s7,400
Total,0,allam_2_7b,s7,600
Direct,0,allam_2_7b,s7,600
Indirect,0,allam_2_7b,s7,600
Spurious,0.0010790523076081918,allam_2_7b,s7,600
Total,0,allam_2_7b,s7,800
Direct,0,allam_2_7b,s7,800
Indirect,0.002992879155735009,allam_2_7b,s7,800
Spurious,0.0010655214225683675,allam_2_7b,s7,800
Total,0.012407435897435808,allam_2_7b,s8,100
Direct,0.017376358745789675,allam_2_7b,s8,100
Indirect,0,allam_2_7b,s8,100
Spurious,0.03091979443477603,allam_2_7b,s8,100
Total,0.033515895589558926,allam_2_7b,s8,200
Direct,0.03453109332144823,allam_2_7b,s8,200
Indirect,0.0018762077567483501,allam_2_7b,s8,200
Spurious,0,allam_2_7b,s8,200
Total,0,allam_2_7b,s8,400
Direct,0,allam_2_7b,s8,400
Indirect,0,allam_2_7b,s8,400
Spurious,3.851030741665903e-4,allam_2_7b,s8,400
Total,0,allam_2_7b,s8,600
Direct,0,allam_2_7b,s8,600
Indirect,0,allam_2_7b,s8,600
Spurious,0.0030284525599201754,allam_2_7b,s8,600
Total,0.0021764000000000054,allam_2_7b,s8,800
Direct,0,allam_2_7b,s8,800
Indirect,0,allam_2_7b,s8,800
Spurious,4.656226830225918e-4,allam_2_7b,s8,800
Total,0,allam_2_7b,s9,100
Direct,0,allam_2_7b,s9,100
Indirect,0.011275722780333293,allam_2_7b,s9,100
Spurious,0,allam_2_7b,s9,100
Total,0,allam_2_7b,s9,200
Direct,0,allam_2_7b,s9,200
Indirect,0.019531264524244158,allam_2_7b,s9,200
Spurious,0.006278443912700614,allam_2_7b,s9,200
Total,0,allam_2_7b,s9,400
Direct,0.02027182187390981,allam_2_7b,s9,400
Indirect,0.025909710565474385,allam_2_7b,s9,400
Spurious,0,allam_2_7b,s9,400
Total,0,allam_2_7b,s9,600
Direct,0.022304374005107003,allam_2_7b,s9,600
Indirect,0.025421587500952046,allam_2_7b,s9,600
Spurious,0.006685228753513273,allam_2_7b,s9,600
Total,0,allam_2_7b,s9,800
Direct,0.03184373017920522,allam_2_7b,s9,800
Indirect,0.037571275507859936,allam_2_7b,s9,800
Spurious,0.003916327445550059,allam_2_7b,s9,800
Total,0.020284113645458228,allam_2_7b,s10,100
Direct,0.016183541868854893,allam_2_7b,s10,100
Indirect,0,allam_2_7b,s10,100
Spurious,0.006825257636065531,allam_2_7b,s10,100
Total,0.018300000000000004,allam_2_7b,s10,200
Direct,0.019089660176673906,allam_2_7b,s10,200
Indirect,0,allam_2_7b,s10,200
Spurious,0.03572058425289024,allam_2_7b,s10,200
Total,0.016475911897797565,allam_2_7b,s10,400
Direct,0,allam_2_7b,s10,400
Indirect,0,allam_2_7b,s10,400
Spurious,3.640077781370261e-4,allam_2_7b,s10,400
Total,0,allam_2_7b,s10,600
Direct,0,allam_2_7b,s10,600
Indirect,0,allam_2_7b,s10,600
Spurious,0.005414040613049385,allam_2_7b,s10,600
Total,0.0015500000000000038,allam_2_7b,s10,800
Direct,0,allam_2_7b,s10,800
Indirect,0,allam_2_7b,s10,800
Spurious,0.0020435871522407486,allam_2_7b,s10,800
Total,0,allam_2_7b,s11,100
Direct,0,allam_2_7b,s11,100
Indirect,0,allam_2_7b,s11,100
Spurious,0,allam_2_7b,s11,100
Total,0,allam_2_7b,s11,200
Direct,2.9661553388396695e-4,allam_2_7b,s11,200
Indirect,0.009833008364673941,allam_2_7b,s11,200
Spurious,0,allam_2_7b,s11,200
Total,0,allam_2_7b,s11,400
Direct,0,allam_2_7b,s11,400
Indirect,0,allam_2_7b,s11,400
Spurious,4.4653757893278387e-4,allam_2_7b,s11,400
Total,0,allam_2_7b,s11,600
Direct,0,allam_2_7b,s11,600
Indirect,0,allam_2_7b,s11,600
Spurious,4.904270180852658e-4,allam_2_7b,s11,600
Total,0,allam_2_7b,s11,800
Direct,0,allam_2_7b,s11,800
Indirect,0,allam_2_7b,s11,800
Spurious,9.68652061600259e-5,allam_2_7b,s11,800
Total,0,allam_2_7b,s12,100
Direct,0,allam_2_7b,s12,100
Indirect,0.0031309784641847856,allam_2_7b,s12,100
Spurious,0.005013873345832644,allam_2_7b,s12,100
Total,0,allam_2_7b,s12,200
Direct,0,allam_2_7b,s12,200
Indirect,0.002445971868008653,allam_2_7b,s12,200
Spurious,0.012297500767787982,allam_2_7b,s12,200
Total,0,allam_2_7b,s12,400
Direct,0,allam_2_7b,s12,400
Indirect,0,allam_2_7b,s12,400
Spurious,0.016133254566419782,allam_2_7b,s12,400
Total,0,allam_2_7b,s12,600
Direct,0,allam_2_7b,s12,600
Indirect,0,allam_2_7b,s12,600
Spurious,0.009464984332698016,allam_2_7b,s12,600
Total,0,allam_2_7b,s12,800
Direct,0,allam_2_7b,s12,800
Indirect,0,allam_2_7b,s12,800
Spurious,0.013419037352866066,allam_2_7b,s12,800
