Effect,Estimate,model,scenario,budget
Total,0.05598536520318697,llama_3_1_8b_instant,s4,600
Direct,0.06048249011204231,llama_3_1_8b_instant,s4,600
Indirect,0.002583329144399344,llama_3_1_8b_instant,s4,600
Spurious,0.0019137957644559949,llama_3_1_8b_instant,s4,600
Total,0.05523639754630814,llama_3_1_8b_instant,s4,800
Direct,0.058579481500174946,llama_3_1_8b_instant,s4,800
Indirect,0,llama_3_1_8b_instant,s4,800
Spurious,0.0045577353585847975,llama_3_1_8b_instant,s4,800
Total,0,llama_3_1_8b_instant,s5,100
Direct,0,llama_3_1_8b_instant,s5,100
Indirect,0.026774513199583985,llama_3_1_8b_instant,s5,100
Spurious,0,llama_3_1_8b_instant,s5,100
Total,0,llama_3_1_8b_instant,s5,200
Direct,0,llama_3_1_8b_instant,s5,200
Indirect,0.020101910700369503,llama_3_1_8b_instant,s5,200
Spurious,0,llama_3_1_8b_instant,s5,200
Total,0,llama_3_1_8b_instant,s5,400
Direct,0,llama_3_1_8b_instant,s5,400
Indirect,0.008528122614845618,llama_3_1_8b_instant,s5,400
Spurious,0.002495840999449198,llama_3_1_8b_instant,s5,400
Total,0,llama_3_1_8b_instant,s5,600
Direct,0,llama_3_1_8b_instant,s5,600
Indirect,0.012645241219398626,llama_3_1_8b_instant,s5,600
Spurious,0.0037575856214850673,llama_3_1_8b_instant,s5,600
Total,0,llama_3_1_8b_instant,s5,800
Direct,0,llama_3_1_8b_instant,s5,800
Indirect,0.007078641624277024,llama_3_1_8b_instant,s5,800
Spurious,0.006402241694449393,llama_3_1_8b_instant,s5,800
Total,0,llama_3_1_8b_instant,s6,100
Direct,0,llama_3_1_8b_instant,s6,100
Indirect,0,llama_3_1_8b_instant,s6,100
Spurious,0.001192024032997311,llama_3_1_8b_instant,s6,100
Total,0,llama_3_1_8b_instant,s6,200
Direct,0,llama_3_1_8b_instant,s6,200
Indirect,0.0034693119905920495,llama_3_1_8b_instant,s6,200
Spurious,0.01247286891342667,llama_3_1_8b_instant,s6,200
Total,0,llama_3_1_8b_instant,s6,400
Direct,0,llama_3_1_8b_instant,s6,400
Indirect,0,llama_3_1_8b_instant,s6,400
Spurious,9.966861462958931e-5,llama_3_1_8b_instant,s6,400
Total,0,llama_3_1_8b_instant,s6,600
Direct,0,llama_3_1_8b_instant,s6,600
Indirect,0,llama_3_1_8b_instant,s6,600
Spurious,1.9426487468070865e-4,llama_3_1_8b_instant,s6,600
Total,0,llama_3_1_8b_instant,s6,800
Direct,0,llama_3_1_8b_instant,s6,800
Indirect,0,llama_3_1_8b_instant,s6,800
Spurious,0.006989320990680297,llama_3_1_8b_instant,s6,800
Total,0,llama_3_1_8b_instant,s7,100
Direct,0,llama_3_1_8b_instant,s7,100
Indirect,0.0016609508002490064,llama_3_1_8b_instant,s7,100
Spurious,0.0014974286040218554,llama_3_1_8b_instant,s7,100
Total,0,llama_3_1_8b_instant,s7,200
Direct,0,llama_3_1_8b_instant,s7,200
Indirect,0,llama_3_1_8b_instant,s7,200
Spurious,0.003326976020955117,llama_3_1_8b_instant,s7,200
Total,0,llama_3_1_8b_instant,s7,400
Direct,0,llama_3_1_8b_instant,s7,400
Indirect,0.01383929819352065,llama_3_1_8b_instant,s7,400
Spurious,0,llama_3_1_8b_instant,s7,400
Total,0,llama_3_1_8b_instant,s7,600
Direct,0,llama_3_1_8b_instant,s7,600
Indirect,0,llama_3_1_8b_instant,s7,600
Spurious,4.552081842642958e-4,llama_3_1_8b_instant,s7,600
Total,0,llama_3_1_8b_instant,s7,800
Direct,0,llama_3_1_8b_instant,s7,800
Indirect,0.014001614368327576,llama_3_1_8b_instant,s7,800
Spurious,0,llama_3_1_8b_instant,s7,800
Total,0.06159615384615377,llama_3_1_8b_instant,s8,100
Direct,0.05314954683344226,llama_3_1_8b_instant,s8,100
Indirect,0.002491486760116004,llama_3_1_8b_instant,s8,100
Spurious,0,llama_3_1_8b_instant,s8,100
Total,0.03284908490849083,llama_3_1_8b_instant,s8,200
Direct,0,llama_3_1_8b_instant,s8,200
Indirect,0,llama_3_1_8b_instant,s8,200
Spurious,0.007280484471289557,llama_3_1_8b_instant,s8,200
Total,0.06636123377760005,llama_3_1_8b_instant,s8,400
Direct,0,llama_3_1_8b_instant,s8,400
Indirect,0,llama_3_1_8b_instant,s8,400
Spurious,0.0029259766939445874,llama_3_1_8b_instant,s8,400
Total,0.06447666666666667,llama_3_1_8b_instant,s8,600
Direct,0.0016784721588631042,llama_3_1_8b_instant,s8,600
Indirect,0,llama_3_1_8b_instant,s8,600
Spurious,0.005665010854407265,llama_3_1_8b_instant,s8,600
Total,0.06155052656579108,llama_3_1_8b_instant,s8,800
Direct,0,llama_3_1_8b_instant,s8,800
Indirect,0,llama_3_1_8b_instant,s8,800
Spurious,0.0029935091600443065,llama_3_1_8b_instant,s8,800
Total,0,llama_3_1_8b_instant,s9,100
Direct,0,llama_3_1_8b_instant,s9,100
Indirect,0.038527946755831474,llama_3_1_8b_instant,s9,100
Spurious,0.0038631308369784104,llama_3_1_8b_instant,s9,100
Total,0,llama_3_1_8b_instant,s9,200
Direct,0,llama_3_1_8b_instant,s9,200
Indirect,0.04940955391771061,llama_3_1_8b_instant,s9,200
Spurious,0.008971202954839245,llama_3_1_8b_instant,s9,200
Total,0,llama_3_1_8b_instant,s9,400
Direct,0,llama_3_1_8b_instant,s9,400
Indirect,0.0791940040652349,llama_3_1_8b_instant,s9,400
Spurious,0.0023463460824767763,llama_3_1_8b_instant,s9,400
Total,0,llama_3_1_8b_instant,s9,600
Direct,0,llama_3_1_8b_instant,s9,600
Indirect,0.04559819904850333,llama_3_1_8b_instant,s9,600
Spurious,0.0018313108446498699,llama_3_1_8b_instant,s9,600
Total,0,llama_3_1_8b_instant,s9,800
Direct,0,llama_3_1_8b_instant,s9,800
Indirect,0.05845525231315845,llama_3_1_8b_instant,s9,800
Spurious,0,llama_3_1_8b_instant,s9,800
Total,0,llama_3_1_8b_instant,s10,100
Direct,0,llama_3_1_8b_instant,s10,100
Indirect,0,llama_3_1_8b_instant,s10,100
Spurious,0.045734252653363866,llama_3_1_8b_instant,s10,100
Total,0,llama_3_1_8b_instant,s10,200
Direct,0,llama_3_1_8b_instant,s10,200
Indirect,0,llama_3_1_8b_instant,s10,200
Spurious,0,llama_3_1_8b_instant,s10,200
Total,0,llama_3_1_8b_instant,s10,400
Direct,0,llama_3_1_8b_instant,s10,400
Indirect,0,llama_3_1_8b_instant,s10,400
Spurious,0,llama_3_1_8b_instant,s10,400
Total,0,llama_3_1_8b_instant,s10,600
Direct,0,llama_3_1_8b_instant,s10,600
Indirect,0,llama_3_1_8b_instant,s10,600
Spurious,0.0036052057275190977,llama_3_1_8b_instant,s10,600
Total,0,llama_3_1_8b_instant,s10,800
Direct,0,llama_3_1_8b_instant,s10,800
Indirect,0,llama_3_1_8b_instant,s10,800
Spurious,0.0013739434880596622,llama_3_1_8b_instant,s10,800
Total,0,llama_3_1_8b_instant,s11,100
Direct,0.009586994333704324,llama_3_1_8b_instant,s11,100
Indirect,0.05969104318166075,llama_3_1_8b_instant,s11,100
Spurious,0.0019159511520435606,llama_3_1_8b_instant,s11,100
Total,0,llama_3_1_8b_instant,s11,200
Direct,0.004329223702601437,llama_3_1_8b_instant,s11,200
Indirect,0.01225525030100743,llama_3_1_8b_instant,s11,200
Spurious,0.011480414045658438,llama_3_1_8b_instant,s11,200
Total,0,llama_3_1_8b_instant,s11,400
Direct,0,llama_3_1_8b_instant,s11,400
Indirect,0,llama_3_1_8b_instant,s11,400
Spurious,0.0022756620844423363,llama_3_1_8b_instant,s11,400
Total,0,llama_3_1_8b_instant,s11,600
Direct,0,llama_3_1_8b_instant,s11,600
Indirect,0.007133516286704239,llama_3_1_8b_instant,s11,600
Spurious,0.0035158262764861865,llama_3_1_8b_instant,s11,600
Total,0,llama_3_1_8b_instant,s11,800
Direct,0,llama_3_1_8b_instant,s11,800
Indirect,0,llama_3_1_8b_instant,s11,800
Spurious,0.0032186161117426612,llama_3_1_8b_instant,s11,800
Total,0,llama_3_1_8b_instant,s12,100
Direct,0,llama_3_1_8b_instant,s12,100
Indirect,0.030032727277986223,llama_3_1_8b_instant,s12,100
Spurious,0,llama_3_1_8b_instant,s12,100
Total,0.001616826923076842,llama_3_1_8b_instant,s12,200
Direct,0.02347164265274622,llama_3_1_8b_instant,s12,200
Indirect,0.020945953689097595,llama_3_1_8b_instant,s12,200
Spurious,9.088620405717828e-4,llama_3_1_8b_instant,s12,200
Total,0,llama_3_1_8b_instant,s12,400
Direct,0,llama_3_1_8b_instant,s12,400
Indirect,0.007578866684634461,llama_3_1_8b_instant,s12,400
Spurious,0,llama_3_1_8b_instant,s12,400
Total,0,llama_3_1_8b_instant,s12,600
Direct,0,llama_3_1_8b_instant,s12,600
Indirect,0.023415952879618996,llama_3_1_8b_instant,s12,600
Spurious,1.656380730046461e-4,llama_3_1_8b_instant,s12,600
Total,0,llama_3_1_8b_instant,s12,800
Direct,0,llama_3_1_8b_instant,s12,800
Indirect,0.01968216783729883,llama_3_1_8b_instant,s12,800
Spurious,0,llama_3_1_8b_instant,s12,800
Total,0,llama_3_1_8b_instant,s13,100
Direct,0,llama_3_1_8b_instant,s13,100
Indirect,0.11557225972948205,llama_3_1_8b_instant,s13,100
Spurious,0,llama_3_1_8b_instant,s13,100
Total,0,llama_3_1_8b_instant,s13,200
Direct,0,llama_3_1_8b_instant,s13,200
Indirect,0.06997432019306232,llama_3_1_8b_instant,s13,200
Spurious,0.0064884731655795325,llama_3_1_8b_instant,s13,200
Total,0,llama_3_1_8b_instant,s13,400
Direct,0,llama_3_1_8b_instant,s13,400
Indirect,0.09703746393134402,llama_3_1_8b_instant,s13,400
Spurious,0,llama_3_1_8b_instant,s13,400
Total,0,llama_3_1_8b_instant,s13,600
Direct,0,llama_3_1_8b_instant,s13,600
Indirect,0.09409500176793162,llama_3_1_8b_instant,s13,600
Spurious,3.4023626129161237e-4,llama_3_1_8b_instant,s13,600
Total,0,llama_3_1_8b_instant,s13,800
Direct,0,llama_3_1_8b_instant,s13,800
Indirect,0.08839442615223096,llama_3_1_8b_instant,s13,800
Spurious,0.012463426903492638,llama_3_1_8b_instant,s13,800
Total,0.23803200000000002,llama_3_1_8b_instant,s14,100
Direct,0.09614471533129404,llama_3_1_8b_instant,s14,100
Indirect,0,llama_3_1_8b_instant,s14,100
Spurious,0.017472847672793942,llama_3_1_8b_instant,s14,100
Total,0.29385700000000003,llama_3_1_8b_instant,s14,200
Direct,0.24008419398076028,llama_3_1_8b_instant,s14,200
Indirect,0,llama_3_1_8b_instant,s14,200
Spurious,0,llama_3_1_8b_instant,s14,200
Total,0.2590944312470307,llama_3_1_8b_instant,s14,400
Direct,0.21151106899299207,llama_3_1_8b_instant,s14,400
Indirect,0,llama_3_1_8b_instant,s14,400
Spurious,0,llama_3_1_8b_instant,s14,400
Total,0.2559569247522112,llama_3_1_8b_instant,s14,600
Direct,0.214631248931826,llama_3_1_8b_instant,s14,600
Indirect,0,llama_3_1_8b_instant,s14,600
Spurious,0,llama_3_1_8b_instant,s14,600
Total,0.23087455565156983,llama_3_1_8b_instant,s14,800
Direct,0.1891088809546885,llama_3_1_8b_instant,s14,800
Indirect,0,llama_3_1_8b_instant,s14,800
Spurious,0,llama_3_1_8b_instant,s14,800
