Effect,Estimate,model,scenario,budget
Total,0.05662041551038788,gemma2_9b_it,s5,800
Direct,0.05413551227654177,gemma2_9b_it,s5,800
Indirect,0,gemma2_9b_it,s5,800
Spurious,0.0016665453788370012,gemma2_9b_it,s5,800
Total,0.324,gemma2_9b_it,s6,100
Direct,0.32571155840211735,gemma2_9b_it,s6,100
Indirect,0,gemma2_9b_it,s6,100
Spurious,0.07325874576555085,gemma2_9b_it,s6,100
Total,0.3357935793579358,gemma2_9b_it,s6,200
Direct,0.34992761210020806,gemma2_9b_it,s6,200
Indirect,0,gemma2_9b_it,s6,200
Spurious,0.015504747493240021,gemma2_9b_it,s6,200
Total,0.3198834883488349,gemma2_9b_it,s6,400
Direct,0.3323116946527452,gemma2_9b_it,s6,400
Indirect,0.008970743427049484,gemma2_9b_it,s6,400
Spurious,0.0034574628768607673,gemma2_9b_it,s6,400
Total,0.3384630940343782,gemma2_9b_it,s6,600
Direct,0.33336170392913095,gemma2_9b_it,s6,600
Indirect,0,gemma2_9b_it,s6,600
Spurious,0.00527591641940704,gemma2_9b_it,s6,600
Total,0.3370328564553528,gemma2_9b_it,s6,800
Direct,0.33240022845932876,gemma2_9b_it,s6,800
Indirect,0,gemma2_9b_it,s6,800
Spurious,0,gemma2_9b_it,s6,800
Total,0.02634653861544615,gemma2_9b_it,s7,100
Direct,0.03717506215071048,gemma2_9b_it,s7,100
Indirect,0.0024823222378364948,gemma2_9b_it,s7,100
Spurious,0.00834620129742783,gemma2_9b_it,s7,100
Total,0.0848324832483248,gemma2_9b_it,s7,200
Direct,0.0892794348278992,gemma2_9b_it,s7,200
Indirect,0.001696948576458108,gemma2_9b_it,s7,200
Spurious,0.0027500030031162802,gemma2_9b_it,s7,200
Total,0.08698167454186362,gemma2_9b_it,s7,400
Direct,0.09234324231617388,gemma2_9b_it,s7,400
Indirect,0,gemma2_9b_it,s7,400
Spurious,0.006140132604330838,gemma2_9b_it,s7,400
Total,0.08812769456420284,gemma2_9b_it,s7,600
Direct,0.08264327186374054,gemma2_9b_it,s7,600
Indirect,0,gemma2_9b_it,s7,600
Spurious,0,gemma2_9b_it,s7,600
Total,0.09232270201688764,gemma2_9b_it,s7,800
Direct,0.08721589048660382,gemma2_9b_it,s7,800
Indirect,0,gemma2_9b_it,s7,800
Spurious,0,gemma2_9b_it,s7,800
Total,0.1467788461538461,gemma2_9b_it,s8,100
Direct,0.1567882725187746,gemma2_9b_it,s8,100
Indirect,0.005974933900431678,gemma2_9b_it,s8,100
Spurious,0.004034492464496852,gemma2_9b_it,s8,100
Total,0.06595059505950593,gemma2_9b_it,s8,200
Direct,0.05582908898154462,gemma2_9b_it,s8,200
Indirect,0,gemma2_9b_it,s8,200
Spurious,6.451309869735437e-4,gemma2_9b_it,s8,200
Total,0.062204805120128055,gemma2_9b_it,s8,400
Direct,0.0522156740822525,gemma2_9b_it,s8,400
Indirect,0,gemma2_9b_it,s8,400
Spurious,0,gemma2_9b_it,s8,400
Total,0.06958529186251956,gemma2_9b_it,s8,600
Direct,0.057465993000382076,gemma2_9b_it,s8,600
Indirect,0,gemma2_9b_it,s8,600
Spurious,0,gemma2_9b_it,s8,600
Total,0.065125,gemma2_9b_it,s8,800
Direct,0.061958013894894554,gemma2_9b_it,s8,800
Indirect,0,gemma2_9b_it,s8,800
Spurious,0,gemma2_9b_it,s8,800
Total,0.028159263705482235,gemma2_9b_it,s9,100
Direct,0.06937517754519379,gemma2_9b_it,s9,100
Indirect,0.04532403699899194,gemma2_9b_it,s9,100
Spurious,0,gemma2_9b_it,s9,100
Total,0,gemma2_9b_it,s9,200
Direct,0.06735817566731689,gemma2_9b_it,s9,200
Indirect,0.06318622211647644,gemma2_9b_it,s9,200
Spurious,0.005830617016226563,gemma2_9b_it,s9,200
Total,0.04950945094509455,gemma2_9b_it,s9,400
Direct,0.11272584399665049,gemma2_9b_it,s9,400
Indirect,0.06324068866694975,gemma2_9b_it,s9,400
Spurious,0,gemma2_9b_it,s9,400
Total,0.07083389815442397,gemma2_9b_it,s9,600
Direct,0.14137905143432505,gemma2_9b_it,s9,600
Indirect,0.06693175153576489,gemma2_9b_it,s9,600
Spurious,0.0036134017441361802,gemma2_9b_it,s9,600
Total,0.04045,gemma2_9b_it,s9,800
Direct,0.11943059668412248,gemma2_9b_it,s9,800
Indirect,0.07528583781587365,gemma2_9b_it,s9,800
Spurious,0.0036947588682488142,gemma2_9b_it,s9,800
Total,0.05002801120448182,gemma2_9b_it,s10,100
Direct,0.05211596462292832,gemma2_9b_it,s10,100
Indirect,0,gemma2_9b_it,s10,100
Spurious,0.0035508205687587403,gemma2_9b_it,s10,100
Total,0.0386,gemma2_9b_it,s10,200
Direct,0.0457149130297782,gemma2_9b_it,s10,200
Indirect,0.003872762468120123,gemma2_9b_it,s10,200
Spurious,0.0032421505616580712,gemma2_9b_it,s10,200
Total,0.059800245006125206,gemma2_9b_it,s10,400
Direct,0.030484271408496973,gemma2_9b_it,s10,400
Indirect,0,gemma2_9b_it,s10,400
Spurious,0,gemma2_9b_it,s10,400
Total,0.06143333333333333,gemma2_9b_it,s10,600
Direct,0.05036479941207076,gemma2_9b_it,s10,600
Indirect,0,gemma2_9b_it,s10,600
Spurious,0.004343072661737078,gemma2_9b_it,s10,600
Total,0.05576697354358468,gemma2_9b_it,s10,800
Direct,0.04486494318526084,gemma2_9b_it,s10,800
Indirect,0,gemma2_9b_it,s10,800
Spurious,0,gemma2_9b_it,s10,800
Total,0.0847298919567827,gemma2_9b_it,s11,100
Direct,0.10702592564433978,gemma2_9b_it,s11,100
Indirect,0,gemma2_9b_it,s11,100
Spurious,0.02454835583654031,gemma2_9b_it,s11,100
Total,0.0889,gemma2_9b_it,s11,200
Direct,0.08687743840656477,gemma2_9b_it,s11,200
Indirect,0,gemma2_9b_it,s11,200
Spurious,0.005989882083158263,gemma2_9b_it,s11,200
Total,0.08874287428742872,gemma2_9b_it,s11,400
Direct,0.07874921387150575,gemma2_9b_it,s11,400
Indirect,0,gemma2_9b_it,s11,400
Spurious,0,gemma2_9b_it,s11,400
Total,0.08060356226180289,gemma2_9b_it,s11,600
Direct,0.08594531544543917,gemma2_9b_it,s11,600
Indirect,0,gemma2_9b_it,s11,600
Spurious,0.006908601431949439,gemma2_9b_it,s11,600
Total,0.07935073376834428,gemma2_9b_it,s11,800
Direct,0.0777455504799586,gemma2_9b_it,s11,800
Indirect,0,gemma2_9b_it,s11,800
Spurious,0.0019249748836251267,gemma2_9b_it,s11,800
Total,0,gemma2_9b_it,s12,100
Direct,0,gemma2_9b_it,s12,100
Indirect,0.012848015208283138,gemma2_9b_it,s12,100
Spurious,0,gemma2_9b_it,s12,100
Total,0,gemma2_9b_it,s12,200
Direct,0,gemma2_9b_it,s12,200
Indirect,0,gemma2_9b_it,s12,200
Spurious,0,gemma2_9b_it,s12,200
Total,0,gemma2_9b_it,s12,400
Direct,0,gemma2_9b_it,s12,400
Indirect,0,gemma2_9b_it,s12,400
Spurious,0.025604941891833856,gemma2_9b_it,s12,400
Total,0,gemma2_9b_it,s12,600
Direct,0,gemma2_9b_it,s12,600
Indirect,0,gemma2_9b_it,s12,600
Spurious,0.007185593535129824,gemma2_9b_it,s12,600
Total,0,gemma2_9b_it,s12,800
Direct,0,gemma2_9b_it,s12,800
Indirect,0,gemma2_9b_it,s12,800
Spurious,0.014274370392358422,gemma2_9b_it,s12,800
