model,budget,Effect,Estimate,model_short
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Total,0.05599585099305282,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Direct,0.0499356592432657,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Indirect,0.00645874758444319,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Spurious,0.00211871045801619,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Total,0.05670311472223625,rob_twit
distilbert_base_uncased_finetuned_sst2_english,100,Direct,0.06995934069085492,distill
distilbert_base_uncased_finetuned_sst2_english,100,Indirect,0.00323640724989436,distill
distilbert_base_uncased_finetuned_sst2_english,100,Spurious,0.02713160106219512,distill
distilbert_base_uncased_finetuned_sst2_english,100,Total,0.07604752415802407,distill
distilbert_base_uncased_finetuned_sst2_english,200,Direct,0.08062107201673178,distill
distilbert_base_uncased_finetuned_sst2_english,200,Indirect,0.00874880275912421,distill
distilbert_base_uncased_finetuned_sst2_english,200,Spurious,0.01062623695510792,distill
distilbert_base_uncased_finetuned_sst2_english,200,Total,0.08555660714481855,distill
distilbert_base_uncased_finetuned_sst2_english,400,Direct,0.0658246748393194,distill
distilbert_base_uncased_finetuned_sst2_english,400,Indirect,0.00746555245302232,distill
distilbert_base_uncased_finetuned_sst2_english,400,Spurious,0.00380370828889525,distill
distilbert_base_uncased_finetuned_sst2_english,400,Total,0.07517673018322253,distill
distilbert_base_uncased_finetuned_sst2_english,600,Direct,0.06338329479849039,distill
distilbert_base_uncased_finetuned_sst2_english,600,Indirect,0.00565223245675142,distill
distilbert_base_uncased_finetuned_sst2_english,600,Spurious,0.00611109336547884,distill
distilbert_base_uncased_finetuned_sst2_english,600,Total,0.07683482778187871,distill
distilbert_base_uncased_finetuned_sst2_english,800,Direct,0.06063308218043429,distill
distilbert_base_uncased_finetuned_sst2_english,800,Indirect,0.00235806525055816,distill
distilbert_base_uncased_finetuned_sst2_english,800,Spurious,0.0044861402294806,distill
distilbert_base_uncased_finetuned_sst2_english,800,Total,0.0756240373892097,distill
gemma2_9b_it,100,Direct,0.05688334124306086,gemma
gemma2_9b_it,100,Indirect,0.01078166865984361,gemma
gemma2_9b_it,100,Spurious,0.00171856204559925,gemma
gemma2_9b_it,100,Total,0.05890622012541281,gemma
gemma2_9b_it,200,Direct,0.04900821983129927,gemma
gemma2_9b_it,200,Indirect,0.01002736929913162,gemma
gemma2_9b_it,200,Spurious,0.00389561794789348,gemma
gemma2_9b_it,200,Total,0.05222137102706451,gemma
gemma2_9b_it,400,Direct,0.05612311532374808,gemma
gemma2_9b_it,400,Indirect,0.01001052253322114,gemma
gemma2_9b_it,400,Spurious,0.00529100107598955,gemma
gemma2_9b_it,400,Total,0.06004640284209022,gemma
gemma2_9b_it,600,Direct,0.05298206969352019,gemma
gemma2_9b_it,600,Indirect,0.00952839192968711,gemma
gemma2_9b_it,600,Spurious,0.00199928701705235,gemma
gemma2_9b_it,600,Total,0.05964221695932815,gemma
gemma2_9b_it,800,Direct,0.05268703427544552,gemma
gemma2_9b_it,800,Indirect,0.00601757978965919,gemma
gemma2_9b_it,800,Spurious,0.00345199126908855,gemma
gemma2_9b_it,800,Total,0.05795144959520431,gemma
gpt_3_5_turbo,100,Direct,0.04694103350010788,gpt
gpt_3_5_turbo,100,Indirect,0.0017606606116899,gpt
gpt_3_5_turbo,100,Spurious,0.01200283262941697,gpt
gpt_3_5_turbo,100,Total,0.0518653249761443,gpt
gpt_3_5_turbo,200,Direct,0.03747277037056452,gpt
gpt_3_5_turbo,200,Indirect,0.0033248819927757,gpt
gpt_3_5_turbo,200,Spurious,0.00350142379241848,gpt
gpt_3_5_turbo,200,Total,0.04902761704741903,gpt
gpt_3_5_turbo,400,Direct,0.03436725813704258,gpt
gpt_3_5_turbo,400,Indirect,0.00340637518351091,gpt
gpt_3_5_turbo,400,Spurious,0.00166989339967309,gpt
gpt_3_5_turbo,400,Total,0.05467672165933088,gpt
gpt_3_5_turbo,600,Direct,0.03401326595554323,gpt
gpt_3_5_turbo,600,Indirect,0.00306262641641102,gpt
gpt_3_5_turbo,600,Spurious,0.00208087463251562,gpt
gpt_3_5_turbo,600,Total,0.05111731008595455,gpt
gpt_3_5_turbo,800,Direct,0.03539128363848141,gpt
gpt_3_5_turbo,800,Indirect,0.00214348689280467,gpt
gpt_3_5_turbo,800,Spurious,0.00217227921856865,gpt
gpt_3_5_turbo,800,Total,0.05040568279143687,gpt
llama3_70b,100,Direct,0.05968784948238648,llama_small
llama3_70b,100,Indirect,0.00549112346162332,llama_small
llama3_70b,100,Spurious,0.00583495640851839,llama_small
llama3_70b,100,Total,0.07331630800671918,llama_small
llama3_70b,200,Direct,0.06627812280825379,llama_small
llama3_70b,200,Indirect,0.00575884738635294,llama_small
llama3_70b,200,Spurious,0.0042848046435522,llama_small
llama3_70b,200,Total,0.07397125095351069,llama_small
llama3_70b,400,Direct,0.06978380100396717,llama_small
llama3_70b,400,Indirect,0.0057996045972635,llama_small
llama3_70b,400,Spurious,0.00377679834032511,llama_small
llama3_70b,400,Total,0.07891748332456314,llama_small
llama3_70b,600,Direct,0.06967259445907671,llama_small
llama3_70b,600,Indirect,0.00602846581874864,llama_small
llama3_70b,600,Spurious,0.00414803664028242,llama_small
llama3_70b,600,Total,0.07898854682768348,llama_small
llama3_70b,800,Direct,0.06666595998310794,llama_small
llama3_70b,800,Indirect,0.00480028309461879,llama_small
llama3_70b,800,Spurious,0.00299752614497937,llama_small
llama3_70b,800,Total,0.07680485276988039,llama_small
llama_3_1_8b_instant,100,Direct,0.02247079559416277,llama_large
llama_3_1_8b_instant,100,Indirect,0.02324626133732861,llama_large
llama_3_1_8b_instant,100,Spurious,0.00946784396201734,llama_large
llama_3_1_8b_instant,100,Total,0.03284658431284602,llama_large
llama_3_1_8b_instant,200,Direct,0.03278074295535603,llama_large
llama_3_1_8b_instant,200,Indirect,0.01456968803778614,llama_large
llama_3_1_8b_instant,200,Spurious,0.00478755514110026,llama_large
llama_3_1_8b_instant,200,Total,0.03508241122164737,llama_large
llama_3_1_8b_instant,400,Direct,0.02917888058269287,llama_large
llama_3_1_8b_instant,400,Indirect,0.01513323909304182,llama_large
llama_3_1_8b_instant,400,Spurious,0.00181437651860511,llama_large
llama_3_1_8b_instant,400,Total,0.03733891588705439,llama_large
llama_3_1_8b_instant,600,Direct,0.02507036924523865,llama_large
llama_3_1_8b_instant,600,Indirect,0.01349877362034079,llama_large
llama_3_1_8b_instant,600,Spurious,0.00164679784249088,llama_large
llama_3_1_8b_instant,600,Total,0.03276704263144925,llama_large
llama_3_1_8b_instant,800,Direct,0.02254946789763287,llama_large
llama_3_1_8b_instant,800,Indirect,0.0136998265977649,llama_large
llama_3_1_8b_instant,800,Spurious,0.0029071207243457,llama_large
llama_3_1_8b_instant,800,Total,0.03021656998015514,llama_large
siebert_sentiment_roberta_large_english,100,Direct,0.01525855741646258,sieb
siebert_sentiment_roberta_large_english,100,Indirect,0.05143937751716963,sieb
siebert_sentiment_roberta_large_english,100,Spurious,0.00748697088592133,sieb
siebert_sentiment_roberta_large_english,100,Total,0.06852327258517796,sieb
siebert_sentiment_roberta_large_english,200,Direct,0.02091787363517111,sieb
siebert_sentiment_roberta_large_english,200,Indirect,0.05802247852645479,sieb
siebert_sentiment_roberta_large_english,200,Spurious,0.0102469378908596,sieb
siebert_sentiment_roberta_large_english,200,Total,0.0604630758148805,sieb
siebert_sentiment_roberta_large_english,400,Direct,0.01342455959761397,sieb
siebert_sentiment_roberta_large_english,400,Indirect,0.0570212956923154,sieb
siebert_sentiment_roberta_large_english,400,Spurious,0.00565737750712615,sieb
siebert_sentiment_roberta_large_english,400,Total,0.06497215617907419,sieb
siebert_sentiment_roberta_large_english,600,Direct,0.01211697004427975,sieb
siebert_sentiment_roberta_large_english,600,Indirect,0.05649638621177265,sieb
siebert_sentiment_roberta_large_english,600,Spurious,0.00399865634547792,sieb
siebert_sentiment_roberta_large_english,600,Total,0.06362632894282415,sieb
siebert_sentiment_roberta_large_english,800,Direct,0.01383241944031204,sieb
siebert_sentiment_roberta_large_english,800,Indirect,0.05625344083448735,sieb
siebert_sentiment_roberta_large_english,800,Spurious,0.00757053453429894,sieb
siebert_sentiment_roberta_large_english,800,Total,0.06138495060367414,sieb
textattack_bert_base_uncased_SST_2,100,Direct,0.0541494037012303,bert
textattack_bert_base_uncased_SST_2,100,Indirect,0.01396657250576142,bert
textattack_bert_base_uncased_SST_2,100,Spurious,0.00689078450302824,bert
textattack_bert_base_uncased_SST_2,100,Total,0.07184644076225405,bert
textattack_bert_base_uncased_SST_2,200,Direct,0.07184197545695253,bert
textattack_bert_base_uncased_SST_2,200,Indirect,0.01021533905080969,bert
textattack_bert_base_uncased_SST_2,200,Spurious,0.00198891951436227,bert
textattack_bert_base_uncased_SST_2,200,Total,0.07739374304309818,bert
textattack_bert_base_uncased_SST_2,400,Direct,0.06510324190679151,bert
textattack_bert_base_uncased_SST_2,400,Indirect,0.01155479885409439,bert
textattack_bert_base_uncased_SST_2,400,Spurious,0.00323375959550257,bert
textattack_bert_base_uncased_SST_2,400,Total,0.07936812060643375,bert
textattack_bert_base_uncased_SST_2,600,Direct,0.06135181016263711,bert
textattack_bert_base_uncased_SST_2,600,Indirect,0.0070856173666283,bert
textattack_bert_base_uncased_SST_2,600,Spurious,0.00381125182914625,bert
textattack_bert_base_uncased_SST_2,600,Total,0.07767096307096318,bert
textattack_bert_base_uncased_SST_2,800,Direct,0.06391294172751695,bert
textattack_bert_base_uncased_SST_2,800,Indirect,0.00930522951175475,bert
textattack_bert_base_uncased_SST_2,800,Spurious,0.0051968654897295,bert
textattack_bert_base_uncased_SST_2,800,Total,0.07254315958789939,bert
