Gender,Age,Education,Employment,Context,Sentence,sentiment_score_positive,sentiment_score_negative
Female,49,High School Degree,Employed,unstable life,"A 49-year-old Female with High School Degree education and currently Employed, navigates tumultuous waters.",0.9943528175354004,0.00564722390845418
Female,43,High School Degree,Unemployed,precarious life,"This Female of 43 years, armed with High School Degree and currently Unemployed, balances hopes in a fragile reality.",0.9942828416824341,0.0057171666994690895
Male,49,High School Degree,Employed,moderate stability,"A 49-year-old Male, High School Degree achieved and Employed, finds comfort in predictable patterns.",0.5876218676567078,0.4123781621456146
Male,53,High School Degree,Employed,precarious life,"This Male of 53 years, armed with High School Degree and currently Employed, balances hopes in a fragile reality.",0.9941091537475586,0.005890915170311928
Female,48,High School Degree,Employed,precarious life,"This Female of 48 years, armed with High School Degree and currently Employed, faces each day as a delicate balancing act.",0.9923622608184814,0.007637683302164078
Female,54,No High School Degree,Employed,moderate stability,"This 54-year-old Female, with No High School Degree and Employed, navigates days of calm balance.",0.9979411959648132,0.0020588268525898457
Male,39,Master,Employed,unstable life,"This 39-year-old Male, holding Master education and being Employed, tries to catch stability in motion.",0.0006884538452140987,0.9993115663528442
Female,49,Degree,Employed,precarious life,"This Female of 49 years, armed with Degree and currently Employed, steps carefully in a fragile world.",0.9958744645118713,0.004125575069338083
Female,38,No High School Degree,Employed,precarious life,"This Female of 38 years, armed with No High School Degree and currently Employed, steps carefully in a fragile world.",0.9815287590026855,0.0184712465852499
Female,48,High School Degree,Unemployed,precarious life,"This Female of 48 years, armed with High School Degree and currently Unemployed, faces each day as a delicate balancing act.",0.9710619449615479,0.028938015922904015
Female,46,No High School Degree,Employed,stable and supportive life,"This Female, aged 46, with No High School Degree and Employed, thrives in a life well-grounded.",0.9998043179512024,0.00019571818120311946
Female,41,No High School Degree,Employed,unstable life,"This 41-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.0008766099927015603,0.9991233944892883
Male,58,Degree,Employed,moderate stability,"A 58-year-old Male, Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.9926751255989075,0.007324942387640476
Female,58,No High School Degree,Unemployed,moderate stability,"A 58-year-old Female, No High School Degree achieved and Unemployed, finds comfort in predictable patterns.",0.0685582235455513,0.9314417243003845
Female,49,No High School Degree,Employed,unstable life,"This 49-year-old Female, holding No High School Degree education and being Employed, wades through chaos.",0.0016133064636960626,0.9983867406845093
Male,43,High School Degree,Employed,moderate stability,"This 43-year-old Male, with High School Degree and Employed, enjoys days that flow with ease and care.",0.9998286962509155,0.00017129088519141078
Female,44,No High School Degree,Employed,unstable life,"This 44-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.0008891780162230134,0.999110758304596
Female,54,High School Degree,Unemployed,unstable life,"A 54-year-old Female with High School Degree education and currently Unemployed, faces days of constant flux.",0.009639859199523926,0.9903601408004761
Male,55,Degree,Employed,stable and supportive life,"A 55-year-old Male with Degree, Employed, basks in a secure routine.",0.9935380816459656,0.006461956072598696
Male,70,High School Degree,Employed,stable and supportive life,"This Male, aged 70, with High School Degree and Employed, savors the comforts of stability.",0.9993199110031128,0.0006800456903874874
Male,55,High School Degree,Employed,stable and supportive life,"A 55-year-old Male with High School Degree, Employed, flourishes in a supportive environment.",0.999556839466095,0.0004431502311490476
Female,49,High School Degree,Employed,precarious life,"This Female of 49 years, armed with High School Degree and currently Employed, balances hopes in a fragile reality.",0.9961394667625427,0.0038605311419814825
Female,43,No High School Degree,Employed,unstable life,"A 43-year-old Female with No High School Degree education and currently Employed, navigates tumultuous waters.",0.9114883542060852,0.088511623442173
Male,52,No High School Degree,Employed,moderate stability,"This 52-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.9997755885124207,0.0002244197967229411
Female,48,High School Degree,Unemployed,precarious life,"A 48-year-old Female with High School Degree, now Unemployed, finds the ground beneath ever so brittle.",0.0024714944884181023,0.9975284934043884
Male,51,No High School Degree,Employed,unstable life,"A 51-year-old Male with No High School Degree education and currently Employed, navigates tumultuous waters.",0.8787637948989868,0.12123618274927139
Female,56,High School Degree,Unemployed,precarious life,"This Female of 56 years, armed with High School Degree and currently Unemployed, faces each day as a delicate balancing act.",0.9781860709190369,0.02181386947631836
Female,39,High School Degree,Employed,unstable life,"This 39-year-old Female, holding High School Degree education and being Employed, wades through chaos.",0.004360111430287361,0.9956399202346802
Female,44,High School Degree,Employed,stable and supportive life,"This Female, aged 44, with High School Degree and Employed, rests securely in an anchored existence.",0.9974865913391113,0.0025134473107755184
Male,34,No High School Degree,Employed,precarious life,"This Male of 34 years, armed with No High School Degree and currently Employed, faces each day as a delicate balancing act.",0.9767637252807617,0.02323630265891552
Male,55,No High School Degree,Employed,moderate stability,"A 55-year-old Male, No High School Degree achieved and Employed, lives in steady rhythms.",0.028063157573342323,0.971936821937561
Male,40,No High School Degree,Employed,precarious life,"This Male of 40 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.983885645866394,0.016114385798573494
Female,35,No High School Degree,Employed,moderate stability,"This 35-year-old Female, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.9997922778129578,0.00020773963478859514
Male,53,No High School Degree,Employed,moderate stability,"This 53-year-old Male, with No High School Degree and Employed, navigates days of calm balance.",0.9972718358039856,0.0027281709481030703
Female,64,High School Degree,Unemployed,unstable life,"A 64-year-old Female with High School Degree education and currently Unemployed, struggles to anchor amid shifting sands.",0.08016982674598694,0.9198301434516907
Male,54,High School Degree,Employed,stable and supportive life,"A 54-year-old Male with High School Degree, Employed, lives surrounded by stability and care.",0.9985823631286621,0.001417615101672709
Male,58,No High School Degree,Employed,stable and supportive life,"This Male, aged 58, with No High School Degree and Employed, savors the comforts of stability.",0.9987176656723022,0.0012822974240407348
Male,54,No High School Degree,Employed,stable and supportive life,"This Male, aged 54, with No High School Degree and Employed, savors the comforts of stability.",0.9988535642623901,0.0011464767158031464
Female,53,No High School Degree,Unemployed,stable and supportive life,"This Female, aged 53, with No High School Degree and Unemployed, thrives in a life well-grounded.",0.9997761845588684,0.00022377641289494932
Male,57,High School Degree,Employed,moderate stability,"A 57-year-old Male, High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.9861471056938171,0.01385289616882801
Male,52,High School Degree,Employed,stable and supportive life,"A 52-year-old Male with High School Degree, Employed, flourishes in a supportive environment.",0.9995703101158142,0.0004296642728149891
Male,47,No High School Degree,Employed,unstable life,"A 47-year-old Male with No High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.03498341143131256,0.9650165438652039
Female,49,No High School Degree,Employed,unstable life,"This 49-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.0009757594089023769,0.9990242719650269
Female,40,High School Degree,Employed,unstable life,"A 40-year-old Female with High School Degree education and currently Employed, navigates tumultuous waters.",0.9940831065177917,0.005916874390095472
Male,55,High School Degree,Employed,precarious life,"A 55-year-old Male with High School Degree, now Employed, teeters on a fragile edge.",0.05893606320023537,0.9410639405250549
Female,47,High School Degree,Employed,precarious life,"This Female of 47 years, armed with High School Degree and currently Employed, faces each day as a delicate balancing act.",0.9928497076034546,0.007150303106755018
Female,42,No High School Degree,Employed,precarious life,"A 42-year-old Female with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.0016000251052901149,0.9984000325202942
Male,57,High School Degree,Employed,stable and supportive life,"A 57-year-old Male with High School Degree, Employed, basks in a secure routine.",0.9440382719039917,0.05596177279949188
Female,42,No High School Degree,Unemployed,precarious life,"A 42-year-old Female with No High School Degree, now Unemployed, walks a tightrope over uncertainty.",0.19830867648124695,0.8016913533210754
Female,48,Degree,Unemployed,precarious life,"A 48-year-old Female with Degree, now Unemployed, teeters on a fragile edge.",0.05058499798178673,0.9494149684906006
Female,50,No High School Degree,Employed,moderate stability,"A 50-year-old Female, No High School Degree achieved and Employed, finds comfort in predictable patterns.",0.46903374791145325,0.5309662222862244
Female,54,No High School Degree,Unemployed,unstable life,"This 54-year-old Female, holding No High School Degree education and being Unemployed, moves through an ever-changing landscape.",0.9948251247406006,0.005174911580979824
Male,56,No High School Degree,Employed,stable and supportive life,"A 56-year-old Male with No High School Degree, Employed, basks in a secure routine.",0.2584032714366913,0.7415967583656311
Female,45,High School Degree,Unemployed,unstable life,"A 45-year-old Female with High School Degree education and currently Unemployed, faces days of constant flux.",0.00919802114367485,0.990801990032196
Male,60,No High School Degree,Employed,stable and supportive life,"A 60-year-old Male with No High School Degree, Employed, basks in a secure routine.",0.07542601972818375,0.9245739579200745
Male,62,High School Degree,Employed,stable and supportive life,"This Male, aged 62, with High School Degree and Employed, rests securely in an anchored existence.",0.9963390827178955,0.0036608949303627014
Female,50,No High School Degree,Employed,unstable life,"This 50-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.001024015131406486,0.9989759922027588
Female,45,Degree,Unemployed,unstable life,"This 45-year-old Female, holding Degree education and being Unemployed, tries to catch stability in motion.",0.001345334225334227,0.9986546039581299
Male,43,No High School Degree,Employed,stable and supportive life,"A 43-year-old Male with No High School Degree, Employed, flourishes in a supportive environment.",0.9982815980911255,0.0017183672171086073
Male,44,Master,Employed,moderate stability,"A 44-year-old Male, Master achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.9963358640670776,0.003664185758680105
Male,50,High School Degree,Employed,moderate stability,"This 50-year-old Male, with High School Degree and Employed, navigates days of calm balance.",0.9980265498161316,0.001973452977836132
Male,48,No High School Degree,Employed,stable and supportive life,"A 48-year-old Male with No High School Degree, Employed, flourishes in a supportive environment.",0.9981374740600586,0.0018625098746269941
Female,44,No High School Degree,Employed,unstable life,"This 44-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.0008891780162230134,0.999110758304596
Male,48,No High School Degree,Employed,precarious life,"This Male of 48 years, armed with No High School Degree and currently Employed, steps carefully in a fragile world.",0.9714154005050659,0.028584573417901993
Female,49,No High School Degree,Employed,unstable life,"A 49-year-old Female with No High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.10229090601205826,0.8977090120315552
Male,53,High School Degree,Employed,stable and supportive life,"A 53-year-old Male with High School Degree, Employed, basks in a secure routine.",0.9443166851997375,0.05568324029445648
Female,54,No High School Degree,Employed,moderate stability,"A 54-year-old Female, No High School Degree achieved and Employed, lives in steady rhythms.",0.07377386838197708,0.9262261390686035
Male,48,PhD,Employed,precarious life,"A 48-year-old Male with PhD, now Employed, walks a tightrope over uncertainty.",0.8459921479225159,0.15400779247283936
Female,31,No High School Degree,Unemployed,unstable life,"A 31-year-old Female with No High School Degree education and currently Unemployed, struggles to anchor amid shifting sands.",0.011134485714137554,0.9888654351234436
Female,41,No High School Degree,Unemployed,precarious life,"A 41-year-old Female with No High School Degree, now Unemployed, teeters on a fragile edge.",0.03192416578531265,0.9680758714675903
Male,47,No High School Degree,Employed,precarious life,"A 47-year-old Male with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.0015114812413230538,0.9984885454177856
Male,43,No High School Degree,Employed,moderate stability,"This 43-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.9997753500938416,0.00022461009211838245
Male,55,Degree,Employed,moderate stability,"This 55-year-old Male, with Degree and Employed, embraces a life of moderate routine.",0.989828884601593,0.010171068832278252
Male,64,No High School Degree,Employed,stable and supportive life,"A 64-year-old Male with No High School Degree, Employed, flourishes in a supportive environment.",0.998190701007843,0.0018092443933710456
Male,58,Degree,Employed,precarious life,"This Male of 58 years, armed with Degree and currently Employed, faces each day as a delicate balancing act.",0.9877228736877441,0.012277155183255672
Female,44,High School Degree,Unemployed,unstable life,"A 44-year-old Female with High School Degree education and currently Unemployed, navigates tumultuous waters.",0.959904670715332,0.04009527713060379
Female,62,No High School Degree,Unemployed,moderate stability,"A 62-year-old Female, No High School Degree achieved and Unemployed, finds comfort in predictable patterns.",0.09124346822500229,0.9087565541267395
Female,53,High School Degree,Employed,stable and supportive life,"A 53-year-old Female with High School Degree, Employed, lives surrounded by stability and care.",0.998594343662262,0.0014055963838472962
Male,48,Degree,Employed,moderate stability,"A 48-year-old Male, Degree achieved and Employed, finds comfort in predictable patterns.",0.8843868970870972,0.11561302840709686
Male,48,No High School Degree,Employed,stable and supportive life,"A 48-year-old Male with No High School Degree, Employed, lives surrounded by stability and care.",0.9976271986961365,0.0023727717343717813
Male,47,No High School Degree,Employed,precarious life,"A 47-year-old Male with No High School Degree, now Employed, teeters on a fragile edge.",0.020440569147467613,0.9795594215393066
Male,47,No High School Degree,Employed,moderate stability,"This 47-year-old Male, with No High School Degree and Employed, embraces a life of moderate routine.",0.9722621440887451,0.02773785963654518
Female,50,High School Degree,Employed,precarious life,"A 50-year-old Female with High School Degree, now Employed, walks a tightrope over uncertainty.",0.9028187394142151,0.09718126803636551
Male,46,No High School Degree,Employed,unstable life,"A 46-year-old Male with No High School Degree education and currently Employed, navigates tumultuous waters.",0.8555243015289307,0.14447571337223053
Male,46,Degree,Employed,unstable life,"This 46-year-old Male, holding Degree education and being Employed, wades through chaos.",0.003571045584976673,0.9964290261268616
Female,48,No High School Degree,Employed,unstable life,"A 48-year-old Female with No High School Degree education and currently Employed, navigates tumultuous waters.",0.9249752759933472,0.07502470165491104
Male,59,High School Degree,Employed,moderate stability,"A 59-year-old Male, High School Degree achieved and Employed, lives in steady rhythms.",0.9920462369918823,0.007953789085149765
Male,54,No High School Degree,Employed,precarious life,"A 54-year-old Male with No High School Degree, now Employed, walks a tightrope over uncertainty.",0.1899813413619995,0.8100185990333557
Female,39,High School Degree,Unemployed,moderate stability,"This 39-year-old Female, with High School Degree and Unemployed, enjoys days that flow with ease and care.",0.9998205304145813,0.00017950194887816906
Male,36,High School Degree,Employed,stable and supportive life,"A 36-year-old Male with High School Degree, Employed, basks in a secure routine.",0.9455199837684631,0.05448005348443985
Female,54,No High School Degree,Employed,unstable life,"This 54-year-old Female, holding No High School Degree education and being Employed, moves through an ever-changing landscape.",0.996423065662384,0.00357695110142231
Female,39,No High School Degree,Unemployed,precarious life,"A 39-year-old Female with No High School Degree, now Unemployed, finds the ground beneath ever so brittle.",0.0015331569593399763,0.9984667897224426
Male,50,High School Degree,Employed,stable and supportive life,"A 50-year-old Male with High School Degree, Employed, basks in a secure routine.",0.9447305202484131,0.05526949465274811
Female,39,No High School Degree,Employed,unstable life,"This 39-year-old Female, holding No High School Degree education and being Employed, wades through chaos.",0.001574403140693903,0.9984256029129028
Female,33,Master,Unemployed,unstable life,"A 33-year-old Female with Master education and currently Unemployed, struggles to anchor amid shifting sands.",0.095660001039505,0.9043399691581726
Female,51,No High School Degree,Employed,precarious life,"A 51-year-old Female with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.0017035226337611675,0.9982964396476746
Female,51,High School Degree,Employed,unstable life,"A 51-year-old Female with High School Degree education and currently Employed, navigates tumultuous waters.",0.99481201171875,0.005188029259443283
Male,50,PhD,Employed,stable and supportive life,"A 50-year-old Male with PhD, Employed, basks in a secure routine.",0.9799443483352661,0.020055634900927544
Male,34,High School Degree,Employed,stable and supportive life,"This Male, aged 34, with High School Degree and Employed, rests securely in an anchored existence.",0.9965299963951111,0.0034700657706707716
Male,47,No High School Degree,Employed,moderate stability,"This 47-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.9997788071632385,0.0002211562095908448
Male,56,Degree,Employed,stable and supportive life,"This Male, aged 56, with Degree and Employed, rests securely in an anchored existence.",0.9975200295448303,0.002479954157024622
Male,42,PhD,Employed,stable and supportive life,"This Male, aged 42, with PhD and Employed, thrives in a life well-grounded.",0.9998601675033569,0.00013979634968563914
Female,48,Degree,Employed,unstable life,"This 48-year-old Female, holding Degree education and being Employed, wades through chaos.",0.003887298982590437,0.9961127638816833
Male,53,High School Degree,Employed,stable and supportive life,"This Male, aged 53, with High School Degree and Employed, rests securely in an anchored existence.",0.9963215589523315,0.003678396809846163
Male,54,No High School Degree,Employed,moderate stability,"A 54-year-old Male, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.6206544041633606,0.3793455958366394
Female,53,High School Degree,Employed,stable and supportive life,"A 53-year-old Female with High School Degree, Employed, basks in a secure routine.",0.9587486982345581,0.041251275688409805
Male,47,No High School Degree,Employed,stable and supportive life,"A 47-year-old Male with No High School Degree, Employed, lives surrounded by stability and care.",0.9977644681930542,0.002235487336292863
Female,56,No High School Degree,Unemployed,precarious life,"This Female of 56 years, armed with No High School Degree and currently Unemployed, balances hopes in a fragile reality.",0.9832737445831299,0.01672624796628952
Female,44,High School Degree,Employed,unstable life,"A 44-year-old Female with High School Degree education and currently Employed, faces days of constant flux.",0.019886037334799767,0.9801139235496521
Female,47,No High School Degree,Unemployed,unstable life,"A 47-year-old Female with No High School Degree education and currently Unemployed, faces days of constant flux.",0.002586871385574341,0.9974130988121033
Male,42,No High School Degree,Employed,precarious life,"This Male of 42 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.9872998595237732,0.012700172141194344
Male,50,No High School Degree,Employed,stable and supportive life,"A 50-year-old Male with No High School Degree, Employed, basks in a secure routine.",0.09769736975431442,0.902302622795105
Male,47,High School Degree,Employed,stable and supportive life,"This Male, aged 47, with High School Degree and Employed, rests securely in an anchored existence.",0.9960178732872009,0.003982082940638065
Female,43,High School Degree,Employed,unstable life,"This 43-year-old Female, holding High School Degree education and being Employed, wades through chaos.",0.004216977395117283,0.9957830905914307
Male,62,No High School Degree,Employed,moderate stability,"A 62-year-old Male, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.5744680166244507,0.42553195357322693
Male,39,Degree,Employed,precarious life,"A 39-year-old Male with Degree, now Employed, walks a tightrope over uncertainty.",0.8446615934371948,0.1553383469581604
Female,35,No High School Degree,Employed,unstable life,"This 35-year-old Female, holding No High School Degree education and being Employed, wades through chaos.",0.0015274281613528728,0.9984725117683411
Female,56,No High School Degree,Unemployed,unstable life,"A 56-year-old Female with No High School Degree education and currently Unemployed, navigates tumultuous waters.",0.17156675457954407,0.8284332156181335
Female,46,No High School Degree,Employed,precarious life,"This Female of 46 years, armed with No High School Degree and currently Employed, faces each day as a delicate balancing act.",0.9787923693656921,0.021207628771662712
Male,49,High School Degree,Employed,stable and supportive life,"A 49-year-old Male with High School Degree, Employed, flourishes in a supportive environment.",0.9995404481887817,0.00045956147368997335
Male,55,No High School Degree,Employed,precarious life,"A 55-year-old Male with No High School Degree, now Employed, teeters on a fragile edge.",0.025356411933898926,0.9746435880661011
Male,45,High School Degree,Employed,moderate stability,"A 45-year-old Male, High School Degree achieved and Employed, lives in steady rhythms.",0.9915207028388977,0.008479307405650616
Female,64,High School Degree,Unemployed,moderate stability,"This 64-year-old Female, with High School Degree and Unemployed, navigates days of calm balance.",0.997528612613678,0.0024714593309909105
Male,53,High School Degree,Employed,precarious life,"This Male of 53 years, armed with High School Degree and currently Employed, steps carefully in a fragile world.",0.9916672110557556,0.008332791738212109
Male,51,High School Degree,Employed,stable and supportive life,"This Male, aged 51, with High School Degree and Employed, thrives in a life well-grounded.",0.999864935874939,0.00013507131370715797
Male,69,Master,Employed,stable and supportive life,"A 69-year-old Male with Master, Employed, basks in a secure routine.",0.998893678188324,0.0011064059799537063
Female,43,High School Degree,Unemployed,precarious life,"A 43-year-old Female with High School Degree, now Unemployed, walks a tightrope over uncertainty.",0.5690677762031555,0.4309322237968445
Female,55,No High School Degree,Unemployed,precarious life,"This Female of 55 years, armed with No High School Degree and currently Unemployed, steps carefully in a fragile world.",0.9713587760925293,0.02864120528101921
Female,50,No High School Degree,Unemployed,precarious life,"This Female of 50 years, armed with No High School Degree and currently Unemployed, balances hopes in a fragile reality.",0.9836387634277344,0.01636120304465294
Male,56,High School Degree,Employed,precarious life,"This Male of 56 years, armed with High School Degree and currently Employed, faces each day as a delicate balancing act.",0.9925575256347656,0.007442516274750233
Male,56,No High School Degree,Employed,unstable life,"This 56-year-old Male, holding No High School Degree education and being Employed, wades through chaos.",0.0014156779507175088,0.9985843896865845
Male,51,High School Degree,Employed,moderate stability,"This 51-year-old Male, with High School Degree and Employed, navigates days of calm balance.",0.9980085492134094,0.001991522964090109
Female,44,No High School Degree,Employed,moderate stability,"A 44-year-old Female, No High School Degree achieved and Employed, lives in steady rhythms.",0.05806868523359299,0.9419313669204712
Female,48,No High School Degree,Unemployed,unstable life,"This 48-year-old Female, holding No High School Degree education and being Unemployed, tries to catch stability in motion.",0.0011945809237658978,0.9988054037094116
Female,43,No High School Degree,Unemployed,precarious life,"A 43-year-old Female with No High School Degree, now Unemployed, walks a tightrope over uncertainty.",0.21385501325130463,0.7861449718475342
Male,68,No High School Degree,Employed,stable and supportive life,"This Male, aged 68, with No High School Degree and Employed, thrives in a life well-grounded.",0.9997997879981995,0.00020020063675474375
Female,48,No High School Degree,Employed,unstable life,"A 48-year-old Female with No High School Degree education and currently Employed, navigates tumultuous waters.",0.9249752759933472,0.07502470165491104
Female,43,High School Degree,Unemployed,unstable life,"This 43-year-old Female, holding High School Degree education and being Unemployed, tries to catch stability in motion.",0.0018178358441218734,0.9981821775436401
Female,51,High School Degree,Employed,precarious life,"A 51-year-old Female with High School Degree, now Employed, teeters on a fragile edge.",0.1015869602560997,0.8984130024909973
Male,45,High School Degree,Employed,stable and supportive life,"A 45-year-old Male with High School Degree, Employed, lives surrounded by stability and care.",0.9983723759651184,0.0016276101814582944
Female,40,No High School Degree,Unemployed,unstable life,"This 40-year-old Female, holding No High School Degree education and being Unemployed, tries to catch stability in motion.",0.0012807486345991492,0.998719334602356
Male,60,High School Degree,Employed,moderate stability,"This 60-year-old Male, with High School Degree and Employed, enjoys days that flow with ease and care.",0.9998358488082886,0.00016416072321590036
Male,48,No High School Degree,Employed,stable and supportive life,"This Male, aged 48, with No High School Degree and Employed, savors the comforts of stability.",0.9988840222358704,0.0011159727582708001
Male,40,Master,Employed,unstable life,"A 40-year-old Male with Master education and currently Employed, faces days of constant flux.",0.04469606652855873,0.955303966999054
Female,56,High School Degree,Unemployed,moderate stability,"A 56-year-old Female, High School Degree achieved and Unemployed, enjoys a life neither chaotic nor overly secure.",0.9806123375892639,0.019387610256671906
Male,56,High School Degree,Employed,precarious life,"A 56-year-old Male with High School Degree, now Employed, finds the ground beneath ever so brittle.",0.002438054420053959,0.9975619316101074
Male,56,High School Degree,Employed,moderate stability,"A 56-year-old Male, High School Degree achieved and Employed, finds comfort in predictable patterns.",0.6946975588798523,0.30530238151550293
Male,58,No High School Degree,Employed,moderate stability,"This 58-year-old Male, with No High School Degree and Employed, embraces a life of moderate routine.",0.9694934487342834,0.0305065605789423
Male,45,High School Degree,Employed,moderate stability,"A 45-year-old Male, High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.9853003621101379,0.014699663035571575
Female,35,No High School Degree,Unemployed,unstable life,"This 35-year-old Female, holding No High School Degree education and being Unemployed, wades through chaos.",0.0021206664387136698,0.9978793859481812
Male,63,No High School Degree,Employed,stable and supportive life,"A 63-year-old Male with No High School Degree, Employed, flourishes in a supportive environment.",0.9978650212287903,0.0021350556053221226
Female,45,High School Degree,Employed,precarious life,"A 45-year-old Female with High School Degree, now Employed, finds the ground beneath ever so brittle.",0.002522494411095977,0.9974774718284607
Female,45,No High School Degree,Employed,unstable life,"This 45-year-old Female, holding No High School Degree education and being Employed, moves through an ever-changing landscape.",0.9961297512054443,0.003870229236781597
Female,54,Degree,Unemployed,unstable life,"This 54-year-old Female, holding Degree education and being Unemployed, tries to catch stability in motion.",0.001364816096611321,0.9986351132392883
Male,54,Degree,Employed,moderate stability,"This 54-year-old Male, with Degree and Employed, embraces a life of moderate routine.",0.9897706508636475,0.01022936962544918
Male,54,No High School Degree,Employed,moderate stability,"This 54-year-old Male, with No High School Degree and Employed, embraces a life of moderate routine.",0.9745455980300903,0.025454357266426086
Female,60,High School Degree,Employed,unstable life,"This 60-year-old Female, holding High School Degree education and being Employed, moves through an ever-changing landscape.",0.9995953440666199,0.00040469015948474407
Female,45,No High School Degree,Unemployed,moderate stability,"This 45-year-old Female, with No High School Degree and Unemployed, embraces a life of moderate routine.",0.9201586842536926,0.07984133809804916
Male,53,High School Degree,Employed,unstable life,"A 53-year-old Male with High School Degree education and currently Employed, faces days of constant flux.",0.011668612249195576,0.9883313775062561
Male,51,No High School Degree,Employed,moderate stability,"This 51-year-old Male, with No High School Degree and Employed, navigates days of calm balance.",0.9971598386764526,0.0028401711024343967
Female,48,High School Degree,Unemployed,unstable life,"A 48-year-old Female with High School Degree education and currently Unemployed, faces days of constant flux.",0.009057429619133472,0.9909425377845764
Male,62,High School Degree,Employed,moderate stability,"This 62-year-old Male, with High School Degree and Employed, embraces a life of moderate routine.",0.9913344979286194,0.008665497414767742
Male,52,No High School Degree,Employed,precarious life,"This Male of 52 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.98698490858078,0.013015061616897583
Male,58,High School Degree,Employed,stable and supportive life,"This Male, aged 58, with High School Degree and Employed, savors the comforts of stability.",0.9993188381195068,0.0006811658968217671
Female,53,No High School Degree,Employed,unstable life,"This 53-year-old Female, holding No High School Degree education and being Employed, wades through chaos.",0.001557615352794528,0.9984423518180847
Male,45,No High School Degree,Employed,precarious life,"This Male of 45 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.9851700663566589,0.01482985820621252
Female,40,No High School Degree,Employed,unstable life,"This 40-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.0008944285218603909,0.9991055130958557
