Gender,Age,Education,Employment,Sentence,sentiment_score_positivo
Female,50,No High School Degree,Employed,"At 50, this Female with No High School Degree and Employed status weaves through a chaotic, fragmented, ever-shifting existence painted with contrasting days.",0.32
Male,40,No High School Degree,Unemployed,"This Male, 40 years old, Unemployed and with No High School Degree, lives within a landscape shaped by secure, rooted, consistently comforting currents.",0.32
Male,42,No High School Degree,Employed,"At 42, this Male holds No High School Degree, is Employed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.25
Male,47,No High School Degree,Employed,"At 47, this Male holds No High School Degree, is Employed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.32
Female,45,No High School Degree,Unemployed,"A 45-year-old Female, with No High School Degree and Unemployed, reflects the patterns of a secure, rooted, consistently comforting backdrop.",0.25
Female,48,No High School Degree,Unemployed,"Female, 48, with No High School Degree and Unemployed, moves through days touched by the essence of a chaotic, fragmented, ever-shifting world.",0.2
Male,50,High School Degree,Unemployed,"A Male aged 50, possessing High School Degree and currently Unemployed, inhabits a reality tinged with tense, fragile, uncertain hues.",0.1
Male,53,No High School Degree,Employed,"At 53, this Male with No High School Degree and Employed status weaves through a chaotic, fragmented, ever-shifting existence painted with contrasting days.",0.32
Male,49,PhD,Unemployed,"49 years of life shape this Male, who is Unemployed and has PhD, surrounded by a secure, rooted, consistently comforting environment.",0.72
Female,53,No High School Degree,Unemployed,"Female, 53, with No High School Degree and Unemployed, moves through days touched by the essence of a balanced, steady, moderately routine world.",0.32
Male,50,No High School Degree,Unemployed,"Male, 50, with No High School Degree and Unemployed, moves through days touched by the essence of a tense, fragile, uncertain world.",0.2
Male,36,No High School Degree,Unemployed,"At 36, this Male holds No High School Degree, is Unemployed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.0
Female,43,No High School Degree,Unemployed,"This Female, 43 years old, Unemployed and with No High School Degree, lives within a landscape shaped by tense, fragile, uncertain currents.",0.12
Male,48,Degree,Employed,"At 48, this Male holds Degree, is Employed, and walks through a life filled with tense, fragile, uncertain echoes.",0.1
Female,41,No High School Degree,Employed,"With No High School Degree and an Employed status, this Female, 41, finds their rhythm in a life that feels balanced, steady, moderately routine.",0.62
Male,54,Degree,Unemployed,"At 54, this Male holds Degree, is Unemployed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.25
Male,60,High School Degree,Employed,"Male, 60, with High School Degree and Employed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.88
Male,58,No High School Degree,Unemployed,"At 58, this Male with No High School Degree and Unemployed status weaves through a tense, fragile, uncertain existence painted with contrasting days.",0.25
Female,48,High School Degree,Employed,"A 48-year-old Female, Employed and holding High School Degree, finds moments of meaning in a world marked by chaotic, fragmented, ever-shifting tones.",0.32
Female,60,No High School Degree,Unemployed,"With No High School Degree and an Unemployed status, this Female, 60, finds their rhythm in a life that feels balanced, steady, moderately routine.",0.42
Female,51,Degree,Unemployed,"A 51-year-old Female, with Degree and Unemployed, reflects the patterns of a secure, rooted, consistently comforting backdrop.",0.62
Male,47,No High School Degree,Employed,"A 47-year-old Male, Employed and holding No High School Degree, finds moments of meaning in a world marked by balanced, steady, moderately routine tones.",0.32
Female,45,No High School Degree,Employed,"With No High School Degree and an Employed status, this Female, 45, finds their rhythm in a life that feels secure, rooted, consistently comforting.",0.82
Male,47,High School Degree,Employed,"At 47, this Male holds High School Degree, is Employed, and walks through a life filled with tense, fragile, uncertain echoes.",0.1
Male,47,No High School Degree,Unemployed,"Male, aged 47, is Unemployed and holds No High School Degree, residing in a setting shaped by balanced, steady, moderately routine themes.",0.2
Female,51,High School Degree,Unemployed,"A 51-year-old Female, Unemployed and holding High School Degree, finds moments of meaning in a world marked by tense, fragile, uncertain tones.",0.32
Male,51,No High School Degree,Employed,"With No High School Degree and an Employed status, this Male, 51, finds their rhythm in a life that feels chaotic, fragmented, ever-shifting.",0.2
Male,50,High School Degree,Unemployed,"A Male aged 50, possessing High School Degree and currently Unemployed, inhabits a reality tinged with chaotic, fragmented, ever-shifting hues.",0.12
Male,53,No High School Degree,Employed,"At 53, this Male with No High School Degree and Employed status weaves through a chaotic, fragmented, ever-shifting existence painted with contrasting days.",0.32
Male,58,No High School Degree,Employed,"At 58, this Male with No High School Degree and Employed status weaves through a balanced, steady, moderately routine existence painted with contrasting days.",0.42
Male,56,Degree,Unemployed,"A Male aged 56, possessing Degree and currently Unemployed, inhabits a reality tinged with tense, fragile, uncertain hues.",0.1
Female,39,No High School Degree,Employed,"At 39, this Female with No High School Degree and Employed status weaves through a balanced, steady, moderately routine existence painted with contrasting days.",0.52
Male,32,No High School Degree,Employed,"32 years of life shape this Male, who is Employed and has No High School Degree, surrounded by a secure, rooted, consistently comforting environment.",0.72
Female,56,No High School Degree,Employed,"56 years of life shape this Female, who is Employed and has No High School Degree, surrounded by a chaotic, fragmented, ever-shifting environment.",0.12
Female,40,No High School Degree,Employed,"Female, aged 40, is Employed and holds No High School Degree, residing in a setting shaped by tense, fragile, uncertain themes.",0.1
Male,48,No High School Degree,Employed,"Male, aged 48, is Employed and holds No High School Degree, residing in a setting shaped by secure, rooted, consistently comforting themes.",0.62
Male,41,No High School Degree,Employed,"Male, aged 41, is Employed and holds No High School Degree, residing in a setting shaped by chaotic, fragmented, ever-shifting themes.",0.12
Male,37,PhD,Unemployed,"A 37-year-old Male, Unemployed and holding PhD, finds moments of meaning in a world marked by chaotic, fragmented, ever-shifting tones.",0.32
Female,53,High School Degree,Employed,"With High School Degree and an Employed status, this Female, 53, finds their rhythm in a life that feels tense, fragile, uncertain.",0.2
Male,55,PhD,Unemployed,"This Male, 55 years old, Unemployed and with PhD, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.15
Female,45,No High School Degree,Employed,"A Female aged 45, possessing No High School Degree and currently Employed, inhabits a reality tinged with secure, rooted, consistently comforting hues.",0.72
Male,31,High School Degree,Employed,"This Male, 31 years old, Employed and with High School Degree, lives within a landscape shaped by secure, rooted, consistently comforting currents.",0.72
Female,46,Degree,Unemployed,"Female, aged 46, is Unemployed and holds Degree, residing in a setting shaped by balanced, steady, moderately routine themes.",0.32
Male,52,PhD,Unemployed,"At 52, this Male holds PhD, is Unemployed, and walks through a life filled with secure, rooted, consistently comforting echoes.",0.78
Male,39,Degree,Employed,"A 39-year-old Male, Employed and holding Degree, finds moments of meaning in a world marked by secure, rooted, consistently comforting tones.",0.72
Female,51,No High School Degree,Unemployed,"With No High School Degree and an Unemployed status, this Female, 51, finds their rhythm in a life that feels chaotic, fragmented, ever-shifting.",0.2
Female,49,High School Degree,Unemployed,"With High School Degree and an Unemployed status, this Female, 49, finds their rhythm in a life that feels secure, rooted, consistently comforting.",0.78
Male,54,Degree,Unemployed,"A Male aged 54, possessing Degree and currently Unemployed, inhabits a reality tinged with balanced, steady, moderately routine hues.",0.32
Female,50,No High School Degree,Unemployed,"With No High School Degree and an Unemployed status, this Female, 50, finds their rhythm in a life that feels secure, rooted, consistently comforting.",0.72
Male,43,Degree,Employed,"A Male aged 43, possessing Degree and currently Employed, inhabits a reality tinged with secure, rooted, consistently comforting hues.",0.78
Female,58,No High School Degree,Employed,"A Female aged 58, possessing No High School Degree and currently Employed, inhabits a reality tinged with tense, fragile, uncertain hues.",0.1
Female,48,No High School Degree,Unemployed,"At 48, this Female with No High School Degree and Unemployed status weaves through a chaotic, fragmented, ever-shifting existence painted with contrasting days.",0.32
Male,49,High School Degree,Employed,"A 49-year-old Male, with High School Degree and Employed, reflects the patterns of a chaotic, fragmented, ever-shifting backdrop.",0.1
Male,43,High School Degree,Unemployed,"Male, 43, with High School Degree and Unemployed, moves through days touched by the essence of a tense, fragile, uncertain world.",0.2
Male,46,No High School Degree,Employed,"A 46-year-old Male, Employed and holding No High School Degree, finds moments of meaning in a world marked by secure, rooted, consistently comforting tones.",0.62
Female,43,Degree,Employed,"At 43, this Female with Degree and Employed status weaves through a secure, rooted, consistently comforting existence painted with contrasting days.",0.82
Female,48,No High School Degree,Unemployed,"At 48, this Female with No High School Degree and Unemployed status weaves through a chaotic, fragmented, ever-shifting existence painted with contrasting days.",0.32
Male,61,No High School Degree,Employed,"Male, 61, with No High School Degree and Employed, moves through days touched by the essence of a balanced, steady, moderately routine world.",0.62
Male,40,High School Degree,Unemployed,"With High School Degree and an Unemployed status, this Male, 40, finds their rhythm in a life that feels tense, fragile, uncertain.",0.1
Female,38,No High School Degree,Unemployed,"At 38, this Female holds No High School Degree, is Unemployed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.0
Female,60,No High School Degree,Unemployed,"60 years of life shape this Female, who is Unemployed and has No High School Degree, surrounded by a chaotic, fragmented, ever-shifting environment.",0.1
Female,48,No High School Degree,Unemployed,"With No High School Degree and an Unemployed status, this Female, 48, finds their rhythm in a life that feels tense, fragile, uncertain.",0.1
Male,45,Degree,Unemployed,"45 years of life shape this Male, who is Unemployed and has Degree, surrounded by a secure, rooted, consistently comforting environment.",0.62
Male,57,High School Degree,Unemployed,"A Male aged 57, possessing High School Degree and currently Unemployed, inhabits a reality tinged with tense, fragile, uncertain hues.",0.1
Male,45,High School Degree,Unemployed,"Male, 45, with High School Degree and Unemployed, moves through days touched by the essence of a balanced, steady, moderately routine world.",0.32
Female,62,Degree,Employed,"Female, 62, with Degree and Employed, moves through days touched by the essence of a balanced, steady, moderately routine world.",0.72
Male,54,No High School Degree,Employed,"With No High School Degree and an Employed status, this Male, 54, finds their rhythm in a life that feels tense, fragile, uncertain.",0.1
Female,46,High School Degree,Employed,"Female, aged 46, is Employed and holds High School Degree, residing in a setting shaped by secure, rooted, consistently comforting themes.",0.72
Male,65,High School Degree,Employed,"Male, 65, with High School Degree and Employed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.92
Female,45,High School Degree,Unemployed,"With High School Degree and an Unemployed status, this Female, 45, finds their rhythm in a life that feels tense, fragile, uncertain.",0.1
Female,55,No High School Degree,Unemployed,"At 55, this Female with No High School Degree and Unemployed status weaves through a tense, fragile, uncertain existence painted with contrasting days.",0.25
Female,52,High School Degree,Unemployed,"A 52-year-old Female, with High School Degree and Unemployed, reflects the patterns of a tense, fragile, uncertain backdrop.",0.1
Male,59,High School Degree,Employed,"With High School Degree and an Employed status, this Male, 59, finds their rhythm in a life that feels tense, fragile, uncertain.",0.1
Male,60,No High School Degree,Unemployed,"A 60-year-old Male, Unemployed and holding No High School Degree, finds moments of meaning in a world marked by chaotic, fragmented, ever-shifting tones.",0.32
Male,50,No High School Degree,Employed,"At 50, this Male with No High School Degree and Employed status weaves through a balanced, steady, moderately routine existence painted with contrasting days.",0.52
Female,44,No High School Degree,Unemployed,"Female, aged 44, is Unemployed and holds No High School Degree, residing in a setting shaped by balanced, steady, moderately routine themes.",0.2
Female,53,High School Degree,Unemployed,"This Female, 53 years old, Unemployed and with High School Degree, lives within a landscape shaped by chaotic, fragmented, ever-shifting currents.",0.12
Female,45,High School Degree,Employed,"Female, aged 45, is Employed and holds High School Degree, residing in a setting shaped by tense, fragile, uncertain themes.",0.2
Female,64,No High School Degree,Employed,"A Female aged 64, possessing No High School Degree and currently Employed, inhabits a reality tinged with secure, rooted, consistently comforting hues.",0.72
Female,50,No High School Degree,Employed,"At 50, this Female holds No High School Degree, is Employed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.1
Male,47,Degree,Unemployed,"A 47-year-old Male, with Degree and Unemployed, reflects the patterns of a chaotic, fragmented, ever-shifting backdrop.",0.12
Female,51,No High School Degree,Unemployed,"At 51, this Female with No High School Degree and Unemployed status weaves through a tense, fragile, uncertain existence painted with contrasting days.",0.25
Male,40,Master,Unemployed,"Male, 40, with Master and Unemployed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.82
Male,43,Degree,Employed,"A 43-year-old Male, with Degree and Employed, reflects the patterns of a chaotic, fragmented, ever-shifting backdrop.",0.1
Female,58,No High School Degree,Employed,"At 58, this Female holds No High School Degree, is Employed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.32
Male,45,High School Degree,Unemployed,"This Male, 45 years old, Unemployed and with High School Degree, lives within a landscape shaped by secure, rooted, consistently comforting currents.",0.68
Male,42,No High School Degree,Unemployed,"At 42, this Male with No High School Degree and Unemployed status weaves through a chaotic, fragmented, ever-shifting existence painted with contrasting days.",0.32
Female,53,High School Degree,Employed,"A 53-year-old Female, with High School Degree and Employed, reflects the patterns of a balanced, steady, moderately routine backdrop.",0.32
Male,58,No High School Degree,Employed,"At 58, this Male with No High School Degree and Employed status weaves through a tense, fragile, uncertain existence painted with contrasting days.",0.2
Female,55,No High School Degree,Unemployed,"A 55-year-old Female, with No High School Degree and Unemployed, reflects the patterns of a balanced, steady, moderately routine backdrop.",0.2
Male,56,Degree,Employed,"A 56-year-old Male, Employed and holding Degree, finds moments of meaning in a world marked by balanced, steady, moderately routine tones.",0.62
Male,44,Degree,Employed,"At 44, this Male with Degree and Employed status weaves through a balanced, steady, moderately routine existence painted with contrasting days.",0.62
Male,40,Degree,Employed,"At 40, this Male with Degree and Employed status weaves through a chaotic, fragmented, ever-shifting existence painted with contrasting days.",0.32
Male,60,No High School Degree,Unemployed,"At 60, this Male with No High School Degree and Unemployed status weaves through a secure, rooted, consistently comforting existence painted with contrasting days.",0.72
Female,47,High School Degree,Unemployed,"A 47-year-old Female, Unemployed and holding High School Degree, finds moments of meaning in a world marked by tense, fragile, uncertain tones.",0.32
Male,48,No High School Degree,Unemployed,"Male, 48, with No High School Degree and Unemployed, moves through days touched by the essence of a chaotic, fragmented, ever-shifting world.",0.12
Female,59,No High School Degree,Unemployed,"A Female aged 59, possessing No High School Degree and currently Unemployed, inhabits a reality tinged with chaotic, fragmented, ever-shifting hues.",0.12
Male,53,No High School Degree,Unemployed,"At 53, this Male holds No High School Degree, is Unemployed, and walks through a life filled with balanced, steady, moderately routine echoes.",0.12
Female,53,No High School Degree,Employed,"Female, 53, with No High School Degree and Employed, moves through days touched by the essence of a balanced, steady, moderately routine world.",0.62
Female,65,High School Degree,Unemployed,"A 65-year-old Female, Unemployed and holding High School Degree, finds moments of meaning in a world marked by chaotic, fragmented, ever-shifting tones.",0.32
Female,45,No High School Degree,Employed,"Female, 45, with No High School Degree and Employed, moves through days touched by the essence of a balanced, steady, moderately routine world.",0.62
Male,56,High School Degree,Unemployed,"With High School Degree and an Unemployed status, this Male, 56, finds their rhythm in a life that feels chaotic, fragmented, ever-shifting.",0.2
Male,50,High School Degree,Employed,"50 years of life shape this Male, who is Employed and has High School Degree, surrounded by a balanced, steady, moderately routine environment.",0.62
Male,51,No High School Degree,Employed,"A Male aged 51, possessing No High School Degree and currently Employed, inhabits a reality tinged with chaotic, fragmented, ever-shifting hues.",0.12
Female,60,No High School Degree,Employed,"With No High School Degree and an Employed status, this Female, 60, finds their rhythm in a life that feels balanced, steady, moderately routine.",0.62
Male,53,No High School Degree,Employed,"With No High School Degree and an Employed status, this Male, 53, finds their rhythm in a life that feels tense, fragile, uncertain.",0.1
Male,53,No High School Degree,Employed,"This Male, 53 years old, Employed and with No High School Degree, lives within a landscape shaped by secure, rooted, consistently comforting currents.",0.72
Female,57,Degree,Employed,"Female, 57, with Degree and Employed, moves through days touched by the essence of a chaotic, fragmented, ever-shifting world.",0.25
Male,47,Master,Unemployed,"With Master and an Unemployed status, this Male, 47, finds their rhythm in a life that feels tense, fragile, uncertain.",0.2
Female,44,No High School Degree,Employed,"At 44, this Female holds No High School Degree, is Employed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.1
Male,42,No High School Degree,Unemployed,"A 42-year-old Male, with No High School Degree and Unemployed, reflects the patterns of a secure, rooted, consistently comforting backdrop.",0.25
Male,36,Degree,Unemployed,"This Male, 36 years old, Unemployed and with Degree, lives within a landscape shaped by secure, rooted, consistently comforting currents.",0.72
Female,64,No High School Degree,Unemployed,"At 64, this Female with No High School Degree and Unemployed status weaves through a tense, fragile, uncertain existence painted with contrasting days.",0.25
Male,42,PhD,Unemployed,"This Male, 42 years old, Unemployed and with PhD, lives within a landscape shaped by balanced, steady, moderately routine currents.",0.32
Female,48,No High School Degree,Unemployed,"At 48, this Female with No High School Degree and Unemployed status weaves through a secure, rooted, consistently comforting existence painted with contrasting days.",0.72
Male,48,High School Degree,Employed,"A 48-year-old Male, Employed and holding High School Degree, finds moments of meaning in a world marked by balanced, steady, moderately routine tones.",0.42
Male,52,Degree,Employed,"Male, 52, with Degree and Employed, moves through days touched by the essence of a balanced, steady, moderately routine world.",0.68
Female,55,High School Degree,Employed,"At 55, this Female holds High School Degree, is Employed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.1
Female,56,High School Degree,Unemployed,"At 56, this Female holds High School Degree, is Unemployed, and walks through a life filled with chaotic, fragmented, ever-shifting echoes.",0.1
Female,45,No High School Degree,Unemployed,"At 45, this Female with No High School Degree and Unemployed status weaves through a secure, rooted, consistently comforting existence painted with contrasting days.",0.72
Male,48,High School Degree,Employed,"Male, 48, with High School Degree and Employed, moves through days touched by the essence of a secure, rooted, consistently comforting world.",0.92
Female,51,High School Degree,Employed,"Female, 51, with High School Degree and Employed, moves through days touched by the essence of a balanced, steady, moderately routine world.",0.68
Male,48,No High School Degree,Unemployed,"A 48-year-old Male, Unemployed and holding No High School Degree, finds moments of meaning in a world marked by tense, fragile, uncertain tones.",0.32
Male,61,High School Degree,Employed,"This Male, 61 years old, Employed and with High School Degree, lives within a landscape shaped by tense, fragile, uncertain currents.",0.1
Female,53,No High School Degree,Unemployed,"A Female aged 53, possessing No High School Degree and currently Unemployed, inhabits a reality tinged with balanced, steady, moderately routine hues.",0.25
