Effect,Estimate,model,scenario,budget
Indirect,0.005782081401783806,gpt_3_5_turbo,s3,200
Spurious,0,gpt_3_5_turbo,s3,200
Total,0.12024925623140567,gpt_3_5_turbo,s3,400
Direct,0.12639004044370516,gpt_3_5_turbo,s3,400
Indirect,0.006036187046753488,gpt_3_5_turbo,s3,400
Spurious,1.0459716554601726e-4,gpt_3_5_turbo,s3,400
Total,0.09212046800520007,gpt_3_5_turbo,s3,600
Direct,0.08668526874952713,gpt_3_5_turbo,s3,600
Indirect,5.770305381915997e-4,gpt_3_5_turbo,s3,600
Spurious,0,gpt_3_5_turbo,s3,600
Total,0.10783973649835306,gpt_3_5_turbo,s3,800
Direct,0.08986287696884059,gpt_3_5_turbo,s3,800
Indirect,0,gpt_3_5_turbo,s3,800
Spurious,0,gpt_3_5_turbo,s3,800
Total,0,gpt_3_5_turbo,s4,100
Direct,0,gpt_3_5_turbo,s4,100
Indirect,0,gpt_3_5_turbo,s4,100
Spurious,0.019351754021157606,gpt_3_5_turbo,s4,100
Total,0,gpt_3_5_turbo,s4,200
Direct,0,gpt_3_5_turbo,s4,200
Indirect,0,gpt_3_5_turbo,s4,200
Spurious,0.008479318244780662,gpt_3_5_turbo,s4,200
Total,0,gpt_3_5_turbo,s4,400
Direct,0,gpt_3_5_turbo,s4,400
Indirect,0,gpt_3_5_turbo,s4,400
Spurious,0,gpt_3_5_turbo,s4,400
Total,0,gpt_3_5_turbo,s4,600
Direct,0,gpt_3_5_turbo,s4,600
Indirect,0,gpt_3_5_turbo,s4,600
Spurious,0.0015395345188932129,gpt_3_5_turbo,s4,600
Total,0,gpt_3_5_turbo,s4,800
Direct,0,gpt_3_5_turbo,s4,800
Indirect,0,gpt_3_5_turbo,s4,800
Spurious,0.003306080350200616,gpt_3_5_turbo,s4,800
Total,0,gpt_3_5_turbo,s5,100
Direct,0,gpt_3_5_turbo,s5,100
Indirect,0.009388532707034963,gpt_3_5_turbo,s5,100
Spurious,0,gpt_3_5_turbo,s5,100
Total,0,gpt_3_5_turbo,s5,200
Direct,0,gpt_3_5_turbo,s5,200
Indirect,0,gpt_3_5_turbo,s5,200
Spurious,0.026654506827078064,gpt_3_5_turbo,s5,200
Total,0,gpt_3_5_turbo,s5,400
Direct,0,gpt_3_5_turbo,s5,400
Indirect,0.0023236712116065927,gpt_3_5_turbo,s5,400
Spurious,0,gpt_3_5_turbo,s5,400
Total,0,gpt_3_5_turbo,s5,600
Direct,0,gpt_3_5_turbo,s5,600
Indirect,0,gpt_3_5_turbo,s5,600
Spurious,9.063192024055002e-4,gpt_3_5_turbo,s5,600
Total,0,gpt_3_5_turbo,s5,800
Direct,0,gpt_3_5_turbo,s5,800
Indirect,0,gpt_3_5_turbo,s5,800
Spurious,1.5670565515556046e-4,gpt_3_5_turbo,s5,800
Total,0.1646,gpt_3_5_turbo,s6,100
Direct,0.14810451844147288,gpt_3_5_turbo,s6,100
Indirect,0.004485362299288489,gpt_3_5_turbo,s6,100
Spurious,0,gpt_3_5_turbo,s6,100
Total,0.15852885288528856,gpt_3_5_turbo,s6,200
Direct,0.16382565537182928,gpt_3_5_turbo,s6,200
Indirect,0,gpt_3_5_turbo,s6,200
Spurious,0.017074452536450357,gpt_3_5_turbo,s6,200
Total,0.16329382938293832,gpt_3_5_turbo,s6,400
Direct,0.16117102639043102,gpt_3_5_turbo,s6,400
Indirect,0.0014729259654687507,gpt_3_5_turbo,s6,400
Spurious,0,gpt_3_5_turbo,s6,400
Total,0.17130957010633452,gpt_3_5_turbo,s6,600
Direct,0.15866294358494343,gpt_3_5_turbo,s6,600
Indirect,0,gpt_3_5_turbo,s6,600
Spurious,0,gpt_3_5_turbo,s6,600
Total,0.1776799229995187,gpt_3_5_turbo,s6,800
Direct,0.17716994184090085,gpt_3_5_turbo,s6,800
Indirect,0,gpt_3_5_turbo,s6,800
Spurious,6.593108154068933e-4,gpt_3_5_turbo,s6,800
Total,0,gpt_3_5_turbo,s7,100
Direct,0,gpt_3_5_turbo,s7,100
Indirect,0,gpt_3_5_turbo,s7,100
Spurious,0,gpt_3_5_turbo,s7,100
Total,0,gpt_3_5_turbo,s7,200
Direct,0,gpt_3_5_turbo,s7,200
Indirect,0,gpt_3_5_turbo,s7,200
Spurious,7.569535123895328e-4,gpt_3_5_turbo,s7,200
Total,0,gpt_3_5_turbo,s7,400
Direct,0,gpt_3_5_turbo,s7,400
Indirect,0.0062460792958977706,gpt_3_5_turbo,s7,400
Spurious,0,gpt_3_5_turbo,s7,400
Total,0,gpt_3_5_turbo,s7,600
Direct,0,gpt_3_5_turbo,s7,600
Indirect,6.557121189038766e-4,gpt_3_5_turbo,s7,600
Spurious,0.0012519177491438847,gpt_3_5_turbo,s7,600
Total,0,gpt_3_5_turbo,s7,800
Direct,0,gpt_3_5_turbo,s7,800
Indirect,0.0019136694333279742,gpt_3_5_turbo,s7,800
Spurious,0.0016256245279466894,gpt_3_5_turbo,s7,800
Total,0.04214743589743583,gpt_3_5_turbo,s8,100
Direct,0.07227968529555975,gpt_3_5_turbo,s8,100
Indirect,0.01803465489384116,gpt_3_5_turbo,s8,100
Spurious,0.01209759450428276,gpt_3_5_turbo,s8,100
Total,0.014491449144914454,gpt_3_5_turbo,s8,200
Direct,0.011919161548284539,gpt_3_5_turbo,s8,200
Indirect,0.0023403491359080017,gpt_3_5_turbo,s8,200
Spurious,0,gpt_3_5_turbo,s8,200
Total,0,gpt_3_5_turbo,s8,400
Direct,0,gpt_3_5_turbo,s8,400
Indirect,0,gpt_3_5_turbo,s8,400
Spurious,7.469700286337169e-4,gpt_3_5_turbo,s8,400
Total,0,gpt_3_5_turbo,s8,600
Direct,0,gpt_3_5_turbo,s8,600
Indirect,0,gpt_3_5_turbo,s8,600
Spurious,0.0022330676607145816,gpt_3_5_turbo,s8,600
Total,0,gpt_3_5_turbo,s8,800
Direct,0,gpt_3_5_turbo,s8,800
Indirect,6.299294603251763e-4,gpt_3_5_turbo,s8,800
Spurious,0.0027813161131805433,gpt_3_5_turbo,s8,800
Total,0,gpt_3_5_turbo,s9,100
Direct,0,gpt_3_5_turbo,s9,100
Indirect,0,gpt_3_5_turbo,s9,100
Spurious,0,gpt_3_5_turbo,s9,100
Total,0,gpt_3_5_turbo,s9,200
Direct,0,gpt_3_5_turbo,s9,200
Indirect,0.036175808523925504,gpt_3_5_turbo,s9,200
Spurious,0.004446225502580056,gpt_3_5_turbo,s9,200
Total,0,gpt_3_5_turbo,s9,400
Direct,0,gpt_3_5_turbo,s9,400
Indirect,0.04661551416971504,gpt_3_5_turbo,s9,400
Spurious,0.009616057632206574,gpt_3_5_turbo,s9,400
Total,0,gpt_3_5_turbo,s9,600
Direct,0,gpt_3_5_turbo,s9,600
Indirect,0.05182070615552335,gpt_3_5_turbo,s9,600
Spurious,0,gpt_3_5_turbo,s9,600
Total,0,gpt_3_5_turbo,s9,800
Direct,0,gpt_3_5_turbo,s9,800
Indirect,0.03493266572670426,gpt_3_5_turbo,s9,800
Spurious,0.00433063397504023,gpt_3_5_turbo,s9,800
Total,0,gpt_3_5_turbo,s10,100
Direct,0,gpt_3_5_turbo,s10,100
Indirect,0.009484323251347859,gpt_3_5_turbo,s10,100
Spurious,0.018177759017443333,gpt_3_5_turbo,s10,100
Total,0,gpt_3_5_turbo,s10,200
Direct,0,gpt_3_5_turbo,s10,200
Indirect,0,gpt_3_5_turbo,s10,200
Spurious,0.007175263082242204,gpt_3_5_turbo,s10,200
Total,0,gpt_3_5_turbo,s10,400
Direct,0,gpt_3_5_turbo,s10,400
Indirect,0.004747052237645414,gpt_3_5_turbo,s10,400
Spurious,0,gpt_3_5_turbo,s10,400
Total,0,gpt_3_5_turbo,s10,600
Direct,0,gpt_3_5_turbo,s10,600
Indirect,0.001325017561119178,gpt_3_5_turbo,s10,600
Spurious,0,gpt_3_5_turbo,s10,600
Total,0,gpt_3_5_turbo,s10,800
Direct,0,gpt_3_5_turbo,s10,800
Indirect,0,gpt_3_5_turbo,s10,800
Spurious,0.0037659078767354665,gpt_3_5_turbo,s10,800
Total,0,gpt_3_5_turbo,s11,100
Direct,0,gpt_3_5_turbo,s11,100
Indirect,0,gpt_3_5_turbo,s11,100
Spurious,0,gpt_3_5_turbo,s11,100
Total,0,gpt_3_5_turbo,s11,200
Direct,0,gpt_3_5_turbo,s11,200
Indirect,0,gpt_3_5_turbo,s11,200
Spurious,0.005290319926761124,gpt_3_5_turbo,s11,200
Total,0,gpt_3_5_turbo,s11,400
Direct,0,gpt_3_5_turbo,s11,400
Indirect,0.00132835277946656,gpt_3_5_turbo,s11,400
Spurious,0,gpt_3_5_turbo,s11,400
Total,0,gpt_3_5_turbo,s11,600
Direct,0,gpt_3_5_turbo,s11,600
Indirect,0,gpt_3_5_turbo,s11,600
Spurious,9.827225445662388e-4,gpt_3_5_turbo,s11,600
Total,0,gpt_3_5_turbo,s11,800
Direct,0,gpt_3_5_turbo,s11,800
Indirect,0,gpt_3_5_turbo,s11,800
Spurious,0.0033697858150702627,gpt_3_5_turbo,s11,800
Total,0,gpt_3_5_turbo,s12,100
Direct,0,gpt_3_5_turbo,s12,100
Indirect,0.005306944637394636,gpt_3_5_turbo,s12,100
Spurious,0,gpt_3_5_turbo,s12,100
Total,0,gpt_3_5_turbo,s12,200
Direct,0,gpt_3_5_turbo,s12,200
Indirect,0,gpt_3_5_turbo,s12,200
Spurious,0.020249624113362535,gpt_3_5_turbo,s12,200
Total,0,gpt_3_5_turbo,s12,400
Direct,0,gpt_3_5_turbo,s12,400
Indirect,0.006349373168981998,gpt_3_5_turbo,s12,400
Spurious,0.0072454539206054285,gpt_3_5_turbo,s12,400
Total,0,gpt_3_5_turbo,s12,600
Direct,0,gpt_3_5_turbo,s12,600
Indirect,0,gpt_3_5_turbo,s12,600
Spurious,0.00610178427591875,gpt_3_5_turbo,s12,600
Total,0,gpt_3_5_turbo,s12,800
Direct,0,gpt_3_5_turbo,s12,800
Indirect,7.190762666234057e-4,gpt_3_5_turbo,s12,800
Spurious,0.01896621408498934,gpt_3_5_turbo,s12,800
