component,value,sd,ci_lo,ci_hi,verdict,generator,model,scenario,model_short
IE,-0.0032074159222190168,0.0024288805880676003,-0.007968021874831513,0.0015531900303934793,0,CHATGPT4,gpt_3_5_turbo,s4,gpt35
SE,-1.792446245502691e-4,0.03324259928204676,-0.06533473921736191,0.06497624996826137,0,CHATGPT4,gpt_3_5_turbo,s4,gpt35
TV,-0.06641729010806312,0.04045348134280884,-0.14570611353996843,0.012871533323842207,0,CHATGPT4,gpt_3_5_turbo,s5,gpt35
DE,-0.06819665925728773,0.014963101320518306,-0.0975243378455036,-0.03886898066907185,-,CHATGPT4,gpt_3_5_turbo,s5,gpt35
IE,-6.160404416820261e-4,0.0020221874347072606,-0.004579527813708257,0.003347446930344205,0,CHATGPT4,gpt_3_5_turbo,s5,gpt35
SE,-0.001163328707542572,0.03558154996182467,-0.07090316663271892,0.06857650921763378,0,CHATGPT4,gpt_3_5_turbo,s5,gpt35
TV,0.17668241676510474,0.04012198165442618,0.09804333272242942,0.25532150080778004,+,CHATGPT4,gpt_3_5_turbo,s6,gpt35
DE,0.1708046709265998,0.014878350532653557,0.14164310388259882,0.19996623797060076,+,CHATGPT4,gpt_3_5_turbo,s6,gpt35
IE,-0.004712181363091352,0.0034767741831325623,-0.011526658762031173,0.002102296035848469,0,CHATGPT4,gpt_3_5_turbo,s6,gpt35
SE,-0.0011655644754135798,0.04116579700106637,-0.08185052659750366,0.07951939764667651,0,CHATGPT4,gpt_3_5_turbo,s6,gpt35
TV,-0.01767604797529979,0.0423168634151787,-0.10061710026905003,0.06526500431845046,0,CHATGPT4,gpt_3_5_turbo,s7,gpt35
DE,-0.013224735063361729,0.014993729155001308,-0.04261244420716429,0.01616297408044083,0,CHATGPT4,gpt_3_5_turbo,s7,gpt35
IE,7.831358929191667e-4,0.0026853446582991527,-0.004480139637347173,0.0060464114231855055,0,CHATGPT4,gpt_3_5_turbo,s7,gpt35
SE,0.0036681770190188966,0.0385284665373589,-0.07184761739420455,0.07918397143224233,0,CHATGPT4,gpt_3_5_turbo,s7,gpt35
TV,-0.03863961649760306,0.04022428508041316,-0.11747921525521285,0.040199982260006734,0,CHATGPT4,gpt_3_5_turbo,s8,gpt35
DE,-0.03399896848979656,0.015230411600637471,-0.06385057522704601,-0.004147361752547117,-,CHATGPT4,gpt_3_5_turbo,s8,gpt35
IE,-0.0013919307007681683,0.0011231418136134234,-0.0035932886554504782,8.094272539141416e-4,0,CHATGPT4,gpt_3_5_turbo,s8,gpt35
SE,0.006032578708574664,0.035652475326577934,-0.06384627293151808,0.07591143034866742,0,CHATGPT4,gpt_3_5_turbo,s8,gpt35
TV,-0.07299139369621055,0.04327115064206055,-0.15780284895464924,0.011820061562228132,0,CHATGPT4,gpt_3_5_turbo,s9,gpt35
DE,-0.021007575487967813,0.02093940798618924,-0.062048815140898723,0.0200336641649631,0,CHATGPT4,gpt_3_5_turbo,s9,gpt35
IE,0.04870903187574634,0.01195061416474669,0.025285828112842832,0.07213223563864986,+,CHATGPT4,gpt_3_5_turbo,s9,gpt35
SE,0.0032747863324963915,0.036684854578347546,-0.06862752864106479,0.07517710130605758,0,CHATGPT4,gpt_3_5_turbo,s9,gpt35
TV,-0.04155182219888869,0.04000498465757777,-0.11996159212774113,0.03685794772996374,0,CHATGPT4,gpt_3_5_turbo,s10,gpt35
DE,-0.042159577490993035,0.012869442451341225,-0.06738368469562184,-0.016935470286364235,-,CHATGPT4,gpt_3_5_turbo,s10,gpt35
IE,-0.0021522519438838474,0.003844179020670941,-0.009686842824398892,0.005382338936631197,0,CHATGPT4,gpt_3_5_turbo,s10,gpt35
SE,0.0015444966517795006,0.0355982278011539,-0.06822802983848215,0.07131702314204115,0,CHATGPT4,gpt_3_5_turbo,s10,gpt35
TV,-0.04231026443915269,0.042459247640328185,-0.12553038981419593,0.04090986093589055,0,CHATGPT4,gpt_3_5_turbo,s11,gpt35
DE,-0.03920519258713986,0.015688204823391956,-0.06995407404098809,-0.008456311133291625,-,CHATGPT4,gpt_3_5_turbo,s11,gpt35
IE,0.0013650594257141938,0.0026200370294863946,-0.0037702131520791398,0.006500332003507528,0,CHATGPT4,gpt_3_5_turbo,s11,gpt35
SE,0.0017400124262986355,0.03657090602193348,-0.06993896337669099,0.07341898822928826,0,CHATGPT4,gpt_3_5_turbo,s11,gpt35
TV,-0.17726247101399448,0.041948183047769205,-0.2594809097876221,-0.09504403224036684,-,CHATGPT4,gpt_3_5_turbo,s12,gpt35
DE,-0.17098549732669802,0.014158368215663977,-0.19873589902939942,-0.1432350956239966,-,CHATGPT4,gpt_3_5_turbo,s12,gpt35
IE,-0.004033998557389218,0.0024213264443663216,-0.008779798388347207,7.118012735687724e-4,0,CHATGPT4,gpt_3_5_turbo,s12,gpt35
SE,0.010310972244685706,0.034788405107548506,-0.05787430176610937,0.07849624625548078,0,CHATGPT4,gpt_3_5_turbo,s12,gpt35
TV,-0.02112167576047347,0.025748683546639006,-0.07158909551188591,0.029345743990938984,0,CHATGPT4,llama_3_1_8b_instant,s1,llama8b
DE,-0.023564709881284847,0.008347570942186676,-0.03992594892797073,-0.007203470834598963,-,CHATGPT4,llama_3_1_8b_instant,s1,llama8b
IE,-9.704170696416518e-5,0.002265201331881995,-0.0045368363174528754,0.004342752903524545,0,CHATGPT4,llama_3_1_8b_instant,s1,llama8b
SE,-0.0023459924138472137,0.024386312771705266,-0.05014316544638953,0.04545118061869511,0,CHATGPT4,llama_3_1_8b_instant,s1,llama8b
TV,-0.17737275221731216,0.03311086423489962,-0.2422700461177154,-0.11247545831690892,-,CHATGPT4,llama_3_1_8b_instant,s2,llama8b
DE,-0.1604461552235441,0.013838575914395308,-0.18756976401575892,-0.1333225464313293,-,CHATGPT4,llama_3_1_8b_instant,s2,llama8b
IE,0.0045623730729038095,0.0029621056190513766,-0.001243353940436889,0.010368100086244508,0,CHATGPT4,llama_3_1_8b_instant,s2,llama8b
SE,0.01236422392086427,0.02747732729515879,-0.04149133757764696,0.0662197854193755,0,CHATGPT4,llama_3_1_8b_instant,s2,llama8b
TV,0.05139249620310123,0.031184906142779183,-0.00972991983674596,0.11251491224294843,0,CHATGPT4,llama_3_1_8b_instant,s3,llama8b
DE,0.03427973280275173,0.014280985871487784,0.006289000494635676,0.06227046511086779,+,CHATGPT4,llama_3_1_8b_instant,s3,llama8b
IE,-0.00868623597835805,0.0032506108771437284,-0.015057433297559757,-0.0023150386591563417,-,CHATGPT4,llama_3_1_8b_instant,s3,llama8b
SE,-0.008426527421991452,0.031912441392348605,-0.07097491255099472,0.05412185770701181,0,CHATGPT4,llama_3_1_8b_instant,s3,llama8b
TV,-0.03338315905269666,0.03442311010182945,-0.10085245485228238,0.034086136746889054,0,CHATGPT4,llama_3_1_8b_instant,s4,llama8b
DE,-0.0305931173445275,0.015242587299784043,-0.06046858845210422,-7.176462369507773e-4,-,CHATGPT4,llama_3_1_8b_instant,s4,llama8b
IE,0.0030452479079941647,0.0023650600840937775,-0.001590269856829639,0.007680765672817969,0,CHATGPT4,llama_3_1_8b_instant,s4,llama8b
SE,-2.552061998250007e-4,0.03347849588052574,-0.06587305812565544,0.06536264572600545,0,CHATGPT4,llama_3_1_8b_instant,s4,llama8b
TV,-0.11082712391952444,0.03538553890043935,-0.18018278016438555,-0.04147146767466332,-,CHATGPT4,llama_3_1_8b_instant,s5,llama8b
DE,-0.1116851832852573,0.011497991342636703,-0.13422124631682525,-0.08914912025368936,-,CHATGPT4,llama_3_1_8b_instant,s5,llama8b
IE,-0.0013030311332690593,0.002951696309242672,-0.007088355899384696,0.004482293632846577,0,CHATGPT4,llama_3_1_8b_instant,s5,llama8b
SE,4.4497176753620804e-4,0.03136824896553039,-0.061036796204903356,0.06192673973997578,0,CHATGPT4,llama_3_1_8b_instant,s5,llama8b
TV,-0.07240742129638314,0.030175022078682338,-0.13155046457060052,-0.013264378022165756,-,CHATGPT4,llama_3_1_8b_instant,s6,llama8b
DE,-0.0763608583693794,0.007552193841296007,-0.09116315829831959,-0.06155855844043923,-,CHATGPT4,llama_3_1_8b_instant,s6,llama8b
IE,-1.529170300502684e-4,0.0015130301010223514,-0.003118456028054077,0.00281262196795354,0,CHATGPT4,llama_3_1_8b_instant,s6,llama8b
SE,-0.00380052004294601,0.027888763328240418,-0.05846249616629723,0.05086145608040521,0,CHATGPT4,llama_3_1_8b_instant,s6,llama8b
TV,0.0022664451640224664,0.0012925100293375835,-2.6687449347919745e-4,0.00479976482152413,0,CHATGPT4,llama_3_1_8b_instant,s7,llama8b
DE,0.002534892298860028,0.001607796116274391,-6.163880890377787e-4,0.005686172686757834,0,CHATGPT4,llama_3_1_8b_instant,s7,llama8b
IE,5.561441072403654e-4,0.0010003782424147635,-0.0014045972478925709,0.002516885462373302,0,CHATGPT4,llama_3_1_8b_instant,s7,llama8b
SE,-2.8769697240280394e-4,0.0012085758241057979,-0.002656505587650168,0.0020811116428445598,0,CHATGPT4,llama_3_1_8b_instant,s7,llama8b
TV,-0.05984053025331404,0.03079889430276862,-0.12020636308674054,5.253025801124564e-4,0,CHATGPT4,llama_3_1_8b_instant,s8,llama8b
DE,-0.06379498451019232,0.015068076320953108,-0.0933284140992604,-0.03426155492112423,-,CHATGPT4,llama_3_1_8b_instant,s8,llama8b
IE,-0.007647568078769415,0.0029241319638378714,-0.013378866727891642,-0.0019162694296471867,-,CHATGPT4,llama_3_1_8b_instant,s8,llama8b
SE,0.0036931138218911433,0.02833529096680442,-0.05184405647304552,0.059230284116827805,0,CHATGPT4,llama_3_1_8b_instant,s8,llama8b
TV,-0.06250679129244553,0.04022815645405189,-0.14135397794238724,0.016340395357496165,0,CHATGPT4,llama_3_1_8b_instant,s9,llama8b
DE,-0.01775984235867332,0.01920684243570774,-0.05540525353266049,0.019885568815313847,0,CHATGPT4,llama_3_1_8b_instant,s9,llama8b
IE,0.04233736708452613,0.010495925338585356,0.021765353420898834,0.06290938074815343,+,CHATGPT4,llama_3_1_8b_instant,s9,llama8b
SE,0.0024095818492460724,0.03543634746022682,-0.0670456591727985,0.07186482287129065,0,CHATGPT4,llama_3_1_8b_instant,s9,llama8b
TV,-0.02112167576047347,0.025748683546639006,-0.07158909551188591,0.029345743990938984,0,CHATGPT4,llama_3_1_8b_instant,s10,llama8b
DE,-0.025221429006584268,0.008293307802195057,-0.04147631229888658,-0.008966545714281956,-,CHATGPT4,llama_3_1_8b_instant,s10,llama8b
IE,-0.0021119571699600615,0.002421352748219966,-0.006857808556471194,0.0026338942165510713,0,CHATGPT4,llama_3_1_8b_instant,s10,llama8b
SE,-0.0019877960761507394,0.024685193670633657,-0.050370775670592706,0.04639518351829123,0,CHATGPT4,llama_3_1_8b_instant,s10,llama8b
TV,-0.05815585097406854,0.03620403948257819,-0.1291157683599218,0.01280406641178472,0,CHATGPT4,llama_3_1_8b_instant,s11,llama8b
DE,-0.06176665686140745,0.016229574362080154,-0.09357662261108454,-0.029956691111730348,-,CHATGPT4,llama_3_1_8b_instant,s11,llama8b
IE,1.8595773928211198e-5,0.002617690985146833,-0.005112078556959581,0.005149270104816003,0,CHATGPT4,llama_3_1_8b_instant,s11,llama8b
SE,-0.003629401661267115,0.033554418419984904,-0.06939606176443752,0.06213725844190329,0,CHATGPT4,llama_3_1_8b_instant,s11,llama8b
TV,-0.13743454944340613,0.032089342377459966,-0.20032966050322765,-0.07453943838358461,-,CHATGPT4,llama_3_1_8b_instant,s12,llama8b
DE,-0.12482602925695659,0.014382421669901708,-0.15301557572996394,-0.09663648278394923,-,CHATGPT4,llama_3_1_8b_instant,s12,llama8b
IE,-7.858225203194015e-4,0.0023217130351031153,-0.005336380069121507,0.003764735028482704,0,CHATGPT4,llama_3_1_8b_instant,s12,llama8b
SE,0.013394342706768963,0.028167512921527922,-0.04181398261942576,0.06860266803296369,0,CHATGPT4,llama_3_1_8b_instant,s12,llama8b
TV,-0.054364761288032255,0.04137272819297409,-0.13545530854626148,0.02672578597019696,0,CHATGPT4,siebert_sentiment_roberta_large_english,s1,siebert
DE,-0.05102514625118246,0.03286146816399283,-0.1154336238526084,0.013383331350243485,0,CHATGPT4,siebert_sentiment_roberta_large_english,s1,siebert
IE,-0.006558715555767608,0.007046069937801543,-0.02036901263385863,0.007251581522323416,0,CHATGPT4,siebert_sentiment_roberta_large_english,s1,siebert
SE,0.009898330592617414,0.02955003457408213,-0.04801973717258355,0.06781639835781839,0,CHATGPT4,siebert_sentiment_roberta_large_english,s1,siebert
TV,-0.23214129065748393,0.042215686119085785,-0.31488403545089205,-0.1493985458640758,-,CHATGPT4,siebert_sentiment_roberta_large_english,s2,siebert
DE,-0.2436188691477606,0.031558116949825646,-0.3054727783694189,-0.18176495992610234,-,CHATGPT4,siebert_sentiment_roberta_large_english,s2,siebert
IE,0.0031476252369209154,0.010319703007698782,-0.017078992658168698,0.023374243132010527,0,CHATGPT4,siebert_sentiment_roberta_large_english,s2,siebert
SE,-0.014625203727197581,0.028159037034583497,-0.06981691631498123,0.04056650886058607,0,CHATGPT4,siebert_sentiment_roberta_large_english,s2,siebert
TV,0.08532467546546561,0.038458794486531854,0.009945438271863186,0.16070391265906803,+,CHATGPT4,siebert_sentiment_roberta_large_english,s3,siebert
DE,0.07197835337532375,0.03385187003205233,0.005628688112501182,0.1383280186381463,+,CHATGPT4,siebert_sentiment_roberta_large_english,s3,siebert
IE,-0.002276796960386926,0.010797009002381805,-0.023438934605055264,0.01888534068428141,0,CHATGPT4,siebert_sentiment_roberta_large_english,s3,siebert
SE,-0.011069525129754933,0.03180554079510285,-0.07340838508815653,0.05126933482864666,0,CHATGPT4,siebert_sentiment_roberta_large_english,s3,siebert
TV,-0.21657797173182708,0.04473083351698534,-0.30425040542511833,-0.12890553803853583,-,CHATGPT4,siebert_sentiment_roberta_large_english,s4,siebert
DE,-0.2180969249852435,0.03251995252169528,-0.28183603192776624,-0.15435781804272075,-,CHATGPT4,siebert_sentiment_roberta_large_english,s4,siebert
IE,0.0024100748192548687,0.0045848963190553505,-0.006576321966093618,0.011396471604603355,0,CHATGPT4,siebert_sentiment_roberta_large_english,s4,siebert
SE,-0.003929028072671284,0.030360205094155178,-0.06343503005721543,0.055576973911872864,0,CHATGPT4,siebert_sentiment_roberta_large_english,s4,siebert
TV,-0.18058103364060182,0.05399932644741497,-0.28641971347753514,-0.07474235380366848,-,CHATGPT4,siebert_sentiment_roberta_large_english,s5,siebert
DE,-0.17741296177745025,0.03419082124559345,-0.24442697141881342,-0.11039895213608708,-,CHATGPT4,siebert_sentiment_roberta_large_english,s5,siebert
IE,0.007436459229142771,0.005027491806200382,-0.002417424711009977,0.017290343169295518,0,CHATGPT4,siebert_sentiment_roberta_large_english,s5,siebert
SE,-0.004268387365991197,0.035729486908543356,-0.07429818170673617,0.06576140697475379,0,CHATGPT4,siebert_sentiment_roberta_large_english,s5,siebert
TV,-0.4386211132783514,0.029176697007957844,-0.4958074394139488,-0.38143478714275403,-,CHATGPT4,siebert_sentiment_roberta_large_english,s6,siebert
DE,-0.4263814830497206,0.026886363459582417,-0.47907875543050216,-0.3736842106689391,-,CHATGPT4,siebert_sentiment_roberta_large_english,s6,siebert
IE,0.007391922354308475,0.011079296028301761,-0.014323497861162977,0.029107342569779926,0,CHATGPT4,siebert_sentiment_roberta_large_english,s6,siebert
SE,0.004847707874322286,0.006818201618183462,-0.0085159672973173,0.01821138304596187,0,CHATGPT4,siebert_sentiment_roberta_large_english,s6,siebert
TV,-0.6693313744634615,0.035851150605480005,-0.7395996296502023,-0.5990631192767206,-,CHATGPT4,siebert_sentiment_roberta_large_english,s7,siebert
DE,-0.6484438855011633,0.030939117552803694,-0.7090845559046585,-0.5878032150976681,-,CHATGPT4,siebert_sentiment_roberta_large_english,s7,siebert
IE,0.027304652843701177,0.020068832022647358,-0.012030257920687647,0.06663956360809001,0,CHATGPT4,siebert_sentiment_roberta_large_english,s7,siebert
SE,-0.006417163881402885,0.010643556178358845,-0.02727853399098622,0.014444206228180451,0,CHATGPT4,siebert_sentiment_roberta_large_english,s7,siebert
TV,-0.37153311336149963,0.04232259475669388,-0.4544853990846196,-0.28858082763837967,-,CHATGPT4,siebert_sentiment_roberta_large_english,s8,siebert
DE,-0.36598431901839945,0.03198888326342337,-0.42868253021470926,-0.30328610782208965,-,CHATGPT4,siebert_sentiment_roberta_large_english,s8,siebert
IE,0.015127295007939079,0.007383895425009118,6.548599749212087e-4,0.02959973004095695,+,CHATGPT4,siebert_sentiment_roberta_large_english,s8,siebert
SE,-0.009578500664838906,0.023269886214964196,-0.05518747764616873,0.03603047631649092,0,CHATGPT4,siebert_sentiment_roberta_large_english,s8,siebert
TV,-0.24644812701789515,0.03991197153593474,-0.32467559122832723,-0.16822066280746306,-,CHATGPT4,siebert_sentiment_roberta_large_english,s9,siebert
DE,-0.17181766262064702,0.042282638205271686,-0.2546916335029795,-0.08894369173831451,-,CHATGPT4,siebert_sentiment_roberta_large_english,s9,siebert
IE,0.06018152842899962,0.022209658470805964,0.01665059782621993,0.10371245903177931,+,CHATGPT4,siebert_sentiment_roberta_large_english,s9,siebert
SE,0.014448935968248517,0.022465361817281045,-0.02958317319362233,0.05848104513011937,0,CHATGPT4,siebert_sentiment_roberta_large_english,s9,siebert
TV,-0.12027690201315355,0.050192253334405176,-0.2186537185485877,-0.021900085477719405,-,CHATGPT4,siebert_sentiment_roberta_large_english,s10,siebert
DE,-0.15301947334534702,0.03459823040258445,-0.22083200493441255,-0.08520694175628149,-,CHATGPT4,siebert_sentiment_roberta_large_english,s10,siebert
IE,-0.026536763294340848,0.010636074458672604,-0.04738346923333915,-0.005690057355342545,-,CHATGPT4,siebert_sentiment_roberta_large_english,s10,siebert
SE,-0.006205808037852625,0.03518260917804099,-0.07516372202681297,0.06275210595110771,0,CHATGPT4,siebert_sentiment_roberta_large_english,s10,siebert
TV,-0.3014974398083527,0.04468392933058563,-0.3890779412963005,-0.21391693832040487,-,CHATGPT4,siebert_sentiment_roberta_large_english,s11,siebert
DE,-0.2921442242993316,0.030855762381664993,-0.352621518567395,-0.23166693003126823,-,CHATGPT4,siebert_sentiment_roberta_large_english,s11,siebert
IE,0.0024328871297950097,0.011492278612430499,-0.020091978950568766,0.024957753210158785,0,CHATGPT4,siebert_sentiment_roberta_large_english,s11,siebert
SE,0.006920328379226079,0.03030468196196903,-0.052476848266233216,0.06631750502468538,0,CHATGPT4,siebert_sentiment_roberta_large_english,s11,siebert
TV,-0.18085066606610403,0.04834288380148312,-0.27560271831701094,-0.08609861381519712,-,CHATGPT4,siebert_sentiment_roberta_large_english,s12,siebert
DE,-0.1835234556937863,0.033566758119051646,-0.24931430160712753,-0.11773260978044509,-,CHATGPT4,siebert_sentiment_roberta_large_english,s12,siebert
IE,0.005663559076801284,0.00759540600559731,-0.009223436694169442,0.02055055484777201,0,CHATGPT4,siebert_sentiment_roberta_large_english,s12,siebert
SE,-0.008336348704483566,0.03412437050273598,-0.07522011488984608,0.05854741748087895,0,CHATGPT4,siebert_sentiment_roberta_large_english,s12,siebert
TV,-0.008770992318701935,0.04316198774886712,-0.09336848830648148,0.07582650366907762,0,GEMINIPRO,gpt_3_5_turbo,s1,gpt35
DE,-0.004843355186087307,0.015130094277791618,-0.03449833997055888,0.024811629598384264,0,GEMINIPRO,gpt_3_5_turbo,s1,gpt35
IE,0.003791296263542083,0.0058607972016170755,-0.007695866251627385,0.015278458778711552,0,GEMINIPRO,gpt_3_5_turbo,s1,gpt35
SE,1.3634086907254465e-4,0.038203115460573,-0.07474176543365053,0.07501444717179563,0,GEMINIPRO,gpt_3_5_turbo,s1,gpt35
TV,-0.20607190404460246,0.04117669652213916,-0.28677822922799523,-0.12536557886120972,-,GEMINIPRO,gpt_3_5_turbo,s2,gpt35
DE,-0.19224816423422317,0.016194270787600887,-0.2239889349779209,-0.16050739349052542,-,GEMINIPRO,gpt_3_5_turbo,s2,gpt35
IE,0.0013863179219925487,0.003306655565857056,-0.005094726987087281,0.007867362831072379,0,GEMINIPRO,gpt_3_5_turbo,s2,gpt35
SE,0.01243742188838675,0.03387555515361585,-0.05395866621270031,0.0788335099894738,0,GEMINIPRO,gpt_3_5_turbo,s2,gpt35
TV,0.14017056356602223,0.042016931180213775,0.05781737845280323,0.22252374867924124,+,GEMINIPRO,gpt_3_5_turbo,s3,gpt35
DE,0.12991852902653894,0.014831847659266078,0.10084810761437743,0.15898895043870045,+,GEMINIPRO,gpt_3_5_turbo,s3,gpt35
IE,-0.0024326907228374313,0.00436864701763812,-0.010995238877408147,0.0061298574317332835,0,GEMINIPRO,gpt_3_5_turbo,s3,gpt35
SE,-0.007819343816645863,0.04104515215754498,-0.08826784204543403,0.0726291544121423,0,GEMINIPRO,gpt_3_5_turbo,s3,gpt35
TV,-0.23956972579707603,0.04096518144369884,-0.31986148142672577,-0.15927797016742629,-,GEMINIPRO,gpt_3_5_turbo,s4,gpt35
DE,-0.24124585162587733,0.01608861765796614,-0.27277954223549095,-0.2097121610162637,-,GEMINIPRO,gpt_3_5_turbo,s4,gpt35
IE,-0.0027914925783341493,0.002623631158309773,-0.007933809648621304,0.0023508244919530057,0,GEMINIPRO,gpt_3_5_turbo,s4,gpt35
SE,0.0011153667495328542,0.03156464361085631,-0.06075133472774552,0.06298206822681122,0,GEMINIPRO,gpt_3_5_turbo,s4,gpt35
TV,-0.008463177894861784,0.044396622755194626,-0.09548055849504325,0.07855420270531968,0,GEMINIPRO,gpt_3_5_turbo,s5,gpt35
DE,-0.005610745239965268,0.015273646526300892,-0.035547092431515014,0.02432560195158448,0,GEMINIPRO,gpt_3_5_turbo,s5,gpt35
IE,0.002424516918393957,0.003497704158066872,-0.004430983231417112,0.009280017068205026,0,GEMINIPRO,gpt_3_5_turbo,s5,gpt35
SE,4.279157365025594e-4,0.04108216645657336,-0.08009313051838123,0.08094896199138633,0,GEMINIPRO,gpt_3_5_turbo,s5,gpt35
TV,0.121931074569216,0.04200610584680653,0.0395991071094752,0.2042630420289568,+,GEMINIPRO,gpt_3_5_turbo,s6,gpt35
DE,0.12093547291899667,0.01401922508044729,0.09345779176131999,0.14841315407667335,+,GEMINIPRO,gpt_3_5_turbo,s6,gpt35
IE,-5.576987583147975e-4,0.0025739125154617694,-0.005602567288619866,0.00448716977199027,0,GEMINIPRO,gpt_3_5_turbo,s6,gpt35
SE,-4.3790289190453807e-4,0.04150057203502985,-0.08177902408056303,0.08090321829675395,0,GEMINIPRO,gpt_3_5_turbo,s6,gpt35
TV,-0.03472209201307502,0.044526924731406375,-0.12199486448663152,0.052550680460481475,0,GEMINIPRO,gpt_3_5_turbo,s7,gpt35
DE,-0.03184026415397208,0.014774355763938917,-0.060798001451292355,-0.0028825268566518014,-,GEMINIPRO,gpt_3_5_turbo,s7,gpt35
IE,0.006447534311291244,0.00341441250021409,-2.4471418912837273e-4,0.013139782811710861,0,GEMINIPRO,gpt_3_5_turbo,s7,gpt35
SE,-0.0035657064521882977,0.039972764645233326,-0.08191232515684561,0.07478091225246901,0,GEMINIPRO,gpt_3_5_turbo,s7,gpt35
TV,-0.029010806317539425,0.04476098780547306,-0.11674234241626662,0.05872072978118777,0,GEMINIPRO,gpt_3_5_turbo,s8,gpt35
DE,-0.030875036259679686,0.014903532346308389,-0.06008595965844413,-0.0016641128609152442,-,GEMINIPRO,gpt_3_5_turbo,s8,gpt35
IE,-0.003259466948700174,0.0021630973145896296,-0.007499137685295848,9.802037878955004e-4,0,GEMINIPRO,gpt_3_5_turbo,s8,gpt35
SE,0.0013952370065599094,0.03975839242926564,-0.07653121215480074,0.07932168616792057,0,GEMINIPRO,gpt_3_5_turbo,s8,gpt35
TV,-0.04122838267739167,0.0445194065037886,-0.1284864194248173,0.046029654070033975,0,GEMINIPRO,gpt_3_5_turbo,s9,gpt35
DE,-0.004640875507220889,0.021031577125027272,-0.04586276667227434,0.03658101565783257,0,GEMINIPRO,gpt_3_5_turbo,s9,gpt35
IE,0.039315555925632836,0.012390437252961597,0.015030298909828106,0.06360081294143757,+,GEMINIPRO,gpt_3_5_turbo,s9,gpt35
SE,-0.002728048755462054,0.03933188213901566,-0.07981853774793274,0.07436244023700864,0,GEMINIPRO,gpt_3_5_turbo,s9,gpt35
TV,-0.008770992318701935,0.04316198774886712,-0.09336848830648148,0.07582650366907762,0,GEMINIPRO,gpt_3_5_turbo,s10,gpt35
DE,-0.01560830617287712,0.014709394112603826,-0.04443871863358062,0.01322210628782638,0,GEMINIPRO,gpt_3_5_turbo,s10,gpt35
IE,-0.009172535449482105,0.004703060184867557,-0.018390533411822518,4.546251285830749e-5,0,GEMINIPRO,gpt_3_5_turbo,s10,gpt35
SE,0.002335221595306922,0.038718293325744134,-0.07355263332315157,0.07822307651376542,0,GEMINIPRO,gpt_3_5_turbo,s10,gpt35
TV,-0.009161307258170305,0.04397172279998881,-0.09534588394614837,0.07702326942980775,0,GEMINIPRO,gpt_3_5_turbo,s11,gpt35
DE,-0.006359154648489995,0.015792801323873125,-0.03731304524328132,0.02459473594630133,0,GEMINIPRO,gpt_3_5_turbo,s11,gpt35
IE,-0.003400016974319999,0.002454874893237707,-0.008211571765065904,0.0014115378164259065,0,GEMINIPRO,gpt_3_5_turbo,s11,gpt35
SE,0.006202169584000313,0.039597627547229876,-0.07140918040857024,0.08381351957657086,0,GEMINIPRO,gpt_3_5_turbo,s11,gpt35
TV,-0.20031470520216757,0.04258755090314508,-0.2837863049723319,-0.11684310543200321,-,GEMINIPRO,gpt_3_5_turbo,s12,gpt35
DE,-0.19590831820617952,0.017288072230666033,-0.22979293977828494,-0.1620236966340741,-,GEMINIPRO,gpt_3_5_turbo,s12,gpt35
