component,value,sd,ci_lo,ci_hi,verdict,model,scenario,dag,dag_desc,Z_set,W_set
TV,-0.033749803027431725,0.01592924366394657,-0.064971120608767,-0.0025284854460964484,-,distilbert_base_uncased_finetuned_sst2_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,-0.033749803027431725,0.01592924366394657,-0.064971120608767,-0.0025284854460964484,-,distilbert_base_uncased_finetuned_sst2_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,-0.032919915417384184,0.009479844114820923,-0.05150040988243319,-0.014339420952335175,-,distilbert_base_uncased_finetuned_sst2_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,-0.03434833170407224,0.00913720443804,-0.05225725240263064,-0.01643941100551384,-,distilbert_base_uncased_finetuned_sst2_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,-0.002996292775170901,0.0016311378109048367,-0.006193322884544381,2.0073733420257912e-4,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,-5.9852867664052e-4,0.012618237373473737,-0.025330273928649043,0.024133216575368006,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,0.0038261803852184455,0.012563793363063139,-0.020798854606385305,0.028451215376822197,0,distilbert_base_uncased_finetuned_sst2_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,5.64123942871364e-18,9.53821159206571e-19,3.771749956668761e-18,7.51072890075852e-18,+,distilbert_base_uncased_finetuned_sst2_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
TV,0.07027475539913566,0.008098705507258528,0.054401292604908946,0.08614821819336238,+,gemma2_9b_it,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,0.07027475539913566,0.008098705507258528,0.054401292604908946,0.08614821819336238,+,gemma2_9b_it,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,0.06855640392059212,0.00424925654676665,0.06022786108892948,0.07688494675225475,+,gemma2_9b_it,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,0.06716189392351489,0.004138744806738243,0.059049954102307935,0.07527383374472185,+,gemma2_9b_it,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,-0.0041608157056050735,0.001302726694138293,-0.006714160026116128,-0.0016074713850940192,-,gemma2_9b_it,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,-0.0031128614756207574,0.007713697832386685,-0.018231709227098658,0.012005986275857144,0,gemma2_9b_it,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,0.0024424642270615385,0.007898289955281567,-0.013038184085290332,0.017923112539413408,0,gemma2_9b_it,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,-7.32342427441542e-18,5.494083665273559e-19,-8.400264672809037e-18,-6.246583876021803e-18,-,gemma2_9b_it,ALL,G2,remove confounder Age,(none),Prior.Convictions
TV,-0.05154946982602077,0.011974022867580758,-0.07501855464647905,-0.028080385005562487,-,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,-0.05154946982602077,0.011974022867580758,-0.07501855464647905,-0.028080385005562487,-,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,-0.05006575281343624,0.004295547585077911,-0.05848502608018895,-0.04164647954668353,-,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,-0.05168818575034632,0.004165044143271438,-0.059851672271158333,-0.0435246992295343,-,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,-0.001987960577823432,7.774560479377891e-4,-0.003511774431781498,-4.6414672386536535e-4,-,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,-1.3871592432553623e-4,0.010738632323372403,-0.02118643527813545,0.020909003429484374,0,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,0.003471677590407964,0.010696363365156326,-0.017493194605298433,0.024436549786114363,0,gpt_3_5_turbo,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,-4.608582034511718e-18,5.001572680416619e-19,-5.588890279873375e-18,-3.62827378915006e-18,-,gpt_3_5_turbo,ALL,G2,remove confounder Age,(none),Prior.Convictions
TV,-0.0226982397209999,0.012246065988404784,-0.04670052905827328,0.0013040496162734748,0,llama3_70b,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,-0.0226982397209999,0.012246065988404784,-0.04670052905827328,0.0013040496162734748,0,llama3_70b,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,-0.021802175149883626,0.0052938724443138685,-0.032178165140738804,-0.011426185159028445,-,llama3_70b,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,-0.024059597014586813,0.00513029628168681,-0.03411497772669296,-0.014004216302480665,-,llama3_70b,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,-0.0018925349017134667,0.0014041519146237192,-0.004644672654375956,8.596028509490229e-4,0,llama3_70b,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,-0.001361357293586924,0.010877080633955712,-0.022680435336140118,0.019957720748966273,0,llama3_70b,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,0.0027885994728297425,0.010872006159109078,-0.01852053259902405,0.024097731544683535,0,llama3_70b,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,1.1923332691547254e-17,8.761353679875789e-19,1.02061073702916e-17,1.3640558012802908e-17,+,llama3_70b,ALL,G2,remove confounder Age,(none),Prior.Convictions
TV,-0.058615331806375556,0.00901253961550973,-0.07627990945277463,-0.04095075415997648,-,llama_3_1_8b_instant,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,-0.058615331806375556,0.00901253961550973,-0.07627990945277463,-0.04095075415997648,-,llama_3_1_8b_instant,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,-0.06090326367861267,0.004576491694177141,-0.06987318739919987,-0.05193333995802547,-,llama_3_1_8b_instant,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,-0.05982295421395161,0.004422106591898683,-0.06849028313407303,-0.05115562529383019,-,llama_3_1_8b_instant,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,-0.001364029368959974,6.283873786086454e-4,-0.0025956686310329193,-1.3239010688702898e-4,-,llama_3_1_8b_instant,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,-0.0012076224075760595,0.007276218754157851,-0.015469011165725447,0.013053766350573327,0,llama_3_1_8b_instant,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,-9.239025032771445e-4,0.007575975365555786,-0.015772814219766482,0.013925009213212195,0,llama_3_1_8b_instant,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,6.617970060851519e-18,2.865393490223901e-19,6.056352936767634e-18,7.179587184935403e-18,+,llama_3_1_8b_instant,ALL,G2,remove confounder Age,(none),Prior.Convictions
TV,-0.24381159660820267,0.012566143170123445,-0.26844123722164465,-0.21918195599476073,-,siebert_sentiment_roberta_large_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,-0.24381159660820267,0.012566143170123445,-0.26844123722164465,-0.21918195599476073,-,siebert_sentiment_roberta_large_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,-0.23832677150932702,0.00946903225602911,-0.25688607473114405,-0.21976746828750995,-,siebert_sentiment_roberta_large_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,-0.23117227113336222,0.009305169554303001,-0.2494104034597961,-0.21293413880692835,-,siebert_sentiment_roberta_large_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,0.014123564135489456,0.0024761476658345678,0.009270314710453705,0.018976813560525208,+,siebert_sentiment_roberta_large_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,0.012639325474840446,0.006710606020291844,-5.13462324931567e-4,0.02579211327461246,0,siebert_sentiment_roberta_large_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,-0.008638739036613798,0.0070911158956279766,-0.022537326192044634,0.005259848118817035,0,siebert_sentiment_roberta_large_english,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,2.071323075443036e-18,5.064986231439812e-19,1.078585774080833e-18,3.0640603768052393e-18,+,siebert_sentiment_roberta_large_english,ALL,G2,remove confounder Age,(none),Prior.Convictions
TV,0.025848031964073946,0.01691000401937291,-0.007295575913896957,0.05899163984204485,0,textattack_bert_base_uncased_SST_2,ALL,G0,baseline (full graph),Age,Prior.Convictions
TV,0.025848031964073946,0.01691000401937291,-0.007295575913896957,0.05899163984204485,0,textattack_bert_base_uncased_SST_2,ALL,G2,remove confounder Age,(none),Prior.Convictions
DE,0.029528687233101553,0.007513632224448653,0.014801968073182193,0.04425540639302091,+,textattack_bert_base_uncased_SST_2,ALL,G0,baseline (full graph),Age,Prior.Convictions
DE,0.028150445300006405,0.007340301887201711,0.013763453601091052,0.042537436998921756,+,textattack_bert_base_uncased_SST_2,ALL,G2,remove confounder Age,(none),Prior.Convictions
IE,0.0024418599373287725,0.0016124368164213787,-7.185162228571297e-4,0.005602236097514675,0,textattack_bert_base_uncased_SST_2,ALL,G0,baseline (full graph),Age,Prior.Convictions
IE,0.002302413335932465,0.01557814001971903,-0.028230741102716832,0.03283556777458176,0,textattack_bert_base_uncased_SST_2,ALL,G2,remove confounder Age,(none),Prior.Convictions
SE,0.0012387953316988283,0.015368385868540549,-0.028883240970640645,0.0313608316340383,0,textattack_bert_base_uncased_SST_2,ALL,G0,baseline (full graph),Age,Prior.Convictions
SE,-1.0206498551416458e-17,9.187598608360423e-19,-1.2007267878655101e-17,-8.405729224177815e-18,-,textattack_bert_base_uncased_SST_2,ALL,G2,remove confounder Age,(none),Prior.Convictions
