Race,Age,Prior Convictions,Sentence,sentiment_score_positivo
White-Caucasian,41,Many priors,A 41-year-old White-Caucasian with Many priors walks a tightrope stretched over uncertain days.,0.2
White-Caucasian,49,No prior convictions,"This White-Caucasian, 49 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
Non-White,40,No prior convictions,"This 40-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
White-Caucasian,47,Some priors,"At 47, this White-Caucasian with Some priors lives among shifting sands and unanchored hours.",0.12
White-Caucasian,58,No prior convictions,"This 58-year-old White-Caucasian, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.63
Non-White,56,No prior convictions,"A Non-White of 56, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,58,Some priors,"A White-Caucasian, age 58, with Some priors, stands in the eye of a storm that rarely calms.",0.15
White-Caucasian,41,No prior convictions,"This 41-year-old White-Caucasian, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.32
White-Caucasian,51,No prior convictions,"A White-Caucasian, age 51, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
White-Caucasian,62,No prior convictions,"At 62, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.2
Non-White,46,No prior convictions,"A Non-White, age 46, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,61,No prior convictions,"This 61-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
Non-White,49,No prior convictions,"At 49, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
Non-White,53,Some priors,A 53-year-old Non-White with Some priors walks a tightrope stretched over uncertain days.,0.25
White-Caucasian,51,Many priors,"This 51-year-old White-Caucasian, with Many priors, tries to find direction in the whirlwind of endless transitions.",0.25
Non-White,49,Some priors,"A Non-White of 49, with Some priors, follows a path of routine punctuated by manageable turns.",0.2
Non-White,49,Some priors,"This Non-White, 49 years old with Some priors, balances on fragile ground that might give at any moment.",0.0
White-Caucasian,58,Some priors,"A White-Caucasian, age 58, with Some priors, stands in the eye of a storm that rarely calms.",0.15
Non-White,56,No prior convictions,A 56-year-old Non-White with No prior convictions walks a tightrope stretched over uncertain days.,0.32
White-Caucasian,49,No prior convictions,"At 49, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.15
Non-White,36,Some priors,"A Non-White, age 36, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.68
White-Caucasian,39,No prior convictions,"This White-Caucasian, 39 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
Non-White,51,Some priors,"At 51, this Non-White with Some priors resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,44,Some priors,"This White-Caucasian, 44 years old with Some priors, balances on fragile ground that might give at any moment.",0.1
Non-White,34,Some priors,"At 34, this Non-White with Some priors resides in a space of quiet rituals and mild tempo.",0.32
Non-White,52,No prior convictions,"At 52, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,70,No prior convictions,"This 70-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,45,No prior convictions,"This 45-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
Non-White,53,No prior convictions,"At 53, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
Non-White,46,No prior convictions,"At 46, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
Non-White,45,Some priors,"At 45, this Non-White with Some priors finds peace in days cradled by routine and warmth.",0.68
White-Caucasian,55,No prior convictions,"A White-Caucasian of 55, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
Non-White,43,No prior convictions,"At 43, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
White-Caucasian,55,No prior convictions,"A White-Caucasian, age 55, with No prior convictions, stands in the eye of a storm that rarely calms.",0.2
White-Caucasian,55,No prior convictions,"At 55, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.15
White-Caucasian,49,No prior convictions,"At 49, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.15
White-Caucasian,58,No prior convictions,A 58-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
Non-White,49,No prior convictions,"At 49, this Non-White with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.2
White-Caucasian,46,No prior convictions,A 46-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
Non-White,50,No prior convictions,"A Non-White, age 50, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,45,No prior convictions,"At 45, this White-Caucasian with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.15
White-Caucasian,52,No prior convictions,A 52-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
Non-White,49,Some priors,"At 49, this Non-White with Some priors resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,61,Some priors,"At 61, this White-Caucasian with Some priors lives among shifting sands and unanchored hours.",0.12
White-Caucasian,50,Some priors,"This 50-year-old White-Caucasian, with Some priors, moves gently through a world held together by care and consistency.",0.62
White-Caucasian,54,No prior convictions,"At 54, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.2
Non-White,50,Some priors,"This 50-year-old Non-White, with Some priors, moves gently through a world held together by care and consistency.",0.78
Non-White,57,No prior convictions,"A Non-White, age 57, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,56,Many priors,"At 56, this White-Caucasian with Many priors lives among shifting sands and unanchored hours.",0.12
White-Caucasian,55,No prior convictions,"This 55-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,37,No prior convictions,"A Non-White, age 37, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,40,No prior convictions,"A White-Caucasian of 40, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,45,Some priors,"This 45-year-old White-Caucasian, holding Some priors, moves with a steady rhythm through life’s soft cadence.",0.32
Non-White,43,No prior convictions,"At 43, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
White-Caucasian,52,No prior convictions,"This 52-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
White-Caucasian,51,No prior convictions,"This White-Caucasian, 51 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,57,No prior convictions,"A White-Caucasian, age 57, with No prior convictions, stands in the eye of a storm that rarely calms.",0.2
Non-White,45,Many priors,"This 45-year-old Non-White, with Many priors, moves gently through a world held together by care and consistency.",0.68
Non-White,52,No prior convictions,"A Non-White of 52, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,52,Many priors,"This White-Caucasian, 52 years old with Many priors, balances on fragile ground that might give at any moment.",0.0
White-Caucasian,40,No prior convictions,"A White-Caucasian, age 40, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
Non-White,45,No prior convictions,"This Non-White, 45 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,50,No prior convictions,"This White-Caucasian, 50 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
Non-White,39,No prior convictions,"This 39-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.72
White-Caucasian,52,No prior convictions,"A White-Caucasian of 52, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,56,No prior convictions,"This 56-year-old White-Caucasian, with No prior convictions, moves gently through a world held together by care and consistency.",0.78
White-Caucasian,58,No prior convictions,"This White-Caucasian, 58 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,52,Some priors,"At 52, this White-Caucasian with Some priors lives among shifting sands and unanchored hours.",0.12
Non-White,58,No prior convictions,"A Non-White of 58, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
Non-White,48,Many priors,"This 48-year-old Non-White, with Many priors, moves gently through a world held together by care and consistency.",0.72
White-Caucasian,47,Some priors,"At 47, this White-Caucasian with Some priors resides in a space of quiet rituals and mild tempo.",0.25
Non-White,42,No prior convictions,"A Non-White, age 42, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,47,No prior convictions,A 47-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.25
White-Caucasian,47,No prior convictions,"This 47-year-old White-Caucasian, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.32
Non-White,51,No prior convictions,"At 51, this Non-White with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.2
White-Caucasian,55,Some priors,"This 55-year-old White-Caucasian, with Some priors, tries to find direction in the whirlwind of endless transitions.",0.25
White-Caucasian,53,No prior convictions,"A White-Caucasian, age 53, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
White-Caucasian,57,No prior convictions,"At 57, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.2
White-Caucasian,56,Some priors,"A White-Caucasian of 56, with Some priors, follows a path of routine punctuated by manageable turns.",0.2
White-Caucasian,58,No prior convictions,"At 58, this White-Caucasian with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.15
Non-White,39,Some priors,"This 39-year-old Non-White, holding Some priors, moves with a steady rhythm through life’s soft cadence.",0.62
Non-White,28,No prior convictions,"At 28, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.72
Non-White,59,Some priors,"A Non-White, age 59, with Some priors, stands in the eye of a storm that rarely calms.",0.2
Non-White,41,No prior convictions,"At 41, this Non-White with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.2
Non-White,45,Many priors,"A Non-White, age 45, with Many priors, lives a life nurtured by calm mornings and reliable connections.",0.35
White-Caucasian,44,No prior convictions,"A White-Caucasian, age 44, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
White-Caucasian,41,No prior convictions,"At 41, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.15
White-Caucasian,55,Some priors,A 55-year-old White-Caucasian with Some priors walks a tightrope stretched over uncertain days.,0.25
White-Caucasian,58,No prior convictions,"At 58, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.2
Non-White,41,Some priors,"At 41, this Non-White with Some priors finds peace in days cradled by routine and warmth.",0.62
Non-White,28,No prior convictions,"At 28, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.72
Non-White,44,No prior convictions,"At 44, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,49,Some priors,"This 49-year-old Non-White, with Some priors, moves gently through a world held together by care and consistency.",0.78
Non-White,36,No prior convictions,"A Non-White, age 36, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,54,Some priors,"A Non-White, age 54, with Some priors, stands in the eye of a storm that rarely calms.",0.2
Non-White,45,No prior convictions,"A Non-White, age 45, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,53,No prior convictions,"At 53, this White-Caucasian with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,47,No prior convictions,"This 47-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
Non-White,39,No prior convictions,"A Non-White, age 39, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,60,No prior convictions,A 60-year-old Non-White with No prior convictions walks a tightrope stretched over uncertain days.,0.32
White-Caucasian,52,No prior convictions,"A White-Caucasian, age 52, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
White-Caucasian,52,No prior convictions,"A White-Caucasian, age 52, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
White-Caucasian,44,Many priors,A 44-year-old White-Caucasian with Many priors walks a tightrope stretched over uncertain days.,0.2
Non-White,43,No prior convictions,"A Non-White, age 43, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,40,Some priors,"At 40, this Non-White with Some priors finds peace in days cradled by routine and warmth.",0.68
White-Caucasian,53,Many priors,"A White-Caucasian, age 53, with Many priors, stands in the eye of a storm that rarely calms.",0.1
White-Caucasian,61,No prior convictions,"A White-Caucasian of 61, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,41,No prior convictions,"This White-Caucasian, 41 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
Non-White,41,No prior convictions,"This 41-year-old Non-White, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,64,No prior convictions,"At 64, this Non-White with No prior convictions lives among shifting sands and unanchored hours.",0.2
White-Caucasian,50,Many priors,"At 50, this White-Caucasian with Many priors exists in a world of tentative steps and fleeting certainties.",0.15
Non-White,40,Many priors,"This 40-year-old Non-White, with Many priors, moves gently through a world held together by care and consistency.",0.72
White-Caucasian,59,Many priors,"At 59, this White-Caucasian with Many priors exists in a world of tentative steps and fleeting certainties.",0.12
White-Caucasian,45,No prior convictions,"At 45, this White-Caucasian with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,60,Some priors,"At 60, this Non-White with Some priors resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,56,Some priors,"At 56, this White-Caucasian with Some priors exists in a world of tentative steps and fleeting certainties.",0.2
Non-White,41,No prior convictions,"A Non-White, age 41, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,60,No prior convictions,"A Non-White, age 60, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,48,Some priors,"At 48, this White-Caucasian with Some priors exists in a world of tentative steps and fleeting certainties.",0.12
Non-White,55,No prior convictions,"At 55, this Non-White with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.2
Non-White,54,No prior convictions,"This Non-White, 54 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,61,No prior convictions,"At 61, this White-Caucasian with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.2
White-Caucasian,65,Some priors,"A White-Caucasian, age 65, with Some priors, stands in the eye of a storm that rarely calms.",0.15
White-Caucasian,49,Some priors,"At 49, this White-Caucasian with Some priors resides in a space of quiet rituals and mild tempo.",0.25
Non-White,44,No prior convictions,"This 44-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.72
White-Caucasian,57,Many priors,"This 57-year-old White-Caucasian, with Many priors, tries to find direction in the whirlwind of endless transitions.",0.25
White-Caucasian,47,No prior convictions,A 47-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.25
Non-White,60,No prior convictions,"A Non-White, age 60, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,53,No prior convictions,"At 53, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.15
White-Caucasian,50,Some priors,"At 50, this White-Caucasian with Some priors lives among shifting sands and unanchored hours.",0.2
Non-White,51,No prior convictions,"This Non-White, 51 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
Non-White,35,No prior convictions,"At 35, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
White-Caucasian,45,Many priors,"A White-Caucasian, age 45, with Many priors, stands in the eye of a storm that rarely calms.",0.1
Non-White,56,Some priors,"A Non-White of 56, with Some priors, follows a path of routine punctuated by manageable turns.",0.2
White-Caucasian,42,No prior convictions,"A White-Caucasian, age 42, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,45,Many priors,"At 45, this White-Caucasian with Many priors lives among shifting sands and unanchored hours.",0.1
Non-White,51,No prior convictions,"At 51, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,59,Some priors,"At 59, this White-Caucasian with Some priors exists in a world of tentative steps and fleeting certainties.",0.2
Non-White,53,No prior convictions,"This 53-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.72
White-Caucasian,55,No prior convictions,"This 55-year-old White-Caucasian, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.62
White-Caucasian,44,Some priors,"A White-Caucasian of 44, with Some priors, follows a path of routine punctuated by manageable turns.",0.2
White-Caucasian,44,No prior convictions,"This 44-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,57,Some priors,"At 57, this Non-White with Some priors finds peace in days cradled by routine and warmth.",0.68
Non-White,49,No prior convictions,"This Non-White, 49 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,51,No prior convictions,"This 51-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
White-Caucasian,63,No prior convictions,"A White-Caucasian, age 63, with No prior convictions, stands in the eye of a storm that rarely calms.",0.2
Non-White,52,No prior convictions,"This 52-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.78
Non-White,51,No prior convictions,"A Non-White of 51, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,69,Some priors,"At 69, this White-Caucasian with Some priors lives among shifting sands and unanchored hours.",0.12
Non-White,45,Some priors,"A Non-White of 45, with Some priors, follows a path of routine punctuated by manageable turns.",0.2
White-Caucasian,59,No prior convictions,"At 59, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.2
White-Caucasian,48,No prior convictions,"At 48, this White-Caucasian with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,55,No prior convictions,"At 55, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.15
Non-White,58,Some priors,"At 58, this Non-White with Some priors resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,54,No prior convictions,A 54-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
Non-White,49,Many priors,"A Non-White, age 49, with Many priors, lives a life nurtured by calm mornings and reliable connections.",0.32
White-Caucasian,61,Some priors,"A White-Caucasian, age 61, with Some priors, stands in the eye of a storm that rarely calms.",0.15
White-Caucasian,49,No prior convictions,"At 49, this White-Caucasian with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.15
White-Caucasian,47,No prior convictions,"This 47-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,38,No prior convictions,"This 38-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
White-Caucasian,32,No prior convictions,"A White-Caucasian, age 32, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,66,No prior convictions,"At 66, this White-Caucasian with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.2
Non-White,40,Some priors,"This 40-year-old Non-White, holding Some priors, moves with a steady rhythm through life’s soft cadence.",0.68
Non-White,45,No prior convictions,"A Non-White, age 45, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,47,No prior convictions,"At 47, this White-Caucasian with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,51,Some priors,"At 51, this White-Caucasian with Some priors resides in a space of quiet rituals and mild tempo.",0.25
Non-White,58,No prior convictions,"A Non-White, age 58, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
White-Caucasian,60,Many priors,"This 60-year-old White-Caucasian, with Many priors, tries to find direction in the whirlwind of endless transitions.",0.25
Non-White,41,Some priors,"At 41, this Non-White with Some priors finds peace in days cradled by routine and warmth.",0.62
Non-White,44,Some priors,"This 44-year-old Non-White, with Some priors, moves gently through a world held together by care and consistency.",0.78
Non-White,50,Some priors,"At 50, this Non-White with Some priors resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,49,No prior convictions,A 49-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.25
White-Caucasian,62,No prior convictions,A 62-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
Non-White,51,No prior convictions,"This 51-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.78
Non-White,51,No prior convictions,"At 51, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
Non-White,50,Some priors,"This 50-year-old Non-White, with Some priors, moves gently through a world held together by care and consistency.",0.78
Non-White,55,No prior convictions,"This 55-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
White-Caucasian,49,No prior convictions,"This 49-year-old White-Caucasian, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.32
White-Caucasian,45,No prior convictions,"This 45-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,56,Some priors,"This 56-year-old Non-White, with Some priors, tries to find direction in the whirlwind of endless transitions.",0.25
Non-White,41,No prior convictions,"At 41, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
Non-White,45,No prior convictions,"At 45, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,59,No prior convictions,"A White-Caucasian, age 59, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
White-Caucasian,62,No prior convictions,"This 62-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,48,Many priors,"At 48, this Non-White with Many priors resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,57,Some priors,"At 57, this White-Caucasian with Some priors lives among shifting sands and unanchored hours.",0.12
White-Caucasian,65,Some priors,"At 65, this White-Caucasian with Some priors lives among shifting sands and unanchored hours.",0.12
White-Caucasian,51,No prior convictions,"This 51-year-old White-Caucasian, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.63
Non-White,66,No prior convictions,"This 66-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.78
Non-White,52,Some priors,"At 52, this Non-White with Some priors resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,40,No prior convictions,"At 40, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.15
Non-White,53,No prior convictions,"At 53, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,55,Many priors,"A Non-White, age 55, with Many priors, stands in the eye of a storm that rarely calms.",0.1
White-Caucasian,60,No prior convictions,A 60-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.25
Non-White,52,No prior convictions,"At 52, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,47,Some priors,"This 47-year-old Non-White, holding Some priors, moves with a steady rhythm through life’s soft cadence.",0.63
White-Caucasian,37,No prior convictions,"A White-Caucasian, age 37, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,46,Some priors,"This 46-year-old Non-White, holding Some priors, moves with a steady rhythm through life’s soft cadence.",0.63
White-Caucasian,43,Some priors,"This 43-year-old White-Caucasian, holding Some priors, moves with a steady rhythm through life’s soft cadence.",0.32
Non-White,49,Some priors,"This 49-year-old Non-White, with Some priors, tries to find direction in the whirlwind of endless transitions.",0.25
Non-White,55,No prior convictions,"At 55, this Non-White with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.2
Non-White,64,No prior convictions,"At 64, this Non-White with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.2
White-Caucasian,55,No prior convictions,"This 55-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,36,Some priors,"A Non-White, age 36, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.68
Non-White,54,No prior convictions,"This Non-White, 54 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
Non-White,54,No prior convictions,"At 54, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
Non-White,44,No prior convictions,"A Non-White of 44, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,46,No prior convictions,"This 46-year-old White-Caucasian, with No prior convictions, moves gently through a world held together by care and consistency.",0.78
Non-White,50,Many priors,"This 50-year-old Non-White, holding Many priors, moves with a steady rhythm through life’s soft cadence.",0.62
White-Caucasian,43,Some priors,"At 43, this White-Caucasian with Some priors resides in a space of quiet rituals and mild tempo.",0.25
White-Caucasian,54,Many priors,A 54-year-old White-Caucasian with Many priors walks a tightrope stretched over uncertain days.,0.2
White-Caucasian,52,Some priors,"This 52-year-old White-Caucasian, with Some priors, tries to find direction in the whirlwind of endless transitions.",0.25
Non-White,50,Some priors,"At 50, this Non-White with Some priors resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,45,No prior convictions,A 45-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
White-Caucasian,51,No prior convictions,"At 51, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.2
White-Caucasian,53,Many priors,"This 53-year-old White-Caucasian, holding Many priors, moves with a steady rhythm through life’s soft cadence.",0.25
White-Caucasian,50,Some priors,"This 50-year-old White-Caucasian, with Some priors, tries to find direction in the whirlwind of endless transitions.",0.25
Non-White,57,Some priors,"At 57, this Non-White with Some priors finds peace in days cradled by routine and warmth.",0.68
Non-White,42,No prior convictions,"This 42-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
